source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-HCAM-INT-01,A,internal_link_inventory,baseline_organisation.csv Role entity,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/baseline_organisation.csv,internal_canonical,CORPINT,5.2,5,3,Safe,entity-catalog,Role node; FK cols reports_to/area/sub_area/responsible_processes/components_used
SRC-HCAM-INT-02,A,internal_link_inventory,process_list.csv Process entity,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/process_list.csv,internal_canonical,CORPINT,5.2,5,3,Safe,layers-evidence,item_granularity project/process/activity/task = APQC layers; role_owner/inherited_pattern_id/engagement_template_id/persona_id FKs
SRC-HCAM-INT-03,A,internal_graph_projection,akos/hlk_graph_model.py projection,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/baseline_organisation.csv,internal_canonical,CORPINT,5.2,5,2,Safe,forking-evidence,10 labels/13 edges; PARENT_OF/PROGRAM_PARENT_OF/TOPIC_PARENT_OF forked = the smoking gun
SRC-HCAM-INT-04,A,internal_graph_projection,akos/hlk_neo4j.py sync,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/baseline_organisation.csv,internal_canonical,CORPINT,5.2,5,2,Safe,neo4j-coupling,Neo4j sync target; the projection to migrate to the verb taxonomy
SRC-HCAM-INT-05,A,internal_area_doctrine,AREA_GOVERNANCE_DISCIPLINE.md v2,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/AREA_GOVERNANCE_DISCIPLINE.md,internal_canonical,CORPINT,5.2,5,3,Safe,area-completeness-revisit,16-component maturity grid; AREA-15 placement is an HCAM relationship
SRC-HCAM-INT-06,A,internal_area_doctrine,akos/hlk_area_completeness.py SSOT,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/AREA_GOVERNANCE_DISCIPLINE.md,internal_canonical,CORPINT,5.2,5,2,Safe,area-completeness-revisit,kind/entity/AREA-15/16 enums; completeness model under question
SRC-HCAM-INT-07,A,internal_area_doctrine,scripts/validate_area_completeness.py scorer,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/AREA_GOVERNANCE_DISCIPLINE.md,internal_canonical,CORPINT,5.2,5,2,Safe,area-completeness-revisit,AREA-16 file-plan matcher = role/folder articulation probe
SRC-HCAM-INT-08,A,entity_catalog,PROGRAM_REGISTRY.csv Program entity,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/PROGRAM_REGISTRY.csv,internal_canonical,CORPINT,5.2,5,2,Safe,entity-catalog,Program node; program_anchors + PROGRAM_PARENT_OF/SUBSUMES edges
SRC-HCAM-INT-09,A,entity_catalog,TOPIC_REGISTRY.csv Topic entity,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/TOPIC_REGISTRY.csv,internal_canonical,CORPINT,5.2,5,2,Safe,entity-catalog,Topic node; TOPIC_PARENT_OF/SUBSUMES + UNDER_TOPIC cross-axis edge
SRC-HCAM-INT-10,A,entity_catalog,CAPABILITY_REGISTRY.csv Capability entity,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CAPABILITY_REGISTRY.csv,internal_canonical,CORPINT,5.2,5,2,Safe,entity-catalog,Capability = ArchiMate strategy element; process realizes capability
SRC-HCAM-INT-11,A,entity_catalog,CAPABILITY_CONFIDENCE_REGISTRY.csv,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CAPABILITY_CONFIDENCE_REGISTRY.csv,internal_canonical,CORPINT,5.2,4,2,Safe,entity-catalog,Capability confidence scoring; an attribute layer on Capability
SRC-HCAM-INT-12,A,entity_catalog,COMPONENT_PRIMITIVE_REGISTRY.csv Component entity,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/COMPONENT_PRIMITIVE_REGISTRY.csv,internal_canonical,CORPINT,5.2,5,2,Safe,entity-catalog,Component node; baseline_organisation.components_used FK target
SRC-HCAM-INT-13,A,entity_catalog,ENGAGEMENT_REGISTRY.csv Engagement entity,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/ENGAGEMENT_REGISTRY.csv,internal_canonical,CORPINT,5.2,5,2,Safe,entity-catalog,Engagement node; process_list.engagement_template_id FK; serving relationship
SRC-HCAM-INT-14,A,entity_catalog,PERSONA_REGISTRY.csv Persona entity,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/PERSONA_REGISTRY.csv,internal_canonical,CORPINT,5.2,5,2,Safe,entity-catalog,Persona node (projected); process_list.persona_id FK
SRC-HCAM-INT-15,A,entity_catalog,PERSONA_SCENARIO_REGISTRY.csv,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/PERSONA_SCENARIO_REGISTRY.csv,internal_canonical,CORPINT,5.2,4,2,Safe,entity-catalog,Persona scenarios; specialization of Persona
SRC-HCAM-INT-16,A,entity_catalog,CHANNEL_TOUCHPOINT_REGISTRY.csv Channel entity,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CHANNEL_TOUCHPOINT_REGISTRY.csv,internal_canonical,CORPINT,5.2,5,2,Safe,entity-catalog,Channel node (projected); audience/channel axes
SRC-HCAM-INT-17,A,entity_catalog,SKILL_REGISTRY.csv Skill entity,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/SKILL_REGISTRY.csv,internal_canonical,CORPINT,5.2,5,2,Safe,entity-catalog,Skill node (projected); role assigned skills
