matrix_id,capability_id,aic_id,implementation_status,approach_summary,tool_catalog_ref,realisation_refs,paired_madeira_task_id,confidence_class,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
ACIM-0001,CAP-MADEIRA-SCENARIO-LIFECYCLE,AIC-MADEIRA-ON-CURSOR,implemented,Madeira authors weekly MADEIRA verdict reviews via Cursor session; reads UAT dossier rollups + flips three-lights status,docs/references/hlk/v3.0/Admin/O5-1/Envoy Tech Lab/System Owner/SOP-MADEIRA_*; scripts/render_uat_dossier.py --filter madeira,,MTASK-CURSOR-UAT-VERIFICATION,confirmed,Bound to MADEIRA management three-lights doctrine per .cursor/rules/akos-madeira-management.mdc Part H | D-IH-95-I: absorbed the 6 MADEIRA verdict/dossier/incident/lifecycle/telemetry/uxreview sub-implementations into one capability row.,2026-05-22,Founder,D-IH-86-CQ,v3.1
ACIM-0007,CAP-MADEIRA-SCENARIO-LIFECYCLE,AIC-MADEIRA-ON-OPENCLAW,forecasted,Substrate-portability forecast; same MADEIRA verdict review capability becomes available when AIC-MADEIRA-ON-OPENCLAW substrate activates (depends on OpenClaw repackaging per AIC_REGISTRY status=forecasted),docs/references/hlk/v3.0/Admin/O5-1/Envoy Tech Lab/canonicals/SOP-TECH_AGENTIC_INFRA_001.md,,,pre-ratified,Activation depends on OpenClaw Cursor-SDK lifecycle ergonomics parity per D-IH-84-B B1 anchor | D-IH-95-I: absorbed the 6 MADEIRA verdict/dossier/incident/lifecycle/telemetry/uxreview sub-implementations into one capability row.,2026-05-22,Founder,D-IH-86-CQ,v3.1
ACIM-0008,CAP-LAB-PLATFORM-BINDING-GOVERNANCE,AIC-CURSOR-BORROWED,implemented,System Owner lab binding via DATA_CONTRACT DC-HOL-LAB-PLATFORM-ENV-001 + SOP-TECH_LAB_PLATFORM_BINDING_001; matrix + consumer FK maintenance,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-TECH_LAB_PLATFORM_BINDING_001.md; .cursor/rules/akos-deploy-health.mdc Failure 8,,,confirmed,LOGIC_CHANGE_LOG BT-10-lab-governed-ssot mint 2026-06-14.,2026-06-14,System Owner,D-IH-99-A,v3.1
ACIM-0009,CAP-CROSS-AREA-LAB-REGRESSION,AIC-CURSOR-BORROWED,implemented,Post-incident methodology×area regression report under active initiative; stale/unused/harmonized matrix,docs/wip/planning/_templates/; akos-planning-traceability.mdc,,,confirmed,I96 template research-center-methodology-regression-2026-06-14.md.,2026-06-14,PMO,D-IH-99-A,v3.1
ACIM-0010,CAP-AIC-MULTI-LENS-INVESTIGATION,AIC-CURSOR-BORROWED,implemented,Probe-first investigation ladder in deploy-health Failure 8 + UAT RULE 9; read component docs before credential hypotheses,.cursor/rules/akos-deploy-health.mdc; .cursor/rules/akos-uat-discipline.mdc,,,confirmed,Operator RCA 2026-06-14 Sensitive-vs-gate worked example.,2026-06-14,System Owner,D-IH-99-A,v3.1
ACIM-0011,CAP-TECHOPS-RELIABILITY-OBSERVABILITY,AIC-CURSOR-BORROWED,implemented,Deploy-health 4-step checklist + Failure catalogue; lab binding via sibling CAP-LAB-PLATFORM-BINDING-GOVERNANCE,.cursor/rules/akos-deploy-health.mdc; .cursor/skills/deploy-health-craft/SKILL.md,,,confirmed,Extends existing TechOps capability without new capability_id.,2026-06-14,System Owner,D-IH-99-A,v3.1
ACIM-0012,CAP-LAB-COMPONENT-ECOSYSTEM-GOVERNANCE,AIC-CURSOR-BORROWED,implemented,Reconcile lab component module + dimension registries; seed + validate + lab_platform_registry_reconcile.py,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-LAB_COMPONENT_REGISTRY_MAINTENANCE_001.md; scripts/validate_component_module_registry.py,,,confirmed,I100 P1-P7 mint; operator CSV gates recorded in decision-log.,2026-06-14,System Owner,D-IH-100-A,v3.1
ACIM-0013,CAP-CONVERSATIONAL-AI-ENGINE,AIC-MADEIRA-ON-CURSOR,implemented,Governed IDE chat via OpenClaw gateway + Cursor rules,.cursor/rules/akos-operator-communication.mdc; scripts/openclaw_gateway_repair.py,,,confirmed,Alpha CAP-M01 primary. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0014,CAP-AGENTIC-OPERATIONS,AIC-MADEIRA-ON-CURSOR,implemented,Two-seat routing + AIC lifecycle per OPERATOR_STEERING,docs/wip/planning/OPERATOR_STEERING_AND_CARRYOVER.md; .cursor/rules/akos-aic-delegation.mdc,,,confirmed,Alpha CAP-M01 supplement + CAP-M13. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
ACIM-0015,CAP-MADEIRA-INTERACTION-MODE-PARITY,AIC-MADEIRA-ON-CURSOR,implemented,Five-mode parity SOP + coverage matrix,docs/references/hlk/v3.0/Admin/O5-1/Envoy Tech Lab/canonicals/MADEIRA_MODE_PARITY.md,,,confirmed,Alpha CAP-M02. | D-IH-76-Q mint 2026-06-15.,2026-06-15,Data Governance Office,D-IH-76-Q,v3.2
