repo_slug,github_url,class,primary_owner_role,topic_ids,vault_doc_root,api_spec_pointer,api_topic_id,lifecycle_status,notes,consumes_compliance_types,consumes_mirrors,local_path,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,app_class,metadata_tags,github_topics,github_visibility,primary_language,created_at,pushed_at,last_inventory_at,governance_status,related_initiative_ids,codeowners_present,branch_protection_enabled
kirbe-platform,https://github.com/FraysaXII/kirbe,platform,System Owner,topic_kirbe_billing_plane_routing;topic_holistik_ops_discovery,docs/references/hlk/v3.0/Envoy Tech Lab/KiRBe/,docs/api_reference.md,—,active,KiRBe application repository (operator-confirmed 2026-04-15). Production API https://kirbe.holistikaresearch.com (Render+Cloudflare). Routing SSOT Envoy Tech Lab/Repositories/KIRBE_ROUTING_AND_HOSTING.md (D-IH-90-X 2026-06-01). v1.2: 7 connectors hybrid search audit logging Stripe billing per-tenant usage metering. Tracked by REPO_HEALTH_SNAPSHOT (I32 P7).,yes,SOURCING_REGISTRY;POLICY_REGISTRY,root_cd/kirbe,2026-06-01,System Owner,D-IH-90-X,v3.1,production,,,PRIVATE,PLpgSQL,,2026-05-07,2026-05-19,governed,I86;I90,,
openclaw-akos,https://github.com/FraysaXII/openclaw-akos,platform,AI Engineer,topic_madeira_platform;topic_holistik_ops_discovery,docs/references/hlk/v3.0/,docs/references/hlk/v3.0/,—,active,Canonical remote from git remote get-url origin on the AKOS workspace (2026-04-15). I59 P1.1 promotes the markdown index to this CSV-backed dimension.,no,,cd_shadow/openclaw-akos,2026-05-14,AI Engineer,D-IH-71-CLOSURE,v3.0,production,,,PUBLIC,Python,,2026-05-19,2026-05-19,governed,I86,,
akos-telemetry-ci,https://github.com/FraysaXII/openclaw-akos,internal,System Owner,—,—,—,—,active,Same monorepo remote as openclaw-akos; internal class tags Langfuse log-watcher drift automation evidence (no second code tree).,no,,,2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,production,,,PUBLIC,Python,,2026-05-19,2026-05-19,governed,I86,,
hlk-erp,https://github.com/FraysaXII/hlk-erp,platform,System Owner,topic_holistik_ops_discovery,—,—,—,active,Initiative 32 P7 registration (D-IH-32-K). Holistika ERP shell — internal operator UI for process registry organization components sales overview. Stack: Next.js 14 + React + shadcn/ui + Tailwind + Supabase Auth + FastAPI.,yes,PERSONA_REGISTRY;CHANNEL_REGISTRY;SOURCING_REGISTRY;SKILL_REGISTRY;POLICY_REGISTRY;PROGRAM_REGISTRY;TOPIC_REGISTRY;FOUNDER_FILED_INSTRUMENTS;FINOPS_COUNTERPARTY;COMPONENT_SERVICE_MATRIX;baseline_organisation;process_list;DECISION_REGISTER;OPS_REGISTER;INITIATIVE_REGISTRY;CYCLE_REGISTER,root_cd/hlk-erp,2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,production,,,PRIVATE,Markdown,,2026-05-18,2026-05-19,governed,I86,,
boilerplate,https://github.com/FraysaXII/boilerplate,reference,Brand & Narrative Manager,topic_brand_visual_identity,—,—,—,reference,Initiative 32 P11 registration (D-IH-32-N). Marketing/web boilerplate. Carries Holistika brand assets. Reference-only per D-IH-32-N: no SSOT obligation no .cursor/rules/ to seed with akos-mirror.mdc; only the EXTERNAL_REPO_CONTRACT.md is shipped (light-touch). Owner role renamed Brand Manager -> Brand & Narrative Manager 2026-05-15 per D-IH-72-AO regression-amend.,no,,root_cd/boilerplate,2026-05-15,Brand & Narrative Manager,D-IH-72-AO,v3.0,production,,,PRIVATE,TypeScript,,2026-05-09,2026-05-19,governed,I86,,
v0-efa-slim-crowdfunding-page,https://github.com/FraysaXII/v0-efa-slim-crowdfunding-page,internal,AI Engineer,,,—,—,active,v0-generated crowdfunding spike.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2026-04-15,2026-05-19,inventoried,I86,,
kirbe-frontend,https://github.com/FraysaXII/kirbe-frontend,internal,System Owner,,,—,—,active,KiRBe-adjacent frontend experiment.,no,,,2026-05-19,System Owner,D-IH-86-AC,v3.1,experiment,,,PRIVATE,TypeScript,,2026-04-14,2026-05-19,inventoried,I86,,
system-prompts-and-models-of-ai-tools,https://github.com/FraysaXII/system-prompts-and-models-of-ai-tools,reference,AI Engineer,,,—,—,reference,Tracked upstream fork (no AKOS contract beyond inventory).,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,fork,,,PUBLIC,,,2026-03-05,2026-05-19,inventoried,I86,,
tradingagents,https://github.com/FraysaXII/TradingAgents,reference,AI Engineer,,,—,—,reference,Tracked upstream fork (TradingAgents).,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,fork,,,PUBLIC,Python,,2026-02-25,2026-05-19,inventoried,I86,,
visiongen,https://github.com/FraysaXII/visiongen,internal,AI Engineer,,,—,—,active,AKOS-internal research output.,no,,,2026-05-19,AI Engineer,D-IH-86-AC,v3.1,research,,,PUBLIC,Python,,2025-06-30,2026-05-19,inventoried,I86,,
