topic_id,title,lifecycle_status,primary_owner_role,program_id,plane,parent_topic,related_topics,depends_on,subsumes,subsumed_by,manifest_path,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,subject_kind,steward_role,working_area_path,knowledge_index_path,physical_model
topic_external_adviser_handoff,External Adviser Engagement (Founder Incorporation),active,PMO,PRJ-HOL-FOUNDING-2026,advops,,,,,,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/adviser_handoff/topic_external_adviser_handoff.manifest.md,Initiative 21 + Initiative 22 P5 (Mermaid-rendered diagram). Cross-discipline ADVOPS plane scope: Legal/Fiscal/IP/Banking/Certification/Notary.,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,methodology,KM Officer,,,keyed_in_place
topic_kirbe_billing_plane_routing,KiRBe billing-plane routing (KiRBe SaaS platform),active,System Owner,PRJ-HOL-KIR-2026,techops,,topic_external_adviser_handoff,,,,docs/references/hlk/v3.0/_assets/techops/PRJ-HOL-KIR-2026/topic_kirbe_billing_plane_routing/topic_kirbe_billing_plane_routing.manifest.md,Initiative 23 P6. First non-founder Topic asset; proves the layout convention works at N=2 programs. Stripe webhook routing between kirbe.* product plane and holistika_ops.* company plane.,2026-05-14,System Owner,D-IH-71-CLOSURE,v3.0,doctrine,KM Officer,,,keyed_in_place
topic_enisa_evidence,ENISA evidence pack (Founder Incorporation),active,Compliance,PRJ-HOL-FOUNDING-2026,advops,,,topic_external_adviser_handoff,,,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_evidence/topic_enisa_evidence.manifest.md,Initiative 25 P6 backfill. Reframes ENISA_EVIDENCE_PACK_HOLISTIKA_RESEARCH_2026-04.md as a derived view; canonical facts in CSV registers. Depends on topic_external_adviser_handoff.,2026-05-14,Compliance,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_km_governance,Knowledge Management governance (pilot bundle),active,Holistik Researcher,shared,shared,,,,,,docs/references/hlk/v3.0/_assets/km-pilot/VISUAL_km_pilot_001.manifest.md,KM pilot bundle (Initiative 04). Cross-program governance topic referenced by 8 VISUAL_km_pilot_* manifests under km-pilot/ grandfathered layout. manifest_path points at the first manifest in the bundle for FK validation; full bundle is the eight km-pilot manifests.,2026-05-14,Holistik Researcher,D-IH-71-CLOSURE,v3.0,methodology,KM Officer,,,keyed_in_place
topic_enisa_dossier_es,ENISA dossier (Spanish founder dossier),active,Compliance,PRJ-HOL-FOUNDING-2026,advops,topic_enisa_evidence,,topic_enisa_evidence,,,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_evidence/dossier_es.md,"Initiative 27 P2. Spanish 4-pillar dossier (Mercantil/Mercado/Financiacion/Operativa) with 5-deliverable Apendice C (Boilerplate, HLK ERP, KiRBe, Use-case-1 Shopify, Use-case-2 Rushly). Child of topic_enisa_evidence; brand-rendered via scripts/render_dossier.py + akos.hlk_pdf_render.render_pdf_branded(profile=dossier). manifest_path points at the dossier MD itself (frontmatter doubles as manifest); KM visual manifest validation N/A here.",2026-05-14,Compliance,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_business_strategy,Business Strategy (parent),active,PMO,shared,ops,,,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/README.md,Initiative 29 P4 root. Parent topic for the 9 strategy artifacts under business-strategy/ folder + the POC_TO_COMMERCIAL_MAP CSV. Each child is registered separately; this row is the navigation entry point and the FK target for parent_topic on every child.,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,methodology,KM Officer,,,keyed_in_place
topic_market_thesis,Market thesis (why now + structural shift),active,PMO,shared,ops,topic_business_strategy,,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/MARKET_THESIS.md,Initiative 29 P4. Why-now narrative; TAM/SAM/SOM bands; structural shift the company bets on; existing market structure; risks. Deck-bound: feeds slide 08 (Por que ahora).,2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_competitive_landscape,Competitive landscape + positioning,active,PMO,shared,ops,topic_business_strategy,topic_market_thesis,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/COMPETITIVE_LANDSCAPE.md,"Initiative 29 P4. Three player categories (classic consulting, boutique agencies, pure SaaS); Holistica's diagonal positioning. Deck-bound: feeds slide 11 (Moat).",2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_pricing_model,Pricing model (service + KiRBe SaaS + partner share),active,Business Controller,shared,ops,topic_business_strategy,topic_unit_economics;topic_channel_strategy,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/PRICING_MODEL.md,Initiative 29 P4. Three pricing surfaces: (a) service rate card by package; (b) KiRBe 3-tier hybrid + metered overage; (c) partner revenue-share schedule. Deck-bound: feeds slide 10 (Modelo de entrega).,2026-05-14,Business Controller,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
topic_channel_strategy,Channel strategy (5 hypothesis cards),active,PMO,shared,ops,topic_business_strategy,topic_market_thesis;topic_sales_motion,,,,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/canonicals/business-strategy/CHANNEL_STRATEGY.md,"Initiative 29 P4. Five channels each as a testable hypothesis (founder-led, partner B2B, KiRBe inbound, public-site inbound, events). Deck-bound: feeds slide 09 (ICP) and slide 12 (Roadmap).",2026-05-14,PMO,D-IH-71-CLOSURE,v3.0,evidence_pack,KM Officer,,,keyed_in_place
