engagement_model_id,engagement_model_name,retribution_pattern,retribution_unit,typical_duration,access_level_default,soc_posture,ip_clause_class,knowledge_access_level,onboarding_pattern,offboarding_pattern,payment_cadence,legal_template_default,historical_examples,status,notes,counterparty_resolution_strategy
eng_model_hourly_consultant,Hourly Consultant,hourly,hour,3_to_6_months,4,cleared,standard_consultant,full_by_engagement,nda_then_sow_kickoff,final_invoice_then_access_revoke,per_hour,NDA + SoW (hourly),pre-bootstrapping consultant pattern,active,Direct-engagement freelancer (Advisers-template shape per WORKSPACE_BLUEPRINT_HOLISTIKA section 16). Maps to D-IH-73-H.,metadata_engagement_id
eng_model_milestone_consultant,Milestone Consultant,milestone,milestone_deliverable,1_to_3_months_per_milestone,4,cleared,milestone_handoff,partial_by_engagement,nda_then_milestone_kickoff,handoff_review_then_archive,per_milestone,NDA + SoW + milestone schedule,RCD Legal landing as customer (Bâtard pattern of milestone deliverable),active,Direct or portal-mediated freelancer; milestone retribution; partial-by-engagement access scope. Maps to D-IH-73-I.,metadata_engagement_id
eng_model_percentage_collaborator,Percentage Collaborator,percentage,percent_of_deal_revenue,per_deal_outcome,4,cleared,collaborator_share,full_by_engagement,nda_collaborator_share_agreement,final_payout_reconciliation_then_archive,per_deal_outcome,NDA + collaborator-share agreement,Bâtard 2020 (Mark-II + others),active,Revenue-share retribution without cap-table presence; full engagement-bounded access. Maps to D-IH-73-J.,metadata_engagement_id
eng_model_apprentice_learner,Apprentice Learner,barter_for_training,none_barter,6_months_to_2_years,3,training_only,training_recipient,training_curriculum_only,nda_training_agreement_curriculum_assignment,graduation_review_then_optional_promotion,barter_continuous,NDA + training agreement (no money),Mark-II 1.5y + Alias V researcher 9mo,active,Work-for-training arrangement under cleared SOC; bound to Learning curriculum (P2 forward). Maps to D-IH-73-K.,manual_review
eng_model_investor_advisor,Investor Advisor,equity_advisor,equity_share_or_advisor_grant,round_lifecycle,5,cleared,advisor_nda,full_by_engagement,advisor_nda_safe_or_convertible,round_exit_review_then_archive,per_round,advisor NDA + SAFE/convertible,Bâtard 2020 investor pattern,active,Cap-table presence or advisor grant; round-cadence retribution. Maps to D-IH-73-L.,manual_review
eng_model_outsourced_helper,Outsourced Helper,hourly_low_trust,hour_capped,per_task_or_monthly,1,low_trust,outsourced_workproduct_only,work_product_scope_only,minimal_nda_workproduct_scope_brief,workproduct_handoff_then_access_revoke,per_hour_capped,minimal NDA + work-product-only handoff (€400/mo cap default),Fiverr/Cameroon helper pattern,active,Portal-mediated freelancer with extra SOC layer per D-IH-73-E; scoped access; no methodology exposure. Maps to D-IH-73-M.,metadata_engagement_id
eng_model_operator_self,Operator Self,operator_self,none,continuous,6,internal,operator_owns_all,full_internal,none_already_active,none_baseline_class,none,none,current L'Oréal Europe Data Quality Manager arrangement (founder own employment funds Holistika bootstrap per FOUNDER_TRAJECTORY_INTERNAL section 2),active,Default baseline carrier of operating cost; single instance (the founder). Maps to D-IH-73-D operator baseline.,manual_review
eng_model_saas_subscription,SaaS Subscription,subscription_recurring,subscription_period,recurring_until_cancelled,0,low_trust,saas_tos,none,saas_signup_payment_method_capture,subscription_cancellation_at_period_end,monthly_recurring,SaaS Terms of Service (no SoW),KiRBe product subscriptions (forward) + future Holistika SaaS surfaces,active,Counterparty is a SaaS customer (not a people-engagement); resolver routes via stripe_customer_link_lookup because subscription metadata typically carries stripe_customer_id but not hlk_engagement_id. Schema-extension row (Bundle B-2c / D-IH-81-X) — extends ENGAGEMENT_MODEL_REGISTRY beyond people-taxonomy to unified counterparty-routing taxonomy.,stripe_customer_link_lookup
eng_model_rpp_vendor,Revenue Pass-Through Vendor,vendor_pass_through,vendor_invoice,per_invoice_passed,0,low_trust,vendor_invoice_only,none,vendor_intake_per_invoice,vendor_relationship_archive,per_invoice,vendor invoice acceptance (no SoW from Holistika side),Holistika receives vendor invoice + passes through to client (e.g. cloud infrastructure costs billed back to engagement client),planned,Counterparty is a vendor whose invoice Holistika pays + bills through to a downstream client. Resolver=rpp_payout_attribution is FORWARD-CHARTER (not yet implemented in counterparty_resolver.ts); promote status=active when first real RPP invoice fires + resolver implementation lands (OPS-81-X forward-charter).,rpp_payout_attribution
eng_model_one_off_invoice,One-off Ad-hoc Invoice,one_off_ad_hoc,invoice,single_invoice_per_event,0,low_trust,none_required,none,minimal_intake_per_event,event_archive,per_invoice,no template (ad-hoc free-form invoice),conference speaking fees / advisory honoraria outside formal investor_advisor / one-off product sales,planned,Counterparty is ad-hoc; resolver routes via metadata_billing_plane because no engagement context exists. Schema-extension row (Bundle B-2c / D-IH-81-X) — explicit registration of the irregular-invoicing pattern operator names in Bundle B-2 architecture report. Promote to status=active when first real one-off invoice fires.,metadata_billing_plane
