item_id,item_name,area,role_owner,item_granularity,item_parent_id,description,backlog_class,demoted_at,demoted_decision_id,notes
gtm_proc_research_pipeline,Research material pipeline execution,Research,Holistik Researcher,process,gtm_ws_research_material,"Pipeline tasks: build process, gather channels, integrate into MADEIRA, scrape channels, data governance, KMS UI.",research-task,2026-06-08,D-IH-95-I,Demoted from process_list (D-IH-95-I radical cleanup); survives as a capability realization.
gtm_pm_st_promo,PMO vault promotion gate,Operations,PMO,process,thi_opera_ws_1,Governed path from Trello/WIP to process_list.csv. See docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/SOP-PMO_VAULT_PROMOTION_GATE_001.md.,research-task,2026-06-08,D-IH-95-I,Demoted from process_list (D-IH-95-I radical cleanup); survives as a capability realization.
gtm_cl_028e05b3126789,MADEIRA delivery — Cicd Pipeline,Tech,AI Engineer,process,gtm_ws_madeira_devops,Cluster scope for Holistika GTM items sourced from Trello path prefixes. Outcome-focused grouping under MADEIRA DevOps and CI/CD delivery.,trello-task-grain,2026-06-08,D-IH-95-I,Demoted from process_list (D-IH-95-I radical cleanup); survives as a capability realization.
gtm_cl_0370bec6e882ca,MADEIRA UX — Is Deployable?,Tech,AI Engineer,process,gtm_ws_madeira_ux,Cluster scope for Holistika GTM items sourced from Trello path prefixes. Outcome-focused grouping under MADEIRA UX capability definitions.,trello-task-grain,2026-06-08,D-IH-95-I,Demoted from process_list (D-IH-95-I radical cleanup); survives as a capability realization.
gtm_cl_04ec26ad9a99ef,Team growth and talent pathways — Team growth,People,CPO,process,gtm_ws_team_growth,Cluster scope for Holistika GTM items sourced from Trello path prefixes. Outcome-focused grouping under Team growth and talent pathways.,trello-task-grain,2026-06-08,D-IH-95-I,Demoted from process_list (D-IH-95-I radical cleanup); survives as a capability realization.
gtm_cl_0613df8d0ca2a3,"Go-to-market and entity readiness — FTE optimization: Integrar herramientas de gestión como Wrike, Trello, Monday etc",Operations,PMO,process,gtm_ws_gtm_entity,Cluster scope for Holistika GTM items sourced from Trello path prefixes. Outcome-focused grouping under Go-to-market and entity readiness.,trello-task-grain,2026-06-08,D-IH-95-I,Demoted from process_list (D-IH-95-I radical cleanup); survives as a capability realization.
gtm_cl_06826551486d0a,Service catalog and capability definition — Capability and resource inventory: Componentes incluidos en los procesos,Operations,PMO,process,gtm_ws_service_catalog,Cluster scope for Holistika GTM items sourced from Trello path prefixes. Outcome-focused grouping under Service catalog and capability definition.,trello-task-grain,2026-06-08,D-IH-95-I,Demoted from process_list (D-IH-95-I radical cleanup); survives as a capability realization.
gtm_cl_0730efdd3b8cab,Team growth and talent pathways — Training and output processes: Estimar tiempos de formación a producción,People,CPO,process,gtm_ws_team_growth,Cluster scope for Holistika GTM items sourced from Trello path prefixes. Outcome-focused grouping under Team growth and talent pathways.,trello-task-grain,2026-06-08,D-IH-95-I,Demoted from process_list (D-IH-95-I radical cleanup); survives as a capability realization.
gtm_cl_09a94b87396e7b,MADEIRA delivery — Tools (for Queryengine),Tech,AI Engineer,process,gtm_ws_madeira_devops,Cluster scope for Holistika GTM items sourced from Trello path prefixes. Outcome-focused grouping under MADEIRA DevOps and CI/CD delivery.,trello-task-grain,2026-06-08,D-IH-95-I,Demoted from process_list (D-IH-95-I radical cleanup); survives as a capability realization.
gtm_cl_0d5a82fbb9f3f5,Operating model and internal controls — Intelligence absorption and placement: Procesos B2E para incrementar la capacid…,Operations,PMO,process,gtm_ws_ops_control,Cluster scope for Holistika GTM items sourced from Trello path prefixes. Outcome-focused grouping under Operating model and internal controls.,trello-task-grain,2026-06-08,D-IH-95-I,Demoted from process_list (D-IH-95-I radical cleanup); survives as a capability realization.
