phase,commit_sha,commit_date,change_kind,lines_delta,repo,file_path,file_kind,role_owner,area,entity,decision_ids,process_ids,linked_canonicals,validators_run,requires_operator_gate,change_summary,notes
I96-P0,pending,2026-06-11,created,+1,openclaw-akos,docs/wip/planning/96-research-data-plane-and-research-center/master-roadmap.md,planning,System Owner,Research,Holistika,D-IH-96-A,,INITIATIVE_REGISTRY.csv,validate_hlk.py,no,I96 program master-roadmap three-plane four-track shape.,initiative-meta
I96-P0,pending,2026-06-11,created,+1,openclaw-akos,docs/wip/planning/96-research-data-plane-and-research-center/decision-log.md,planning,PMO,Research,Holistika,D-IH-96-A,,DECISION_REGISTER.csv,validate_hlk.py,no,I96 decision log seed D-IH-96-A..E.,initiative-meta
I96-P0,pending,2026-06-11,created,+1,openclaw-akos,docs/wip/planning/96-research-data-plane-and-research-center/evidence-matrix.md,planning,PMO,Research,Holistika,D-IH-96-A,,,validate_hlk.py,no,Session commits methodology inventory tranche artifacts cross-plane specs.,initiative-meta
I96-P0,pending,2026-06-11,created,+1,openclaw-akos,docs/wip/planning/96-research-data-plane-and-research-center/risk-register.md,planning,PMO,Research,Holistika,D-IH-96-A,,,validate_hlk.py,no,R-IH-96-1 through R-IH-96-9 risk register.,initiative-meta
I96-P0,pending,2026-06-11,created,+1,openclaw-akos,docs/wip/planning/96-research-data-plane-and-research-center/asset-classification.md,planning,PMO,Research,Holistika,D-IH-96-A,,PRECEDENCE.md,validate_hlk.py,no,I96 asset classification canonical vs WIP vs sibling repos.,initiative-meta
I96-P0,pending,2026-06-11,created,+1,openclaw-akos,docs/wip/planning/96-research-data-plane-and-research-center/i96-initiative-cluster-map.md,planning,PMO,Research,Holistika,D-IH-96-A,,,validate_hlk.py,no,I96 local cluster map I83 I92 I95 I88 research lanes.,initiative-meta
I96-P0,pending,2026-06-11,created,+1,openclaw-akos,docs/wip/planning/96-research-data-plane-and-research-center/three-plane-architecture.md,planning,System Owner,Research,Holistika,D-IH-96-A;D-IH-75-G,,RESEARCH_LIFECYCLE_DOCTRINE.md,validate_hlk.py,no,Govern Execute Experience plane doctrine STORE RECALL SHARE.,initiative-meta
I96-P0,pending,2026-06-11,created,+1,openclaw-akos,docs/wip/planning/96-research-data-plane-and-research-center/reports/session-incorporation-2026-06-11.md,planning,PMO,Research,Holistika,D-IH-96-A,,,validate_hlk.py,no,Session incorporation audit tracking gap closure.,initiative-meta
I96-session-backfill,8e4f51da,2026-06-10,research,+1,openclaw-akos,docs/references/hlk/v3.0/Research/Methodology/,canonical,Research Director,Research,Holistika,D-IH-94-A,,RESEARCH_PRONG_LATTICE_DISCIPLINE.md,validate_hlk.py,no,Methodology vault mint prong lattice HxPESTAL pillars.,session-arc
I96-session-backfill,39150275,2026-06-10,governance,+1,openclaw-akos,.cursor/rules/akos-ssot-canonical-touch.mdc,cursor-rule,System Owner,Data,Holistika,D-IH-94-A,,SSOT_REGISTRY_AUDIT_DISCIPLINE.md,validate_hlk.py,no,SSOT canonical touch discipline rule skill charter.,session-arc
I96-session-backfill,1d5c2c62,2026-06-10,data-row-append,+3,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/process_list.csv,canonical,Research Director,People,Holistika,D-IH-94-A,hol_resea_dtp_prong_synthesis_001,SOP-RESEARCH_PRONG_SYNTHESIS_001.md,validate_hlk.py,yes,process_list umbrella PESTEL HxPESTAL pairing.,session-arc
I96-session-backfill,c3a89463,2026-06-11,governance,+1,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CAPABILITY_REGISTRY.csv,canonical,PMO,People,Holistika,D-IH-94-A,,HOLISTIKA_QUALITY_FABRIC.md,validate_hlk.py,yes,CAPABILITY PESTEL HxPESTAL active QF section 6 SSOT rows.,session-arc
I96-session-backfill,79eb4b79,2026-06-11,research,+79,openclaw-akos,docs/wip/intelligence/akos-automation-os-governance-2026-06-10/source-ledger.csv,planning,Research Director,Research,Holistika,D-IH-94-A,,RESEARCH_CHARTER_AND_EXECUTION_PLAN.md,validate_research_action.py,no,Automation OS R2 Tech Envoy harvest.,session-arc
I96-session-backfill,7f79cba8,2026-06-11,research,+79,openclaw-akos,docs/wip/intelligence/akos-automation-os-governance-2026-06-10/source-ledger.csv,planning,Research Director,Research,Holistika,D-IH-94-A,,DATA_INTEGRATION_PLANE.md,validate_research_action.py,no,Automation OS R3 Data RPA harvest 252 rows cumulative.,session-arc
I96-session-backfill,ff16b725,2026-06-11,research,+79,openclaw-akos,docs/wip/intelligence/akos-automation-os-governance-2026-06-10/source-ledger.csv,planning,Research Director,Research,Holistika,D-IH-94-A,,OPERATIONS_PROCESS_CATALOG.yaml,validate_research_action.py,no,Automation OS R4 Ops RevOps PMO 331 rows cumulative.,session-arc
I96-session-backfill,d5f0566b,2026-06-11,research,+76,openclaw-akos,docs/wip/intelligence/akos-automation-os-governance-2026-06-10/source-ledger.csv,planning,Research Director,Research,Holistika,D-IH-94-A,,HOLISTIKA_QUALITY_FABRIC.md,validate_research_action.py,no,Automation OS R5 People QF 407 rows cumulative.,session-arc
I96-session-backfill,25bed2e5,2026-06-11,research,+76,openclaw-akos,docs/wip/intelligence/akos-automation-os-governance-2026-06-10/source-ledger.csv,planning,Research Director,Research,Holistika,D-IH-94-A,,INTELLIGENCEOPS_REGISTER.csv,validate_research_action.py,no,Automation OS R6 Research IntelOps 483 rows cumulative.,session-arc
I96-session-backfill,5724b62d,2026-06-11,research,+1,openclaw-akos,docs/wip/intelligence/holistic-agentic-capability-orchestration-2026-06-10/source-ledger.csv,planning,Research Director,Research,Holistika,D-IH-94-A,,,validate_research_action.py,no,Holistic-agentic R3 platform infra ledger commit.,session-arc
I96-session-backfill,e3ca3302,2026-06-11,docs,+1,openclaw-akos,docs/wip/intelligence/akos-automation-os-governance-2026-06-10/session-recap-2026-06-10.md,planning,PMO,Research,Holistika,D-IH-96-A,,,validate_hlk.py,no,Session recap PM checkpoint mint.,session-arc
I96-P1,pending,2026-06-11,created,+1,openclaw-akos,docs/wip/planning/96-research-data-plane-and-research-center/three-plane-field-mapping.md,planning,System Owner,Research,Holistika,D-IH-96-A,,three-plane-architecture.md,validate_hlk.py,no,Three-plane field mapping Govern Execute Experience.,initiative-meta
I96-P2,pending,2026-06-11,created,+1,openclaw-akos,docs/wip/planning/96-research-data-plane-and-research-center/reports/data-consumer-inventory-2026-06-11.md,planning,PMO,Research,Holistika,D-IH-96-A,,,validate_hlk.py,no,Data consumer inventory cross-plane.,initiative-meta
I96-P3,pending,2026-06-11,created,+1,openclaw-akos,docs/wip/planning/96-research-data-plane-and-research-center/staleness-loop-spec.md,planning,Research Director,Research,Holistika,D-IH-96-A,,INTELLIGENCEOPS_REGISTER.csv,validate_hlk.py,no,Staleness loop spec radar discipline.,initiative-meta
I96-P3,pending,2026-06-11,created,+1,openclaw-akos,docs/wip/planning/96-research-data-plane-and-research-center/src-tagging-contract.md,planning,Research Director,Research,Holistika,D-IH-96-A,,CANONICAL_RELATIONSHIP_REGISTRY.csv,validate_hlk.py,no,SRC tagging contract HCAM alignment.,initiative-meta
