vehicle_id,vehicle_name,vehicle_path,vehicle_scope,target_audience,write_authority,read_cadence,staleness_days,staleness_posture,provenance,memory_class,owner_role,topic_ids,depends_on_vehicle_ids,status,added_at,last_review_at,last_review_by,methodology_version_at_review,last_review_decision_id,notes
vehicle_decision_register,Decision register,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/DECISION_REGISTER.csv,cross_session,operator_plus_aics;external_handoff,madeira_writes_flagged,every_session,90,cite_and_flag,canonical_csv,procedural,Compliance Officer,topic_governance_moat,,active,2026-05-19,2026-05-19,System Owner,v3.0,D-IH-76-F,Core decision substrate. Staleness=90d matches operator-default per I76 P3 axis 2 ratify. External-handoff audience because future AIC engagements may quote decisions in handoff packs (J-AD post-NDA pattern per akos-adviser-engagement.mdc).
vehicle_logic_change_log,Logic change log,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/LOGIC_CHANGE_LOG.md,methodology_scoped,operator_plus_aics,madeira_writes_flagged,methodology_checkpoint,30,cite_and_flag,markdown_log,procedural,System Owner,topic_madeira_platform,,active,2026-05-19,2026-05-19,System Owner,v3.0,D-IH-76-F,Methodology checkpoint surface per MADEIRA_MODE_PARITY §Methodology Mode L160. Tighter staleness (30d) because methodology candidates have shorter shelf life than ratified decisions before recall/re-frame.
vehicle_operator_scratchpad,Operator scratchpad (active wave),docs/wip/planning/<NN>/operator-scratchpad.md,wave_bounded,operator_private,operator_only,wave_boundary,,none,git_tracked_md,episodic,Operator,,,active,2026-05-19,2026-05-19,System Owner,v3.0,D-IH-76-F,"Operator's async thought capture during active wave. Drained at wave boundary; no staleness check — wave-boundary discipline is the freshness gate. Path-pattern is wave-specific (initiative's planning folder)."
vehicle_initiative_registry,Initiative registry,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/INITIATIVE_REGISTRY.csv,cross_session,operator_plus_aics;external_handoff,madeira_writes_flagged,every_session,60,cite_and_flag,canonical_csv,organizational,PMO,topic_governance_moat,,active,2026-05-19,2026-05-19,System Owner,v3.0,D-IH-76-F,Initiative lifecycle substrate. Staleness=60d (between decision-register's 90d and logic-change-log's 30d) because initiative status flips meaningfully across that window (active→closed mid-quarter is common).
vehicle_files_modified_csv,Per-initiative files-modified ledger,docs/wip/planning/<NN>/files-modified.csv,cross_session,operator_plus_aics,madeira_writes_flagged,on_demand,,none,canonical_csv,episodic,PMO,topic_governance_moat,vehicle_initiative_registry,active,2026-05-19,2026-05-19,System Owner,v3.0,D-IH-76-F,"Per-initiative file-change ledger per akos-planning-traceability.mdc §Per-initiative file-changes CSV. On-demand read (not every-session) because rows are append-only audit trail, not active read substrate. No staleness — every row carries its own commit_date so staleness is per-row not per-file."
vehicle_blocker_tracker,Promotion blocker tracker,docs/wip/planning/_blockers/<slug>-promotion-blocker-tracker.md,wave_bounded,operator_private,madeira_writes_flagged,on_demand,,none,git_tracked_md,episodic,PMO,,vehicle_initiative_registry,active,2026-05-19,2026-05-19,System Owner,v3.0,D-IH-76-F,Per akos-conflict-surfacing-and-blocker-trackers.mdc §Blocker-tracker file shape. 3 active instances at mint (i74/i75/i83). Snapshot-shape (not active read substrate); no staleness — next-review trigger lives inside each tracker.
vehicle_scope_overlap_tracker,Scope-overlap tracker,docs/wip/planning/_trackers/<slug>-scope-overlap-tracker.md,cross_session,operator_private,madeira_writes_flagged,wave_boundary,,none,git_tracked_md,organizational,PMO,,vehicle_initiative_registry,active,2026-05-19,2026-05-19,System Owner,v3.0,D-IH-76-F,Sister governance shape per akos-conflict-surfacing-and-blocker-trackers.mdc §Scope-overlap-tracker. Cross-initiative coordination substrate (e.g., i11/i13/i17 tracker; external-render-pending-tracker).
vehicle_initiative_decision_log,Per-initiative decision log,docs/wip/planning/<NN>/decision-log.md,cross_session,operator_plus_aics,madeira_writes_flagged,on_demand,,none,git_tracked_md,procedural,PMO,,vehicle_decision_register,active,2026-05-19,2026-05-19,System Owner,v3.0,D-IH-76-F,Granular per-initiative decision narrative companion to canonical DECISION_REGISTER.csv. Different shape (prose + rationale + alternatives considered) + different scope (per-initiative); not duplicate. Per akos-planning-traceability.mdc plan-quality bar.
vehicle_master_roadmap,Initiative master roadmap,docs/wip/planning/<NN>/master-roadmap.md,cross_session,operator_plus_aics,madeira_writes_flagged,every_session,,none,git_tracked_md,procedural,PMO,,vehicle_initiative_registry,active,2026-05-19,2026-05-19,System Owner,v3.0,D-IH-76-F,Phase plan SSOT per akos-planning-traceability.mdc. No staleness — frontmatter `last_review` is per-row signal; the doctrine is the plan-quality bar enforcement.
vehicle_pause_record,Phase pause record,docs/wip/planning/<NN>/reports/p<N>-pause-record-<YYYY-MM-DD>.md,wave_bounded,operator_plus_aics,madeira_writes_flagged,wave_boundary,,none,git_tracked_md,episodic,Operator,,vehicle_master_roadmap,active,2026-05-19,2026-05-19,System Owner,v3.0,D-IH-76-F,Per akos-agent-checkpoint-discipline.mdc §Operator pause point contract. Mandatory for canonical-CSV gates / trademark / public-prose. Snapshot of phase state at hand-off moment.
