phase,commit_sha,commit_date,change_kind,lines_delta,repo,file_path,file_kind,role_owner,area,entity,decision_ids,process_ids,linked_canonicals,validators_run,requires_operator_gate,change_summary,notes
P0,akos-pending,2026-05-24,created,+150,openclaw-akos,docs/wip/planning/_candidates/i-nn-research-ops-substrate.md,planning,Holistik Researcher,Research,Holistika,D-IH-86-CW,hol_peopl_dtp_uat_governance_001,RESEARCH_HEAD_DISCIPLINE.md;HOLISTIKA_QUALITY_FABRIC.md;HOLISTIKA_ORGANISING_DOCTRINE.md;PEOPLE_DESIGN_PATTERN_REGISTRY.csv,n/a,no,"Mint Research OPS substrate candidate per 10-pillar Holistika ReOps frame (Boulton 8 + Brand + UX); first deep worked example for I88 Bundle C activation; Spain-strategy candidate becomes pillar-8 worked-example child","META1-a; initiative-meta candidate"
P0,akos-pending,2026-05-24,modified,+10/-2,openclaw-akos,docs/wip/planning/_candidates/i-nn-research-area-cross-area-topic-intent-improvement.md,planning,Holistik Researcher,Research,Holistika,D-IH-86-CW;D-IH-81-Z,hol_peopl_dtp_uat_governance_001,RESEARCH_HEAD_DISCIPLINE.md;INTELLIGENCEOPS_REGISTER.csv,n/a,no,"Re-parent Spain-strategy candidate to Research OPS substrate parent candidate (pillar-8 worked-example child); add D-IH-86-CW to charter_decisions + extend forward_charter_authority with META1-a rationale","sibling cross-reference update"
P0,akos-pending,2026-05-24,modified,+5/-2,openclaw-akos,docs/wip/planning/_candidates/i-nn-cross-area-ops-wiring-review.md,planning,System Owner,Operations,Holistika,D-IH-86-CW;D-IH-81-O;D-IH-81-T,hol_peopl_dtp_uat_governance_001,baseline_organisation.csv;PEOPLE_DESIGN_PATTERN_REGISTRY.csv,n/a,no,"Add I86 parent_initiatives; add I88 related_initiatives + sibling_candidates pointers to Research OPS substrate + Spain-strategy candidates","candidate stays at status=candidate; I88 master-roadmap is the active execution surface"
P0,akos-pending,2026-05-24,created,+200,openclaw-akos,docs/wip/planning/88-cross-area-ops-wiring-review-discipline/master-roadmap.md,planning,System Owner,Operations,Holistika,D-IH-86-CW;D-IH-81-O;D-IH-81-T;D-IH-81-P,hol_peopl_dtp_uat_governance_001,HOLISTIKA_ORGANISING_DOCTRINE.md;HOLISTIKA_QUALITY_FABRIC.md;RESEARCH_HEAD_DISCIPLINE.md;INTER_WAVE_REGRESSION_DISCIPLINE.md;INDEX_INTEGRITY_DISCIPLINE.md;UAT_DISCIPLINE.md,n/a,yes,"I88 master-roadmap P0 charter: doctrine + 10-pillar lens + all-7-areas scope + 5 paragraph framings (Marketing/TechLab/Legal/Operations/People) + 2 deep worked example slots (FINOPS/Research OPS) + closure criteria + phase plan preview + 3 mermaids + decision-log preview + risk-register preview","Bundle C activation; META2-b all-7-areas scope; canonical-CSV-gate pause via INITIATIVE_REGISTRY append"
P0,akos-pending,2026-05-24,created,+85,openclaw-akos,docs/wip/planning/88-cross-area-ops-wiring-review-discipline/decision-log.md,planning,System Owner,Operations,Holistika,D-IH-86-CW;D-IH-81-O;D-IH-81-T;D-IH-81-P,hol_peopl_dtp_uat_governance_001,n/a,n/a,no,"I88 decision-log: lineage decisions (D-IH-81-O/P/T) + D-IH-86-CW activation rationale (META1-a + META2-b + META4-b coupling) + 4 reserved IDs (D-IH-88-A through D-IH-88-D); deferred decisions list","initiative-meta planning doc"
P0,akos-pending,2026-05-24,created,+55,openclaw-akos,docs/wip/planning/88-cross-area-ops-wiring-review-discipline/risk-register.md,planning,System Owner,Operations,Holistika,D-IH-86-CW,hol_peopl_dtp_uat_governance_001,n/a,n/a,no,"I88 risk register: 8 risks (R-IH-88-1..8) covering over-generalisation; +2 pillar over-extension; INFO->FAIL ramp aggression; bandwidth-recovery; discipline-soup; FTW inheritance; second-class-citizen-perception; governance-archaeology","initiative-meta planning doc"
P0,akos-pending,2026-05-24,created,+1,openclaw-akos,docs/wip/planning/88-cross-area-ops-wiring-review-discipline/files-modified.csv,planning,System Owner,Operations,Holistika,D-IH-86-CW,hol_peopl_dtp_uat_governance_001,n/a,n/a,no,"I88 files-modified.csv seed (18-column schema per akos-planning-traceability.mdc per-initiative file-changes CSV)","initiative-meta planning doc"
P0,akos-pending,2026-05-24,data-row-append,+1,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/INITIATIVE_REGISTRY.csv,canonical,System Owner,Operations,Holistika,D-IH-86-CW;D-IH-81-O;D-IH-81-T,hol_peopl_dtp_uat_governance_001,INITIATIVE_REGISTRY.csv,validate_initiative_registry.py;validate_hlk.py,yes,"Append I88 row (initiative_id=INIT-OPENCLAW_AKOS-88; status=active; inception_decision_id=D-IH-86-CW; owner_role=System Owner)","canonical-CSV gate; 73->74 rows"
P0,akos-pending,2026-05-24,modified,+1,openclaw-akos,docs/wip/planning/README.md,planning,System Owner,Operations,Holistika,D-IH-86-CW,hol_peopl_dtp_uat_governance_001,n/a,n/a,no,"Append I88 row to planning README initiative index table","required by akos-docs-config-sync.mdc planning README sync contract"
P1-pre,akos-pending,2026-06-05,data-row-modified,+0/-0,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/OPS_REGISTER.csv,canonical,PMO,Operations,Holistika,D-IH-93-CLOSURE;D-GTM-DB-6,env_tech_dtp_compliance_mirror_dml_001,OPS_REGISTER.csv,validate_hlk.py,yes,"Close OPS-86-15 (six CSV mirror sprint); annotate OPS-86-23 DIM-04 backlog","Mechanical pre-step per Option C; operator gate via prior AskQuestion ratification"
