source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-I93-RSM-001,A,revops_mktops_harmonization,REVOPS_AREA_CHARTER.md (Holistika vault),docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/REVOPS_AREA_CHARTER.md,internal_canonical,internal_precedent,canonical,5,3,Safe,RevOps vs MKTOPS org placement — area boundary + DAMA author role,Value-mapping spine; Operations area; owns 8 adapter registries; does NOT own marketing execution.
SRC-I93-RSM-002,A,revops_mktops_harmonization,MKTOPS_DISCIPLINE.md (Holistika vault),docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/MKTOPS_DISCIPLINE.md,internal_canonical,internal_precedent,canonical,5,3,Safe,RevOps vs MKTOPS — Quality Fabric specialty vs area charter,7-dimension campaign quality bar MKT-01..07; Marketing/Reach primary; RevOps co-owner per D-IH-86-EY.
SRC-I93-RSM-003,A,revops_mktops_harmonization,source-grounding-post-handshake-2026-05-26.md,docs/references/hlk/v3.0/Think Big/Clients/2026-suez-webuy/00-internal/source-grounding-post-handshake-2026-05-26.md,internal_canonical,internal_precedent,primary,5,2,Safe,Microsoft demo factory — Holistika tenant build plan,Operator builds on own Microsoft tenant; anonymized data; customer pack = delivery language.
SRC-I93-RSM-004,A,revops_mktops_harmonization,RevenueTools — MOps vs RevOps GTM stack,https://www.revenuetools.io/blog/marketing-ops-vs-revops,web_article,industry_analyst,secondary,4,4,Safe,External org model options (embedded MOps vs unified RevOps),Model 2 embedded specialist within unified RevOps gaining traction at growth stage.
SRC-I93-RSM-005,A,revops_mktops_harmonization,Landbase — RevOps vs Marketing Operations,https://www.landbase.com/blog/revops-vs-marketing-operations,web_article,industry_analyst,secondary,4,4,Safe,External scope distinction + failure mode of RevOps without MOps foundations,RevOps without solid Marketing Ops execution layer often fails.
SRC-I93-RSM-006,B,dama_multi_area_bi,DATA_GOVERNANCE_POLICY.md,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_GOVERNANCE_POLICY.md,internal_canonical,internal_precedent,canonical,5,3,Safe,Federated governance — every area consumes data products,CDO chain; computational enforcement; area stewards own domain data.
SRC-I93-RSM-007,B,dama_multi_area_bi,DATA_CATALOG_INTEGRATION_POSTURE.md §7-9,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_CATALOG_INTEGRATION_POSTURE.md,internal_canonical,internal_precedent,canonical,5,3,Safe,Three-layer DAMA stack + governed-claim bar,L1 doctrine L2 validators L3 tool projection; area-specific DAMA rows.
SRC-I93-RSM-008,B,dama_multi_area_bi,DAMA-DMBOK2 Ch.9 Warehousing & BI (reference),https://www.dama.org/,web_article,standards_body,secondary,4,5,Euclid,Every knowledge area consumes analytics appropriate to role,DAMA BI is consumption + stewardship across functions not Data-only silo.
SRC-I93-RSM-009,B,dama_multi_area_bi,BI_CONSUMER_REGISTRY.csv (I93 P5b seed),docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/BI_CONSUMER_REGISTRY.csv,internal_canonical,internal_precedent,canonical,5,3,Safe,Current BI consumer model — extend to all areas,13 rows; needs area_id dimension + Marketing/RevOps/Meta/Google seeds.
SRC-I93-RSM-010,B,dama_multi_area_bi,MARKETING_AREA_M3_REDESIGN.md,docs/references/hlk/v3.0/Admin/O5-1/Marketing/canonicals/MARKETING_AREA_M3_REDESIGN.md,internal_canonical,internal_precedent,canonical,5,3,Safe,Marketing sub-areas + Analytics Manager role,Experimentation sub-area owns cross-sub-area measurement substrate.
SRC-I93-RSM-011,C,sop_method_escalation,SOP-META_PROCESS_MGMT_001.md §4.6,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/SOP-META_PROCESS_MGMT_001.md,internal_canonical,internal_precedent,canonical,5,4,Safe,Body/addendum split — when to escalate depth not execution path,Addendum for cross-area jargon; not for CLI vs Browser variants.
SRC-I93-RSM-012,C,sop_method_escalation,SOP-ENG_ESTIMATION_DISCIPLINE_001 §3 method library,docs/references/hlk/v3.0/Admin/O5-1/Operations/Engagement/canonicals/SOP-ENG_ESTIMATION_DISCIPLINE_001.md,internal_canonical,internal_precedent,canonical,5,4,Safe,Worked example: methods inside one SOP + Pydantic registry,12 method_id rows; paired akos/engagement_estimation.py; drift test.
SRC-I93-RSM-013,C,sop_method_escalation,akos-executable-process-catalog.mdc RULE 1,docs/references/hlk/v3.0/.cursor/rules/akos-executable-process-catalog.mdc,internal_canonical,internal_precedent,canonical,5,3,Safe,Human + AIC + automation triple path per process,AC-HUMAN and AC-AUTOMATION both required; maps to method rows.
SRC-I93-RSM-014,C,sop_method_escalation,SOP-KIRBE_GRAPHDB_NEO4J_002 extends 001,process_list.csv row,internal_canonical,internal_precedent,primary,5,2,Safe,When _002 means generational successor not execution method,Second-generation procedures — different SOP file not method table row.
SRC-I93-RSM-015,C,sop_method_escalation,Supabase Analytics Buckets docs,https://supabase.com/docs/guides/storage/analytics/introduction,web_article,vendor_docs,secondary,4,4,Euclid,Operator-activated OLAP layer posture,Public Alpha label vs operator production use with customer revenue funding production path.
