type,orientation,entity,area,role_parent_1,role_owner,item_parent_2,item_parent_2_id,item_parent_1,item_parent_1_id,item_name,item_id,item_granularity,time_hours_par,description,instructions,addundum_extras,confidence,count_name,frequency,quality
Internal,Employee,Holistika,Research,Holistik Researcher,Holistik Researcher,,,,,Holistika Research and Methodology,hol_resea_prj_1,project,,,,,3,1,high,3
Internal,Employee,Holistika,People,People,CPO,,,,,Holistika People and Organisational Development,hol_peopl_prj_1,project,,,,,3,1,high,3
Internal,Employee,Think Big,MKT,CMO,CMO,,,,,Think Big Channel and Marketing Operations,thi_mkt_prj_1,project,,,,,3,1,high,3
Internal,Employee,Think Big,Operations,PMO,COO,,,,,Think Big Operational Excellence,thi_opera_prj_1,project,,,,,3,1,high,3
Internal,Employee,Think Big,Operations,COO,PMO,Think Big Operational Excellence,thi_opera_prj_1,Think Big Operational Excellence,thi_opera_prj_1,Think Big PMO and operating model program,hlk_prog_think_big_pmo,workstream,,"Groups PMO-aligned GTM operating workstreams (services, GTM entity, internal controls). Engage stays a direct child of the project.",,Pattern 3 program layer; see trello-list-to-workstream-matrix.md,2,1,high,3
Internal,Employee,Think Big,Finance,CFO,CFO,,,,,Think Big Finance Architecture,thi_finan_prj_1,project,,,,,3,1,high,3
Internal,Employee,Think Big,Legal,Legal Counsel,Legal Counsel,,,,,Think Big Legal Compliance,thi_legal_prj_1,project,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Tech,CTO,CTO,,,,,KiRBe Platform,env_tech_prj_2,project,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Tech,CTO,CTO,,,,,MADEIRA Platform,env_tech_prj_3,project,,,,,3,1,high,3
Internal,Employee,HLK Tech Lab,Tech,CTO,AI Engineer,MADEIRA Platform,env_tech_prj_3,MADEIRA Platform,env_tech_prj_3,MADEIRA product and research program,hlk_prog_madeira_product_research,workstream,,"Groups MADEIRA radar, product planning, sales collateral, and benchmarking workstreams under one program.",,Pattern 3 program layer; see docs/wip/planning/02-hlk-on-akos-madeira/reports/trello-list-to-workstream-matrix.md,2,1,high,3
