consumer_id,bi_tier,tool_name,component_id,data_surfaces,status,paired_sop_path,engagement_stream,owner_role,linked_decision_id,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
BI-HOL-ERP-EMBED,T1,HLK-ERP (Next.js + Recharts),comp_i93_hlk_erp,erp.vw_*;governance.planning_*_view;compliance.*_mirror,active,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_ENGAGEMENT_INTEGRATION_SCAFFOLD_001.md,internal,System Owner,D-IH-93-I,Primary embedded ops BI; Stream B default for Holistika-owned surfaces.,2026-06-04,Data Governance Office,D-IH-93-I,v3.1
BI-HOL-SEMANTIC-METRICS,T2,METRICS_REGISTRY + SQL views,comp_i93_semantic_layer,metrics_registry;erp.vw_*;mirror_table,active,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/SEMANTIC_LAYER.md,internal,Data Architect,D-IH-93-I,Define-once metrics; pairs thi_data_dtp_31.,2026-06-04,Data Governance Office,D-IH-93-I,v3.1
BI-HOL-LANGFUSE,T3,Langfuse,comp_i93_langfuse,langfuse_traces;akos_telemetry,active,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,internal,AI Engineer,D-IH-93-I,AIC observability BI; cost/quality dashboards.,2026-06-04,Data Governance Office,D-IH-93-I,v3.1
BI-HOL-METABASE,T4,Metabase,comp_i93_metabase,supabase_postgres;erp.*;compliance.*_mirror,planned,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,internal,Data Steward,D-IH-93-I,Optional steward SQL BI; not deployed.,2026-06-04,Data Governance Office,D-IH-93-I,v3.1
BI-HOL-NEO4J,T5,Neo4j graph explorer,comp_i93_neo4j,neo4j_graph;hlk_graph_mcp,experimental,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,internal,Data Architect,D-IH-93-I,T3 read index; NEO4J_* env gated at dev.,2026-06-04,Data Governance Office,D-IH-93-I,v3.1
BI-HOL-STREAMLIT,T6,Streamlit prototypes,comp_matriz_00014,graph_api;scripts/hlk_graph_explorer.py,active,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,internal,System Owner,D-IH-93-I,Secondary prototype BI shell.,2026-06-04,Data Governance Office,D-IH-93-I,v3.1
BI-HOL-POWER-BI,T7,Microsoft Power BI,comp_i93_power_bi,erp.vw_*;export_views;client_sharepoint,client_tenant,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_ENGAGEMENT_INTEGRATION_SCAFFOLD_001.md,A,Data Governance Office,D-IH-93-I,Stream A client tenant BI; PG connector or export views.,2026-06-04,Data Governance Office,D-IH-93-I,v3.1
BI-HOL-MAKE,T8,Make,comp_matriz_00005,saas_connectors;webhooks,active,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_ENGAGEMENT_INTEGRATION_SCAFFOLD_001.md,C,RevOps Manager,D-IH-93-I,Low-code RPA; pairs RPA_ADAPTER make row.,2026-06-04,Data Governance Office,D-IH-93-I,v3.1
BI-HOL-N8N,T8,n8n,comp_matriz_00011,saas_connectors;webhooks,active,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_ENGAGEMENT_INTEGRATION_SCAFFOLD_001.md,C,RevOps Manager,D-IH-93-I,Self-hosted automation option.,2026-06-04,Data Governance Office,D-IH-93-I,v3.1
BI-HOL-POWER-PLATFORM,T8,Microsoft Power Platform,comp_matriz_00013,holistika_tenant_flows;sharepoint_excel;client_tenant_flows,active,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_MS_DEMO_FACTORY_001.md,A,RevOps Manager,D-IH-93-J,Phase 1 Holistika tenant build; Phase 2 client handoff optional.,2026-06-04,Data Governance Office,D-IH-93-J,v3.1
BI-HOL-ANALYTICS-BUCKETS,T2,Supabase Analytics Buckets,comp_i93_analytics_buckets,analytics_buckets;iceberg_olap,active,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_PRODUCTION_READINESS_001.md,internal,Marketing Analytics Manager,D-IH-93-J,Operator production OLAP; Marketing primary RevOps secondary.,2026-06-04,Data Governance Office,D-IH-93-J,v3.1
BI-HOL-GOOGLE-ANALYTICS,T8,Google Analytics / Looker Studio,comp_i93_google_analytics,ga4;looker_studio,active,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,internal,Marketing Analytics Manager,D-IH-93-J,Campaign web analytics; pairs Google Workspace matrix rows.,2026-06-04,Data Governance Office,D-IH-93-J,v3.1
BI-HOL-META-ADS,T8,Meta Ads Manager,comp_i93_meta_business,meta_ads;meta_bm,active,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,internal,Marketing Analytics Manager,D-IH-93-J,Paid social reporting; Reach sub-area consumer.,2026-06-04,Data Governance Office,D-IH-93-J,v3.1
BI-HOL-HOLISTIKA-EDGE,T8,Supabase Edge Functions,comp_i93_holistika_edge,holistika_ops.*;pgmq;edge_webhooks,active,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_INTEGRATION_PLANE.md,B,System Owner,D-IH-93-I,Proven Stripe webhook pattern; Stream B default for Holistika-owned ingress.,2026-06-04,Data Governance Office,D-IH-93-I,v3.1
BI-HOL-GRAPH-MCP,T5,HLK Graph MCP,comp_i93_hlk_graph_mcp,neo4j_graph;mcp_tools,experimental,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,internal,AI Engineer,D-IH-93-I,Agent-facing graph BI consumer.,2026-06-04,Data Governance Office,D-IH-93-I,v3.1
BI-HOL-AKOS-CONTROL,T9,AKOS FastAPI control plane,comp_i93_openclaw_akos,langfuse;health_metrics;openclaw_inventory,active,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,internal,System Owner,D-IH-93-I,Control plane metrics + runtime inventory BI.,2026-06-04,Data Governance Office,D-IH-93-I,v3.1
