source_id,title,url,source_type,volatility_class,holistika_reliability,control_confidence_level,ingested_at,notes
INT-01,AREA_GOVERNANCE_DISCIPLINE 14-component bar,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/AREA_GOVERNANCE_DISCIPLINE.md,internal_canonical,low,A1,Safe,2026-06-05,Scalability via pattern_area_buildout
INT-02,I93 area completeness closure matrix,docs/wip/planning/93-data-area-foundation-and-governance/reports/area-completeness-matrix-2026-06-05.md,internal_evidence,low,A1,Safe,2026-06-05,88% reference bar
INT-03,Finance area matrix 2026-06-05,scripts/validate_area_completeness.py --matrix,internal_runbook,low,A1,Safe,2026-06-05,Finance 50% five gaps
INT-04,I81 FINOPS end-to-end synthesis,docs/wip/planning/81-vault-integrity-layout-milestones-retrofit/reports/i81/p2-tranche-t1-finops-synthesis-2026-05-22.md,internal_canonical,low,A1,Safe,2026-06-05,Five planes pricing tax OPS backlog
INT-05,I88 P1 FINOPS pillar sweep,docs/wip/planning/88-cross-area-ops-wiring-review-discipline/reports/p1-finops-pillar-sweep-2026-06-05.md,internal_evidence,medium,B1,Safe,2026-06-05,Spine evidence superseded for area bar
INT-06,FINOPS counterparty register SSOT,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/finops/FINOPS_COUNTERPARTY_REGISTER.csv,internal_canonical,medium,A1,Safe,2026-06-05,28 active rows
INT-07,DATA_BI_GOVERNANCE,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,internal_canonical,low,A1,Safe,2026-06-05,Finance as dimension hub
INT-08,Holistika ops/data lattice,docs/guides/holistika-ops-governance-lattice.md,internal_runbook,low,A1,Safe,2026-06-05,Data good Ops entrypoints
INT-09,CAPABILITY_REGISTRY Finance rows,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CAPABILITY_REGISTRY.csv,internal_canonical,medium,A1,Safe,2026-06-05,16 CAP all partial
INT-10,baseline_organisation Finance roles,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/baseline_organisation.csv,internal_canonical,low,A1,Safe,2026-06-05,Pricing Taxes O2C PTP planned
INT-11,OPS_REGISTER OPS-81-5 rev-rec,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/OPS_REGISTER.csv,internal_tracker,low,A1,Safe,2026-06-05,CRITICAL open
INT-12,OPS_REGISTER OPS-81-6 pricing tiers,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/OPS_REGISTER.csv,internal_tracker,low,A1,Safe,2026-06-05,HIGH open pairs OPS-81-5
