phase,commit_sha,commit_date,change_kind,lines_delta,repo,file_path,file_kind,role_owner,area,entity,decision_ids,process_ids,linked_canonicals,validators_run,requires_operator_gate,change_summary,notes
R+5-C6,2839f22,2026-05-29,created,+200,openclaw-akos,docs/references/hlk/v3.0/Research/canonicals/RESEARCH_LIFECYCLE_DOCTRINE.md,canonical,Lead Researcher,Research,Holistika,D-IH-75-G;D-IH-75-H,,RESEARCH_AREA_CHARTER.md,validate_hlk;validate_hlk_vault_links,no,CORPINT lifecycle elevated to area spine + 4 crafts + cross-area joins + evidence base,The logic-change centerpiece
R+5-C6,2839f22,2026-05-29,created,+50,openclaw-akos,docs/references/hlk/v3.0/Research/Methodology/README.md,reference,KM Officer,Research,Holistika,D-IH-75-G,,RESEARCH_LIFECYCLE_DOCTRINE.md,validate_hlk_vault_links,no,Methodology discipline index (how-we-research; RECALL owner),Discipline-root index
R+5-C6,2839f22,2026-05-29,created,+50,openclaw-akos,docs/references/hlk/v3.0/Research/Intelligence/README.md,reference,Research Analyst,Research,Holistika,D-IH-75-G,,RESEARCH_LIFECYCLE_DOCTRINE.md,validate_hlk_vault_links,no,Intelligence discipline index (what-we-collect; ACQUIRE owner),Discipline-root index
R+5-C6,2839f22,2026-05-29,created,+40,openclaw-akos,docs/references/hlk/v3.0/Research/Diagnosis/README.md,reference,Research Director,Research,Holistika,D-IH-75-G,,RESEARCH_LIFECYCLE_DOCTRINE.md,validate_hlk_vault_links,no,Diagnosis discipline index (whats-wrong; PROCESS verdict),Discipline-root index
R+5-C6,2839f22,2026-05-29,created,+40,openclaw-akos,docs/references/hlk/v3.0/Research/Validation/README.md,reference,KM Officer,Research,Holistika,D-IH-75-G,,RESEARCH_LIFECYCLE_DOCTRINE.md,validate_hlk_vault_links,no,Validation discipline index (whats-true; PROCESS truth-gate),Discipline-root index
R+5-C6,2839f22,2026-05-29,created,+30,openclaw-akos,docs/references/hlk/v3.0/Research/Methodology/Pillars/README.md,reference,KM Officer,Research,Holistika,D-IH-75-G,,CAPABILITY_REGISTRY.csv,validate_hlk_vault_links,no,Pillars sub-area index seeded from capability rows (HxPESTAL PESTEL Foresight),Replaces empty husk
R+5-C6,2839f22,2026-05-29,created,+30,openclaw-akos,docs/references/hlk/v3.0/Research/Methodology/Techniques/README.md,reference,Lead Researcher,Research,Holistika,D-IH-75-G,,CAPABILITY_REGISTRY.csv,validate_hlk_vault_links,no,Techniques sub-area index seeded from capability rows,Replaces empty husk
R+5-C6,2839f22,2026-05-29,created,+30,openclaw-akos,docs/references/hlk/v3.0/Research/Methodology/Deep-Research/README.md,reference,Holistik Researcher,Research,Holistika,D-IH-75-G,,CAPABILITY_REGISTRY.csv,validate_hlk_vault_links,no,Deep-Research sub-area index seeded from pipeline capability rows,Replaces empty husk
R+5-C6,2839f22,2026-05-29,created,+30,openclaw-akos,docs/references/hlk/v3.0/Research/Intelligence/HUMINT/README.md,reference,HUMINT Specialist,Research,Holistika,D-IH-75-G,,CAPABILITY_REGISTRY.csv;source_taxonomy.md,validate_hlk_vault_links,no,HUMINT sub-area index (Enriched Interview Focus group Field Obs),Replaces empty husk
R+5-C6,2839f22,2026-05-29,created,+30,openclaw-akos,docs/references/hlk/v3.0/Research/Intelligence/OSINT/README.md,reference,OSINT Analyst,Research,Holistika,D-IH-75-G,,CAPABILITY_REGISTRY.csv;source_taxonomy.md,validate_hlk_vault_links,no,OSINT sub-area index (Web Intel Social Media Intel Publication Monitoring),Replaces empty husk
