persona_id,name,direction,intent_summary,value_band,typical_languages,typical_channels,typical_distance_band,qualification_gate,intro_artifact_path,handoff_role,linked_topic_ids,notes
PERSONA-INVESTOR-COLD,Investor (cold inbound),inbound,Wants to evaluate Holistika as a potential investment,depends_on_qualification,en;es,CHAN-LINKEDIN-DM;CHAN-EMAIL-INBOUND,N3-N4,Confirm fit (sector / stage / ticket size); request cap-table-friendly intro pack only after first 1-on-1,TODO[OPERATOR-persona-investor-cold-intro],Founder,topic_persona_registry,"Initiative 31 seed. Cold investors arrive almost always at N3-N4 via LinkedIn or cold email; first response confirms relevance before investing time."
PERSONA-INVESTOR-WARM,Investor (warm referral),inbound,Same as cold but arrives via referral,high,en;es,CHAN-EMAIL-INBOUND;CHAN-DIRECT-DM;CHAN-PARTNER-REFERRAL,N1-N2,Confirm bridge person; schedule 30 min within 1 week,TODO[OPERATOR-persona-investor-warm-intro],Founder,topic_persona_registry,"Warm investors deserve a different template (bridge person referenced; tighter SLA)."
PERSONA-ADVISOR-REFERRAL,Advisor (warm referral),inbound,Wants to provide advisory services or refer business,high,es;en,CHAN-EMAIL-INBOUND;CHAN-DIRECT-DM;CHAN-PARTNER-REFERRAL,N1-N2,Confirm reference + scope of advisory ask before scheduling,TODO[OPERATOR-persona-advisor-referral-intro],PMO,topic_persona_registry,"Existing ENISA pattern: most current adviser engagements arrived via warm referral."
PERSONA-ADVISOR-COLD,Advisor (cold pitch),inbound,Pitches advisory services without prior context,low,en;es,CHAN-LINKEDIN-DM;CHAN-EMAIL-INBOUND,N3-N4,Polite acknowledgment; no time investment unless they show specific Holistika context,TODO[OPERATOR-persona-advisor-cold-intro],PMO,topic_persona_registry,"Default response is acknowledgement-and-defer; we do not need cold advisors today."
PERSONA-TALENT-INBOUND,Talent inbound,inbound,Wants to join Holistika or collaborate as an ongoing contractor,depends_on_qualification,any,CHAN-WEB-FORM;CHAN-LINKEDIN-DM;CHAN-EMAIL-INBOUND,N3-N4,Auto-acknowledge in 48h; require a portfolio + 1 written reference; only invite to call when both are present,TODO[OPERATOR-persona-talent-inbound-intro],PMO,topic_persona_registry,"Talent inbound is the future-traffic anchor when site adds careers page."
PERSONA-VENDOR-OUTBOUND,Vendor (Holistika sources externally),outbound,Holistika seeks hourly-rate professional services,depends_on_qualification,any,CHAN-DIRECT-DM;CHAN-EMAIL-INBOUND;CHAN-LINKEDIN-DM,N1-N4,Brief hand-over via TEMPLATE_OUTBOUND_BRIEF; SLA + payment terms agreed upfront,TODO[OPERATOR-persona-vendor-outbound-intro],PMO,topic_persona_registry,"The 'cheap pro work via clear requirements' pattern. Outbound to anywhere globally; timeframe-agnostic per founder testimony. Cross-references topic_sourcing_register (added in I31 P5)."
PERSONA-VENDOR-INBOUND,Vendor (pitches Holistika),inbound,Vendor pitches their service unsolicited,low,any,CHAN-EMAIL-INBOUND;CHAN-LINKEDIN-DM,N3-N4,Default low priority; only engage when discipline aligns with current sourcing register need,TODO[OPERATOR-persona-vendor-inbound-intro],PMO,topic_persona_registry,"Vendor inbound is rarely high-value because we want governed sourcing on our terms."
PERSONA-PRESS,Press / journalist,inbound,Wants quote or interview,medium,en;es,CHAN-EMAIL-INBOUND;CHAN-LINKEDIN-DM,N2-N4,Brand Manager handles; Founder vetoes if topic is sensitive,TODO[OPERATOR-persona-press-intro],Brand Manager,topic_persona_registry,"Press touchpoint matters for brand surface; treat with care."
PERSONA-CUSTOMER-KIRBE-PROSPECT,KiRBe SaaS prospect,inbound,Wants to evaluate KiRBe as a knowledge-management platform,high,es;en,CHAN-WEB-FORM;CHAN-EMAIL-INBOUND;CHAN-CAL-SCHEDULE,N3-N4,Auto-route to KiRBe trial flow; qualifying questions on size + use-case match,TODO[OPERATOR-persona-customer-kirbe-prospect-intro],System Owner,topic_persona_registry;topic_kirbe_billing_plane_routing,"Channel 3 (KiRBe inbound) per CHANNEL_STRATEGY.md."
PERSONA-CUSTOMER-SERVICE-PROSPECT,Service prospect,inbound,Wants to evaluate Holistika for an applied research / consulting engagement,high,es,CHAN-EMAIL-INBOUND;CHAN-DIRECT-DM;CHAN-CAL-SCHEDULE,N1-N3,30-min discovery call; scope-shaping document follow-up,TODO[OPERATOR-persona-customer-service-prospect-intro],Founder,topic_persona_registry,"Channel 1 (Founder-led direct outbound) plus warm inbound."
PERSONA-PARTNER-JOINT-EQUITY,Partner (joint-equity SaaS pilot),inbound,Wants Holistika to build a SaaS in exchange for equity + revenue share,high,es;en,CHAN-EMAIL-INBOUND;CHAN-DIRECT-DM;CHAN-PARTNER-REFERRAL,N2-N3,3-of-3 gate per CHANNEL_STRATEGY Channel 6; bridge confirmation if N>1,TODO[OPERATOR-persona-partner-joint-equity-intro],Founder,topic_persona_registry;topic_channel_strategy,"Initiative 30 Channel 6. Highest demand-signal channel today; needs structured intro pack."
PERSONA-PARTNER-SUBCONTRACT,Partner (subcontract / Channel 2),inbound,Wants Holistika to deliver engineering for partner's end-clients,medium,es;en,CHAN-EMAIL-INBOUND;CHAN-DIRECT-DM;CHAN-PARTNER-REFERRAL,N1-N2,Existing partner pattern; usually arrives with a defined SoW,TODO[OPERATOR-persona-partner-subcontract-intro],Founder,topic_persona_registry;topic_channel_strategy,"Channel 2 (Partner B2B Websitz pattern)."
PERSONA-IDEA-PROPOSER,Idea proposer (warm),inbound,Known person with a project idea looking for execution,depends_on_qualification,any,CHAN-DIRECT-DM;CHAN-EMAIL-INBOUND;CHAN-CAL-SCHEDULE,N1-N2,Quick informal exchange first; formalise into joint-equity or subcontract path if it advances,TODO[OPERATOR-persona-idea-proposer-intro],Founder,topic_persona_registry,"The 'known person with project idea' pattern from operator testimony."
PERSONA-RANDOM-INBOUND,Random inbound (catch-all),inbound,Unspecified intent; could be anything,low,any,CHAN-EMAIL-INBOUND;CHAN-WEB-FORM;CHAN-LINKEDIN-DM,N4,Acknowledge in 7d; ask qualifying question to bucket into another persona,TODO[OPERATOR-persona-random-inbound-intro],PMO,topic_persona_registry,"Catch-all. Re-bucket to a specific persona after 1-2 exchanges."
PERSONA-EXISTING-CUSTOMER,Existing customer (post-sale),bidirectional,Active customer engagement; renewals + expansion + support,high,matches engagement,CHAN-DIRECT-DM;CHAN-EMAIL-INBOUND;CHAN-CAL-SCHEDULE,N1,Default-N1; route per existing engagement playbook,TODO[OPERATOR-persona-existing-customer-intro],matches engagement,topic_persona_registry,"Bidirectional. Customer migrates to N1 once engagement is active."
