type,orientation,entity,area,role_parent_1,role_owner,item_parent_2,item_parent_1,item_name,item_id,item_granularity,time_hours_par,description,instructions,addundum_extras,confidence,count_name,frequency,quality
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,Research Material,Research Material / Pipeline,Build Research Process,gtm_research_dtp_1,task,,,,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,Research Material,Research Material / Pipeline,Gather Research Channels,gtm_research_dtp_2,task,,,,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,Research Material,Research Material / Pipeline,Integrate Research Material into MADEIRA,gtm_research_dtp_3,task,,,,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,Research Material,Research Material / Pipeline,Scrape Reseach Channels,gtm_research_dtp_4,task,,,,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,Research Material,Research Material / Pipeline,Build Data Governance for Research,gtm_research_dtp_5,task,,,,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,Research Material,Research Material / Pipeline,Build UI for visualization or interaction with KMS and MADEIRA,gtm_research_dtp_6,task,,,,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,Office Automation,gtm_research_dtp_7,process,,"[Youtube Office Automation Playlist](https://www.youtube.com/playlist?list=PL0yE7txQizqQenePpgnfmko4VCT5ViC8o&jct=9NxSr9pMqp_V1-lQmK-6JA ""‌"")",,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,People,gtm_research_dtp_8,process,,"[Youtube People Playlist](https://www.youtube.com/playlist?list=PL0yE7txQizqRlfQi6Thk1cqKJm1F6zUFp&jct=QdWuG1DUMz6bKiRzHZ3vmA ""‌"")",,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,Security & Intelligence,gtm_research_dtp_9,process,,"[Youtube Securiity & Intelligence Playlist](https://www.youtube.com/playlist?list=PL0yE7txQizqRNxDF3Sq5wm8osboUi5qtr&jct=MQ4xqM1EepF7mdYme1UM1g ""‌"")",,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,Design,gtm_research_dtp_10,process,,"[Youtube Design Playlist](https://www.youtube.com/playlist?list=PL0yE7txQizqT-G0KgwMYhgvVkiqa7dTEt&jct=qZEZazKXkxnDXFh35z0f1g ""‌"")",,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,System Design,gtm_research_dtp_11,process,,"[YouTube System Design Playlist](https://www.youtube.com/playlist?list=PL0yE7txQizqTdvVMaUpMPnTiLn13Q4d3p&jct=ofJWM98v-O94sEk7X1kWBA ""‌"")",,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,Content & Channel Strategy,gtm_research_dtp_12,process,,"[Youtube Content & Channel Strategy Playlist](https://www.youtube.com/playlist?list=PL0yE7txQizqQYwrefpmDEkz2lBiY2HoAg&jct=yqefsVaoDwZigBuEfejGuQ ""‌"")",,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,Macro Economists & Investments,gtm_research_dtp_13,process,,"[Youtube Macro Economists & Investments Playlist](https://www.youtube.com/playlist?list=PL0yE7txQizqTLIcxk9x3-CwkZu3fQY6GA&jct=dKEiXGlc1GOSN1VqLUmAqw ""‌"")",,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,AI,gtm_research_dtp_14,process,,"[Youtube AI Playlist](https://www.youtube.com/playlist?list=PL0yE7txQizqQKsQ1BHuzULRCWDuu97hk3&jct=u9Rjkm-BAQWLmXp63WKMPQ ""‌"")",,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,Politics,gtm_research_dtp_15,process,,"[Youtube Politics Playlist](https://www.youtube.com/playlist?list=PL0yE7txQizqSr49_crlwcLPJtwMuN2SnC&jct=7kQC0uLAsNckGI89v5n8dw ""‌"")",,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,Social,gtm_research_dtp_16,process,,"[Youtube Social Playlist](https://www.youtube.com/playlist?list=PL0yE7txQizqSr49_crlwcLPJtwMuN2SnC&jct=7kQC0uLAsNckGI89v5n8dw ""‌"")",,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,Logic,gtm_research_dtp_17,process,,"[Youtube Logic Playlist](https://www.youtube.com/playlist?list=PL0yE7txQizqQYwrefpmDEkz2lBiY2HoAg&jct=yqefsVaoDwZigBuEfejGuQ ""‌"")",,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,Legal,gtm_research_dtp_18,process,,"[Youtube Legal Playlist](https://www.youtube.com/playlist?list=PL0yE7txQizqQvt8o27B5oHnKw7DfQDOP- ""‌"")",,,,,,
Internal,Employee,Holistika,Research,O5-1,Holistik Researcher,,Research Material,UX - Customer Relationship,gtm_research_dtp_19,process,,UX - Customer Relationship. https://www.youtube.com/playlist?list=PL0yE7txQizqSqpmMsQ_CC5PfdlrTyRUvC&jct=gBvXE1Crcf-reXugpRnN8g,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Political,Technocrats Influence over Politics (Global),gtm_madeira_dtp_1,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Political,National Politicians and Internal Schism (per Region),gtm_madeira_dtp_2,task,,,,,,,,
Internal,Employee,Holistika,Tech,O5-1,AI Engineer,MADEIRA Project,Research - Topics on Radar / Political,Revision of 20th Century Political Agreements,gtm_madeira_dtp_3,task,,,,,,,,
