tool_id,tool_category_name,description,allowed_in_ask,allowed_in_plan,allowed_in_agent,allowed_in_debug,allowed_in_methodology,conditional_constraint,representative_tools,provenance,status,last_review,last_review_decision_id,notes
tool_read_codebase,Codebase read,Read repo files and search code without mutation.,yes,yes,yes,yes,yes,,Read;Glob;Grep;SemanticSearch;ReadLints,cursor-native,active,2026-05-19,D-IH-76-A,Universal across all 5 modes; never mutates state.
tool_read_external,External read,Fetch web content and search the web without mutation.,yes,yes,yes,yes,yes,,WebFetch;WebSearch,cursor-native,active,2026-05-19,D-IH-76-A,External-world read; never mutates remote state.
tool_write_planning,Planning-doc write,Write or edit markdown under docs/wip/planning/** only.,no,yes,yes,no,conditional,Methodology mode may write only to methodology-tracking files (LOGIC_CHANGE_LOG drafts; operator-scratchpad; decision-row drafts; principle log).,Write;StrReplace;EditNotebook (scoped to docs/wip/planning/**),cursor-native,active,2026-05-19,D-IH-76-A,Ask mode forbids all writes; Debug mode forbids planning writes (findings go to LOGIC_CHANGE_LOG via Methodology transition).
tool_write_canonical_code,Canonical and code write,Write or edit canonical CSVs / SOPs / code / configs / migrations.,no,no,yes,no,no,,Write;StrReplace;EditNotebook (akos/** scripts/** tests/** config/** supabase/** docs/references/**),cursor-native,active,2026-05-19,D-IH-76-A,Agent-mode-only; canonical-CSV gate (process_list / baseline_organisation / DECISION_REGISTER / etc.) requires explicit operator approval per akos-governance-remediation.mdc.
tool_write_methodology,Methodology authoring,Write methodology-tracking artifacts (LOGIC_CHANGE_LOG / DECISION_REGISTER drafts / scratchpad / principle log).,no,no,yes,conditional,yes,Debug mode may append findings to LOGIC_CHANGE_LOG row drafts only (no other methodology surfaces) — surfaces a Methodology-mode transition when full methodology authoring is needed.,Write;StrReplace (to LOGIC_CHANGE_LOG / DECISION_REGISTER drafts / docs/wip/planning/**/operator-scratchpad.md),cursor-native,active,2026-05-19,D-IH-76-A,Methodology mode's primary surface; persistent-across-sessions per MADEIRA_MODE_PARITY.md §3.2.
tool_delete_files,File deletion,Delete files from the repo.,no,no,yes,no,no,,Delete,cursor-native,active,2026-05-19,D-IH-76-A,Agent-mode-only; reversible via git checkout; canonical-CSV deletes additionally require operator gate.
tool_shell_read_only,Shell read-only,Execute read-only shell commands (no mutation of repo or world).,no,no,yes,yes,no,,Shell (with git log/diff/status/blame; py scripts/validate_*.py; pytest; ls/cat-equivalent),shell,active,2026-05-19,D-IH-76-A,Debug-mode usage limited to investigation; no fixes (those require Agent-mode transition).
tool_shell_full,Shell full,Execute arbitrary shell commands including mutation (git commit/push/install/build/deploy).,no,no,yes,no,no,,Shell (with git commit;git push;npm install;py scripts/* mutating;deploy commands),shell,active,2026-05-19,D-IH-76-A,Agent-mode-only; subagent spawning excluded (see tool_subagent_delegation).
tool_subagent_delegation,Subagent delegation,Spawn background or foreground subagents via Task tool.,no,no,yes,no,no,,Task,cursor-native,active,2026-05-19,D-IH-76-A,Agent-mode-only; subagents inherit per-mode RBAC of their spawned mode (default Agent).
tool_operator_dialog,Operator dialog,Surface structured AskQuestion ratify gates to the operator.,no,yes,yes,no,yes,,AskQuestion,cursor-native,active,2026-05-19,D-IH-76-A,Plan mode uses for plan-ratify gates; Agent mode for inline-ratify per akos-inline-ratification.mdc; Methodology mode for methodology-candidate ratify; Ask mode is read-only research (no ratify needed); Debug mode escalates by transition not by AskQuestion.
tool_image_generation,Image generation,Generate image files (icons / mockups / assets).,no,no,yes,no,no,,GenerateImage,cursor-native,active,2026-05-19,D-IH-76-A,Agent-mode-only; user-explicit-request-only per GenerateImage tool description.
tool_mcp_observability_readonly,MCP observability readonly,Query observability MCPs (Sentry / Cloudflare Observability / Render monitoring / browser snapshot).,yes,yes,yes,yes,yes,,CallMcpTool against plugin-sentry-sentry;plugin-cloudflare-cloudflare-observability;plugin-render-render (monitor*);cursor-ide-browser browser_snapshot/browser_take_screenshot/browser_console_messages,mcp-server,active,2026-05-19,D-IH-76-A,Read-only observability is universal across all 5 modes; never mutates remote state.
tool_mcp_data_mutation,MCP data mutation,Mutate data via MCP (Supabase apply_migration / execute_sql mutating / data write).,no,no,yes,no,no,,CallMcpTool against plugin-supabase-supabase apply_migration / mutating execute_sql; user-supabase same,mcp-server,active,2026-05-19,D-IH-76-A,Agent-mode-only; data-plane gate per akos-holistika-operations.mdc operator SQL gate; mutating DML requires staging + migration file + operator gate.
tool_mcp_external_world_mutation,MCP external world mutation,Mutate external world via MCP (Slack send / Resend email / Stripe write / Figma write).,no,no,conditional,no,no,Agent-mode external-world mutation requires (a) operator-ratified send list and (b) BBR external-register check per akos-brand-baseline-reality.mdc and (c) render-trail per akos-external-render-discipline.mdc when audience is external.,CallMcpTool against plugin-slack-slack post-message tools;plugin-resend-resend send-email tools;user-stripe write tools;plugin-figma-figma use_figma write paths,mcp-server,active,2026-05-19,D-IH-76-A,Agent-mode-only AND conditional; never silent — operator ratification required for external-world side effects.
