auth_row_id,row_kind,surface_key,config_surface,consumer_initiative,consumer_binding,posture,owner_role,last_review_decision_id,notes
SUPA-AUTH-01,provider,email_magic_link,Supabase Dashboard → Authentication → Providers → Email,INIT-OPENCLAW_AKOS-96,hlk-erp /sign-in → /auth/callback,active,System Owner,D-IH-99-E,Operator Preview PASS 2026-06-13; primary UAT path
SUPA-AUTH-02,provider,email_password,Supabase Dashboard → Authentication → Providers → Email,INIT-OPENCLAW_AKOS-96,hlk-erp /api/dev/sign-in (Preview only),parked,System Owner,D-IH-99-E,OPS-96-8; invalid-credentials on Preview; not blocking while magic link works
SUPA-AUTH-03,provider,google_oauth,Supabase Dashboard → Authentication → Providers → Google,INIT-OPENCLAW_AKOS-96,hlk-erp /sign-in OAuth,scheduled,System Owner,D-IH-99-E,Google Workspace SSO; OPS-99-3; enable at P5 after client ID/secret + redirect rows
SUPA-AUTH-04,redirect_url,prod_callback,Supabase Dashboard → URL Configuration → Redirect URLs,INIT-OPENCLAW_AKOS-96,https://erp.holistikaresearch.com/auth/callback,active,System Owner,D-IH-99-A,Production ERP; binding per I96 domain SSOT
SUPA-AUTH-05,redirect_url,preview_stable_callback,Supabase Dashboard → URL Configuration → Redirect URLs,INIT-OPENCLAW_AKOS-96,https://preview.erp.holistikaresearch.com/auth/callback,active,System Owner,D-IH-99-A,Stable Preview host; verify build serves B1.5 before UAT ratify
SUPA-AUTH-06,redirect_url,preview_pr_branch_callback,Supabase Dashboard → URL Configuration → Redirect URLs,INIT-OPENCLAW_AKOS-96,https://hlk-erp-git-feat-i96-research-center-b15-holistika.vercel.app/auth/callback,active,System Owner,D-IH-99-E,PR #36 branch host; operator magic-link PASS; add per-PR rows when needed — no *.vercel.app wildcard
SUPA-AUTH-07,redirect_url,local_callback,Supabase Dashboard → URL Configuration → Redirect URLs,INIT-OPENCLAW_AKOS-96,http://localhost:3010/auth/callback,active,System Owner,D-IH-99-A,Local dev; localhost L3 B1.5 UAT
SUPA-AUTH-08,smtp,builtin_demo,Supabase built-in mail (demo),INIT-OPENCLAW_AKOS-96,magic-link delivery,active,System Owner,D-IH-99-E,Works for Preview UAT; not production-grade deliverability
SUPA-AUTH-09,smtp,resend_custom,Supabase Dashboard → Authentication → SMTP + Resend,INIT-OPENCLAW_AKOS-68,auth@ / noreply@ holistikaresearch.com,scheduled,System Owner,D-IH-99-E,OPS-99-1; SPF/DKIM via Cloudflare; after domain verify
SUPA-AUTH-10,email_template,magic_link_html,Supabase Dashboard → Authentication → Email Templates → Magic Link,INIT-OPENCLAW_AKOS-96,branded Holistika ERP mail,scheduled,System Owner,D-IH-99-E,OPS-99-4; requires Resend SMTP first
SUPA-AUTH-11,hook,on_auth_user_created_public,auth.users trigger → public.handle_public_user(),,new user → public.users insert,drift,System Owner,D-IH-99-E,Live-only; not in AKOS migrations; blocks Add user in Dashboard; I99 P2 catalog — migrate or retire at operator gate
SUPA-AUTH-12,hook,on_auth_user_created_kirbe,auth.users trigger → kirbe.handle_new_auth_user(),INIT-OPENCLAW_AKOS-07,kirbe.provision_user(new.id),drift,System Owner,D-IH-99-E,Live-only KiRBe provision; cross-schema; disposition at M2/M3 in live DB discovery
SUPA-AUTH-13,session_policy,jwt_ssr_cookie,hlk-erp @supabase/ssr middleware,,hlk-erp middleware + getCurrentUser(),active,AI Engineer,D-IH-99-A,Blessed consumer SSR contract; see auth-registry spec §4
SUPA-AUTH-14,rbac_post_auth,current_user_role_mapping,holistika_ops.current_user_role_mapping() RPC,INIT-OPENCLAW_AKOS-96,/research-center access_level >= 4,active,Data Architect,D-IH-99-C,Migration 20260612093000; ledger clean 97/97
SUPA-AUTH-15,consumer_route,research_center_gate,hlk-erp middleware,,/research-center requires role mapping,active,System Owner,D-IH-99-A,Redirects to /auth/role-resolve when mapping missing
SUPA-AUTH-16,env_var,preview_dev_signin,vercel Preview env,,ALLOW_PREVIEW_DEV_SIGNIN=1; DEV_PREVIEW_*; NEXT_PUBLIC_DEV_PASSWORD_AUTH=1,parked,System Owner,D-IH-99-E,Dev-password path parked; magic link preferred
