source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-INF-INT-001,BL-ADAPTER,data-mesh-products,REVOPS ADAPTER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/dimensions/REVOPS_ADAPTER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ADAPTER; holistika-corpint ingest
SRC-INF-INT-002,BL-ADAPTER,data-mesh-products,CONTRACT ADAPTER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Operations/SMO/canonicals/dimensions/CONTRACT_ADAPTER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ADAPTER; holistika-corpint ingest
SRC-INF-INT-003,BL-COMPLY,dama-dmbok,FINOPS COUNTERPARTY REGISTER,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/finops/FINOPS_COUNTERPARTY_REGISTER.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-004,BL-FIN,finops-economics,COLLABORATOR SHARE REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/People Operations/canonicals/dimensions/COLLABORATOR_SHARE_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-FIN; holistika-corpint ingest
SRC-INF-INT-005,BL-MKT,km-moat,BRAND COUNTERPARTY README CONTRACT,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_COUNTERPARTY_README_CONTRACT.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-MKT; holistika-corpint ingest
SRC-INF-INT-006,BL-ADAPTER,data-mesh-products,RPA ADAPTER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/RPA_ADAPTER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ADAPTER; holistika-corpint ingest
SRC-INF-INT-007,BL-ADAPTER,data-mesh-products,BILLING ADAPTER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Operations/RevOps/canonicals/dimensions/BILLING_ADAPTER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ADAPTER; holistika-corpint ingest
SRC-INF-INT-008,BL-COMPLY,dama-dmbok,CANONICAL REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/CANONICAL_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-009,BL-COMPLY,dama-dmbok,INITIATIVE REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/INITIATIVE_REGISTRY.csv,dataset,CORPINT,5.3,4,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-010,BL-COMPLY,dama-dmbok,CANONICAL GOVERNANCE REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CANONICAL_GOVERNANCE_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-011,BL-COMPLY,dama-dmbok,SUBSTRATE REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/SUBSTRATE_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-COMPLY; holistika-corpint ingest
SRC-INF-INT-012,BL-DATA,dama-dmbok,DATA CONTRACT REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/DATA_CONTRACT_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-DATA; holistika-corpint ingest
SRC-INF-INT-013,BL-ENVOY,agentic-context-economics,MADEIRA AIC PER TASK REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/MADEIRA_AIC_PER_TASK_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ENVOY; holistika-corpint ingest
SRC-INF-INT-014,BL-UX,area-maturity-bar,BRAND UX DESIGNER CHARTER,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/UX Designer/canonicals/BRAND_UX_DESIGNER_CHARTER.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-UX; holistika-corpint ingest
SRC-INF-INT-015,BL-ADAPTER,data-mesh-products,ATTRIBUTION ADAPTER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Experimentation/canonicals/dimensions/ATTRIBUTION_ADAPTER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ADAPTER; holistika-corpint ingest
SRC-INF-INT-016,BL-ADAPTER,data-mesh-products,COMMUNICATION ADAPTER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/dimensions/COMMUNICATION_ADAPTER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ADAPTER; holistika-corpint ingest
SRC-INF-INT-017,BL-ADAPTER,data-mesh-products,CRM ADAPTER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/dimensions/CRM_ADAPTER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ADAPTER; holistika-corpint ingest
SRC-INF-INT-018,BL-ADAPTER,data-mesh-products,EMAIL ADAPTER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/dimensions/EMAIL_ADAPTER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ADAPTER; holistika-corpint ingest
SRC-INF-INT-019,BL-ADAPTER,data-mesh-products,SCHEDULING ADAPTER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/dimensions/SCHEDULING_ADAPTER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-valuation,P2 vault/WIP sweep; prong=BL-ADAPTER; holistika-corpint ingest
