entity_type,entity_label,ssot_path,archimate_aspect,zachman_cell,neo4j_label,owning_area,status,notes
role,Role,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/baseline_organisation.csv,active_structure,who,Role,People,active,Performer; reports_to/area/sub_area/responsible_processes/components_used FKs
aic,AIC,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/AIC_REGISTRY.csv,active_structure,who,,Tech,active,AI collaborator; performs processes like a role
persona,Persona,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/PERSONA_REGISTRY.csv,active_structure,who,Persona,Marketing,active,Actor archetype
entity,Entity,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/baseline_organisation.csv,active_structure,who,,People,active,Holistika/Think Big/HLK Tech Lab org units
channel,Channel,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CHANNEL_TOUCHPOINT_REGISTRY.csv,active_structure,where,Channel,Marketing,active,Interaction interface
sourcing,Sourcing,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/SOURCING_REGISTER.csv,active_structure,where,Sourcing,Reach,active,Sourcing channel
process,Process,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/process_list.csv,behavior,how,Process,per-area,active,item_granularity project/process/activity/task = intra-type layers
pattern,Pattern,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/PEOPLE_DESIGN_PATTERN_REGISTRY.csv,behavior,how,,People,active,Reusable design pattern; realized-as process
engagement,Engagement,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/ENGAGEMENT_REGISTRY.csv,behavior,how,,Finance,active,Client engagement / service offering
capability,Capability,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/CAPABILITY_REGISTRY.csv,strategy,how,,per-area,active,Business capability; capability-map anchor
skill,Skill,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/SKILL_REGISTRY.csv,behavior,how,Skill,People,active,Competence assigned to roles
use_case,Use-case,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/USE_CASE_ARCHIVE.csv,behavior,how,,Marketing,active,Scenario realizing a capability
persona_scenario,Persona-scenario,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/PERSONA_SCENARIO_REGISTRY.csv,behavior,how,,Marketing,active,Specialization of persona
topic,Topic,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/TOPIC_REGISTRY.csv,passive_structure,what,Topic,Research,active,Knowledge topic; parent/child tree
component,Component,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/COMPONENT_PRIMITIVE_REGISTRY.csv,passive_structure,what,,Tech,active,Reusable component primitive
canonical,Canonical,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/CANONICAL_REGISTRY.csv,passive_structure,what,,per-area,active,Governed artifact registered in the vault
metric,Metric,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/METRICS_REGISTRY.csv,passive_structure,what,,Data,active,Semantic-layer metric (define-once)
