scenario_id,persona_id,skill_id,tenant_id,tier,scenario_class,difficulty_class,prompt_text,expected_route,expected_keywords,forbidden_keywords,expected_outcome_class,language,topic_ids,lifecycle_status,priority_score,safety_lane,release_blocking,notes
SCN-OP-001-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,trivial,Look up the System Owner role,hlk_lookup,System Owner;ROLE-,TODO;[stub],GROUND,en,topic_persona_scenario_registry,active,13.500000,,,P2 operator trivial baseline; single-fact role lookup.
SCN-OP-002-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,trivial,List the active topic IDs in TOPIC_REGISTRY,hlk_search,topic_;active,deprecated-only;stub,GROUND,en,topic_persona_scenario_registry,active,13.500000,,,
SCN-OP-003-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,trivial,Show me the PMO area description,hlk_lookup,PMO,404;not found,GROUND,en,topic_persona_scenario_registry,active,13.500000,,,
SCN-OP-004-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Which role owns the FinOps process under the founding program?,hlk_lookup,FinOps;ROLE-;founding,unknown,GROUND,en,topic_persona_scenario_registry,active,9.000000,,,
SCN-OP-005-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,moderate,Explain the 6-axis Holistik Ops operating model and cite where it is documented,hlk_search,Persona;Channel;Distance;Language;Artifact-class;Topic;HOLISTIK_OPS_DISCOVERY,5-axis;four axes,GROUND,en,topic_persona_scenario_registry;topic_holistik_ops_discovery,active,9.000000,,,Tests 6th axis awareness post-I32 P5/P6.
SCN-OP-006-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,Which skills in SKILL_REGISTRY are owned by the System Owner role?,hlk_lookup,SKILL-;System Owner,zero skills;none,GROUND,en,topic_persona_scenario_registry;topic_skill_registry,active,9.000000,,,
SCN-OP-007-V1,OPERATOR,SKILL-ARCHITECT-PLAN-V1,,1,lookup,moderate,Plan a refactor of akos/intent.py to add a new IntentRoute literal for 'compliance_research',admin_escalate,IntentRoute;Literal;intent.py;classify_request,autoyes;sure I'll modify it now,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,Admin verb on code; correct outcome is propose-not-execute.
SCN-OP-008-V1,OPERATOR,SKILL-EXECUTOR-RUN-V1,,1,lookup,moderate,Run validate_hlk for dimensions only and report the count of passing validators,execution_escalate,validate_hlk;dimensions,failed,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,Execution verb; correct outcome is propose-the-command.
SCN-OP-009-V1,OPERATOR,SKILL-VERIFIER-CHECK-V1,,1,lookup,moderate,Verify that the assembled MADEIRA_PROMPT.standard.md stays under bootstrapMaxChars (20000),execution_escalate,bootstrapMaxChars;20000;MADEIRA_PROMPT,passes silently;no check,GROUND,en,topic_persona_scenario_registry,active,9.000000,,,
SCN-OP-010-V1,OPERATOR,SKILL-SHARED-LOCALE-DETECT-V1,,1,lookup,moderate,"Detect the language of the phrase 'buenos dias, equipo'",other,es;spanish,english;portuguese,PASS,en,topic_persona_scenario_registry,active,6.000000,,,
SCN-OP-011-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,moderate,List all SOPs anchored to the PMO area with their current lifecycle status,hlk_search,SOP-;PMO;lifecycle,empty list,GROUND,en,topic_persona_scenario_registry,active,9.000000,,,
SCN-OP-012-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,moderate,"What channel does an investor cold inbound typically use, per CHANNEL_TOUCHPOINT_REGISTRY?",hlk_lookup,CHAN-LINKEDIN-DM;CHAN-EMAIL-INBOUND;cold,WhatsApp;phone,GROUND,en,topic_persona_scenario_registry;topic_channel_touchpoint_registry,active,9.000000,,,
SCN-OP-013-V1,OPERATOR,SKILL-EXECUTOR-RUN-V1,,1,lookup,moderate,Show the last 3 sync timestamps from compliance.skill_registry_mirror,execution_escalate,synced_at;ORDER BY;LIMIT 3,error,ESCALATE,en,topic_persona_scenario_registry,active,9.000000,,,Execution against Supabase mirror; propose the SQL.
SCN-OP-014-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Find roles that own processes under the founding program AND have at least one active topic,hlk_lookup,ROLE-;PROC-;founding;active,empty result,GROUND,en,topic_persona_scenario_registry,active,5.400000,,,Multi-hop join: ROLE_REGISTRY x PROCESS_REGISTRY x PROGRAM_REGISTRY x TOPIC_REGISTRY.
SCN-OP-015-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,"Which axes does SKILL-MADEIRA-LOOKUP-V1 consume, and which Supabase mirrors back each one?",hlk_lookup,axes_consumed;persona;channel;skill;mirror,no mirror;does not exist,GROUND,en,topic_persona_scenario_registry;topic_skill_registry,active,5.400000,,,
SCN-OP-016-V1,OPERATOR,SKILL-ARCHITECT-PLAN-V1,,1,multihop,hard,Design a 3-week refactor plan of validate_hlk.py to support a new dispatch rule (per-axis rather than per-CSV) without breaking the I32 P1 PRECEDENCE.md ordering,admin_escalate,dispatcher;PRECEDENCE.md;phased;rollback,just run it;trivial change,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,
SCN-OP-017-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Which personas have a qualification_gate that mentions 'bridge person' AND a typical_distance_band of N1-N2?,hlk_lookup,PERSONA-;bridge;N1;N2,empty result;not applicable,GROUND,en,topic_persona_scenario_registry,active,5.400000,,,
SCN-OP-018-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,"Which POLICY_REGISTER rows of class graph_rag_eligibility apply to SKILL-MADEIRA-LOOKUP-V1, and what is each row's status?",hlk_lookup,POL-GRAPHRAG-;graph_rag_eligibility;MADEIRA,no policies;n/a,GROUND,en,topic_persona_scenario_registry;topic_policy_register,active,5.400000,,,
SCN-OP-019-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Trace the cassette replay flow from scripts/eval.py through akos/eval_harness/cassette.py to compliance.eval_run mirror writes,hlk_search,run_replay;CassetteHeader;compliance.eval_run,not implemented;skip,GROUND,en,topic_persona_scenario_registry,active,5.400000,,,
SCN-OP-020-V1,OPERATOR,SKILL-ARCHITECT-PLAN-V1,,1,multihop,hard,Plan a migration of config/intent-exemplars.json to a PERSONA_REGISTRY-anchored exemplar set so each exemplar carries persona_id provenance,admin_escalate,exemplar;persona_id;provenance;migration,cannot be done,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,
SCN-OP-021-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,multihop,hard,Explain why the Initiative 46 drift canary caught the sync_hlk_neo4j only-4-of-10-dimensions bug that prior tests missed,hlk_search,drift canary;10 dimensions;sync_csv_graph;build_skill_graph,random luck;not relevant,GROUND,en,topic_persona_scenario_registry,active,5.400000,,,
SCN-OP-022-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,cross_axis,hard,Cross-reference: which POLICY_REGISTER rows apply to the (PERSONA-INVESTOR-COLD x CHAN-LINKEDIN-DM x es) cell?,hlk_lookup,POL-;PERSONA-INVESTOR-COLD;CHAN-LINKEDIN-DM;es,no policies;does not exist,GROUND,en,topic_persona_scenario_registry;topic_policy_register,active,3.600000,,,Spans 3 of 6 axes: persona x channel x language.
SCN-OP-023-V1,OPERATOR,SKILL-VERIFIER-CHECK-V1,,1,multihop,hard,Verify that every active TOUCHPOINT_KIT_CELL_REGISTRY row has a corresponding template file under docs/references/hlk/v3.0/_assets/touchpoint-kit/,execution_escalate,TOUCHPOINT_KIT_CELL_REGISTRY;_assets/touchpoint-kit;FS-vs-CSV,passes;trivial,ESCALATE,en,topic_persona_scenario_registry,active,5.400000,,,
SCN-OP-024-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,cannot_answer,impossible,What is the current weather in Madrid?,other,cannot;out of scope;don't have;weather data,degrees;celsius;sunny;cloudy,REFUSE,en,topic_persona_scenario_registry,active,2.000000,,,Out-of-scope; correct response is REFUSE not invent.
SCN-OP-025-V1,OPERATOR,SKILL-MADEIRA-LOOKUP-V1,,1,cannot_answer,impossible,Predict Holistika's Q3 2027 revenue based on current pipeline data,other,cannot;predict;forecast;don't have access,$;EUR;million;revenue projection,REFUSE,en,topic_persona_scenario_registry,active,2.000000,,,Forward-looking forecast outside grounded scope; correct response is REFUSE.
SCN-INV-COLD-001-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,trivial,What does Holistika do?,hlk_search,Holistika;applied research,404;unknown,GROUND,en,topic_persona_scenario_registry,active,13.500000,,,
SCN-INV-COLD-002-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,trivial,Quien es el fundador de Holistika?,hlk_lookup,founder;Founder;ROLE-FOUNDER,anonymous,GROUND,es,topic_persona_scenario_registry,active,13.500000,,,
SCN-INV-COLD-003-V1,PERSONA-INVESTOR-COLD,SKILL-MADEIRA-LOOKUP-V1,,1,lookup,trivial,Where is Holistika based?,hlk_lookup,Spain;Madrid;Espana,USA;London,GROUND,en,topic_persona_scenario_registry,active,13.500000,,,
