component_primitive_code,name,kind,parent_artifact_class_codes,research_dimensions,a11y_dimensions,brand_dimensions,doctrine_path,status,added_at,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,notes
CP-COVER-PAGE,Cover page (sealed deliverable opening),visual,AC-DOSSIER;AC-DECK-FOUNDING;AC-DECK-ADVISOR-PACK;AC-DECK-ENGAGEMENT;AC-PRESS-KIT,information-hierarchy;recipient-anchor;sealed-deliverable-tone,reading-order;alt-text-for-logo;contrast-on-title,brand-visual-identity-full;type-scale;color-palette,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-cover-page (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,The first impression. Composed-from variants: cover-with-photo / cover-typography-only / cover-with-key-stat. Aspect ratio 16:9 for slides; A4 portrait for PDF dossiers.
CP-EXECUTIVE-SUMMARY,Executive summary block,prose,AC-DOSSIER;AC-DECK-ENGAGEMENT;AC-WAVE-CLOSURE;AC-UAT-REPORT,length-budget;evidence-density;hook-vs-conclusion-ordering,reading-order;heading-hierarchy,brand-voice-register-formal,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-executive-summary (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,3-7 sentence summary. Variants: hook-first / conclusion-first / evidence-first. The TLDR for executives who will not read further.
CP-CONTEXT-ANCHOR,Context anchor (why this why now),prose,AC-COVER-EMAIL;AC-INTRO-MESSAGE;AC-DECK-ADVISOR-PACK;AC-DECK-ENGAGEMENT,personalisation-research;recipient-context-grounding,reading-order,brand-voice-register;BRAND_BASELINE_REALITY_MATRIX dual-register,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-context-anchor (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,1-2 sentence anchor that grounds the recipient in the why-now. Variants: shared-acquaintance-anchor / shared-event-anchor / shared-research-anchor / market-trigger-anchor.
CP-HOOK,Hook (engagement opener),prose,AC-COVER-EMAIL;AC-INTRO-MESSAGE;AC-DECK-FOUNDING;AC-PRESS-KIT,attention-economy;curiosity-gap;recipient-jobs-to-be-done,reading-order;clear-language,brand-voice-register;BRAND_DO_DONT.md,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-hook (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,1-sentence hook. Variants: question-hook / contrarian-claim-hook / data-point-hook / story-fragment-hook.
CP-GREETING,Greeting (mail / DM open),prose,AC-COVER-EMAIL;AC-INTRO-MESSAGE,formality-register;named-recipient-vs-team;language-locale,reading-order,brand-voice-register-conversational,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-greeting (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Variants: formal-named (Dear X) / warm-named (Hi X) / informal-firstname (X) / regional-localised (Estimado X / Cher X). Locale-aware per channel.
CP-BODY,Body (main content block),prose,AC-COVER-EMAIL;AC-INTRO-MESSAGE;AC-WAVE-CLOSURE;AC-PAUSE-RECORD,length-budget;structure;evidence-density,reading-order;heading-hierarchy,brand-voice-register,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-body (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,The expandable middle. Variants: 3-bullet-body / 1-paragraph-body / sectioned-body-with-subheads / numbered-list-body.
CP-CTA,Call-to-action (next step),prose;interactive,AC-COVER-EMAIL;AC-INTRO-MESSAGE;AC-DECK-FOUNDING;AC-DECK-ENGAGEMENT;AC-OPERATOR-INBOX;AC-WIP-DASHBOARD,decision-architecture;low-friction-vs-high-commitment;CTA-stacking-anti-pattern,actionable-language;keyboard-nav-if-interactive;color-contrast-AAA,brand-button-treatment;color-palette,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-cta (forward;EXEMPLAR-FULL-DEPTH),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,The Shadcn-shape exemplar. Composed-from: cta-prose-only / cta-link-styled / cta-button-primary / cta-button-secondary / cta-stack-primary-plus-secondary / cta-cal-com-embedded. Variants per channel: mail-cta-button / dm-cta-link / slide-cta-prose / web-cta-button. Variants per audience: J-IN-cta-deeper-conversation / J-CU-cta-discovery-call / J-AD-cta-retainer / J-ENISA-cta-evidence-review.
CP-SIGNATURE,Signature block,prose;visual,AC-COVER-EMAIL;AC-INTRO-MESSAGE;AC-DOSSIER;AC-DECK-ADVISOR-PACK,brand-attribution;sender-identity;contact-info-density,alt-text-for-logo;reading-order,brand-visual-identity (logo + color); brand-voice-register,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-signature (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Closing identity block. Variants: minimal-name-only / full-with-title / full-with-logo / full-with-confidentiality-notice / locale-localised.
CP-EVIDENCE-BLOCK,Evidence block (sources / citations),prose;visual,AC-DOSSIER;AC-UAT-REPORT;AC-WAVE-CLOSURE;AC-COUNTERPARTY-BRIEF,source-taxonomy-per-source-taxonomy.md;reliability-grading-per-confidence-levels.md,reading-order;link-text-clarity,brand-evidence-treatment,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-evidence-block (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Cited evidence with confidence and source-class metadata. Per source_taxonomy.md + confidence_levels.md. Variants: footnoted / inline-cited / appendix-only.
CP-METHODOLOGY-NOTE,Methodology note (how-we-arrived-at),prose,AC-DOSSIER;AC-UAT-REPORT;AC-COUNTERPARTY-BRIEF,explicit-method-attribution;research-discipline-per-RESEARCH_HEAD_DISCIPLINE.md,reading-order,brand-evidence-treatment,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-methodology-note (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per RESEARCH_HEAD_DISCIPLINE.md applied-research discipline. Names which methodology was applied to derive a finding. Variants: brief-paragraph / table-of-methods / deep-appendix.
CP-SLIDE-HERO,Slide hero (single-message slide),visual,AC-DECK-FOUNDING;AC-DECK-ADVISOR-PACK;AC-DECK-ENGAGEMENT,one-message-per-slide;visual-hierarchy;message-density,heading-hierarchy;contrast-AAA;alt-text,brand-visual-identity-full;type-scale,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-slide-hero (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Single bold slide with 1 message. Variants: huge-quote-slide / huge-stat-slide / huge-image-slide / split-text-image.
CP-SLIDE-COMPARE,Slide compare (before-after / vs / option-matrix),visual,AC-DECK-FOUNDING;AC-DECK-ADVISOR-PACK;AC-DECK-ENGAGEMENT,comparison-architecture;decision-frame-anchoring,reading-order;contrast-AAA;color-not-only-signal,brand-visual-identity;color-palette-paired,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-slide-compare (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Two-or-more-column compare. Variants: 2-col-before-after / 3-col-options / N-row-feature-matrix.
CP-SLIDE-PROGRESS,Slide progress (timeline / phase / milestone),visual,AC-DECK-FOUNDING;AC-DECK-ENGAGEMENT;AC-PRESS-KIT,phase-narrative;timeline-density;past-vs-present-vs-future,reading-order;contrast-AAA,brand-visual-identity;timeline-treatment,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-slide-progress (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Linear or branching progress visual. Variants: horizontal-timeline / vertical-roadmap / gantt-style / milestone-dots.
CP-SLIDE-APPENDIX,Slide appendix (deep-dive support),visual;prose,AC-DECK-FOUNDING;AC-DECK-ADVISOR-PACK;AC-DECK-ENGAGEMENT,density-acceptable;reference-only-vs-supporting,heading-hierarchy;contrast-AAA,brand-visual-identity-subdued,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-slide-appendix (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Higher density than hero. Variants: methodology-detail / sources / glossary / FAQ.
CP-DIAGRAM-MERMAID-FLOWCHART,Mermaid flowchart,interactive;visual,AC-INITIATIVE-CHARTER;AC-DOSSIER;AC-WAVE-CLOSURE;AC-PMO-HUB-RENDER,phase-dependency;decision-tree;node-id-discipline (no spaces / no reserved keywords),reading-order via descriptive prose;alt-text equivalent,brand-visual-identity via mermaid theme variables,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-diagram-mermaid-flowchart (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per akos-planning-traceability.mdc plan-quality-bar mermaid section. Variants: phase-dependency / decision-tree / system-architecture / sub-component-architecture.
CP-DIAGRAM-MERMAID-GANTT,Mermaid gantt,visual,AC-INITIATIVE-CHARTER;AC-DECK-ENGAGEMENT;AC-PMO-HUB-RENDER,phase-density;parallelism-encoding;date-range-claims,reading-order via fallback table;alt-text equivalent,brand-visual-identity via mermaid theme,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-diagram-mermaid-gantt (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per akos-planning-traceability.mdc gantt section. Variants: initiative-gantt / engagement-roadmap-gantt / quarterly-gantt.
CP-DATA-TABLE,Data table (sortable / scannable),visual;interactive,AC-UAT-REPORT;AC-OPERATOR-INBOX;AC-WIP-DASHBOARD;AC-PMO-HUB-RENDER,data-density;column-prioritisation;sort-default,header-cells;screen-reader-table-role;keyboard-sort,brand-visual-identity;border-treatment;row-tint,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-data-table (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Variants: simple-3-col / dense-with-filter / nested-with-row-expand / sticky-header-and-first-col.
CP-FORM-FIELD,Form field (input element),interactive,AC-OPERATOR-INBOX;AC-WIP-DASHBOARD,input-types;validation-architecture;error-message-design,label-association;keyboard-nav;screen-reader-state;autocomplete;error-announcements,brand-visual-identity;input-treatment;focus-ring,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-form-field (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per Radix UI + React Hook Form composition. Variants: text-input / select / multi-select / checkbox-group / radio-group / textarea / date-picker / file-upload.
CP-DASHBOARD-CARD,Dashboard card (information block),visual;interactive,AC-OPERATOR-INBOX;AC-WIP-DASHBOARD;AC-PMO-HUB-RENDER,information-prioritisation;at-a-glance-vs-deep,heading-hierarchy;keyboard-nav;contrast-AAA,brand-visual-identity;card-treatment;elevation-shadow,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-dashboard-card (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Variants: stat-card / list-card / chart-card / action-card / status-card.
CP-NAV-NAVBAR,Navbar (top navigation),interactive,AC-OPERATOR-INBOX;AC-WIP-DASHBOARD;AC-PMO-HUB-RENDER,information-architecture;route-naming;active-state-design,landmark-role;keyboard-nav;skip-to-main;screen-reader-current-route,brand-visual-identity;logo-treatment;type-scale,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-nav-navbar (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Variants: minimal-2-link / full-with-search / sticky-on-scroll / mobile-hamburger.
CP-NAV-SIDEBAR,Sidebar (lateral navigation),interactive,AC-OPERATOR-INBOX;AC-PMO-HUB-RENDER,information-density;collapsibility;hierarchical-grouping,landmark-role;keyboard-nav;screen-reader-current-section,brand-visual-identity;divider-treatment,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/COMPONENT_PRIMITIVE_LIBRARY.md#cp-nav-sidebar (forward),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Variants: collapsible-w-icons / always-expanded / two-level-grouped / mobile-drawer.
