source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-WR4-A-01,A,brand_ops_governance,FRANKI T / Francesca Tabor,https://www.francescatabor.com/articles/2026/3/1/the-evolution-of-brand-infrastructure-from-static-assets-to-autonomous-governance,article,OSINT,4.3,4,3,Euclid,C2 brand propagation matrix,"Strong conceptual fit for brand-infrastructure framing; external authority is practitioner-grade not standards-body."
SRC-WR4-A-02,A,brand_ops_governance,JAM7 Marketing Brain Operating System,https://jam7.com/blog/marketing-brain-operating-system,article,OSINT,4.1,3,3,Euclid,C2 brand propagation matrix,"Useful operating-system analogy; validate against internal Holistika governance before canonicalizing."
SRC-WR4-A-03,A,brand_ops_governance,Prose Media AI brand governance templates,https://www.prosemedia.com/blog/ai-brand-governance-templates-examples,article,OSINT,4.1,3,3,Euclid,C2 reusable artifact governance,"Useful template/governance primitives; vendor-style source so avoid over-weighting."
SRC-WR4-A-04,A,brand_ops_governance,Antegma agentic content supply chain operating model,https://www.antegma.com/en/blog/2026/04/27/operating-model-agentic-content-supply-chain-adobe-summit-2026/,article,OSINT,4.3,4,3,Keter,C2 workflow design,"Good for agentic content operations and lineage logging; high novelty means stronger validation needed before doctrine."
SRC-WR4-A-05,A,brand_ops_governance,CMSWire enterprise marketing stack gen-AI,https://www.cmswire.com/digital-experience/what-it-actually-takes-to-build-gen-ai-into-your-enterprise-marketing-stack/,article,OSINT,4.3,4,4,Euclid,C2 governance primitives,"Higher external perceived credibility due to recognized publication; supports governance-as-stack claim."
SRC-WR4-B-01,B,lifecycle_taxonomy,OpFocus Demand Unit vs B2B Revenue Waterfall,https://www.opfocus.com/learn-with-us/blog/whats-the-difference-between-demand-unit-waterfall-and-b2b-revenue-waterfall,article,OSINT,4.2,4,3,Euclid,C2 lifecycle taxonomy,"Clear operational distinction source; use as implementation explanation not sole authority."
SRC-WR4-B-02,B,lifecycle_taxonomy,marqeu Demand Waterfall conversion rates,https://www.marqeu.com/demand-waterfall-conversion-rates,article,OSINT,4.2,3,3,Euclid,C2 lifecycle taxonomy,"Benchmark-oriented; useful for conversion-stage vocabulary but not Holistika-specific."
SRC-WR4-B-03,B,lifecycle_taxonomy,marqeu Demand Waterfall implementation guide,https://www.marqeu.com/demand-waterfall-implementation-guide,article,OSINT,4.2,3,3,Euclid,C2 lifecycle taxonomy,"Implementation detail source; pair with Forrester/SiriusDecisions lineage."
SRC-WR4-B-04,B,lifecycle_taxonomy,Sher Miller SiriusDecisions Demand Waterfall models,http://www.shermiller.com/2020/07/siriusdecisions-demand-waterfall-models/,article,OSINT,4.2,3,3,Euclid,C2 lifecycle genealogy,"Historical explainer; useful as secondary lineage source."
SRC-WR4-B-05,B,lifecycle_taxonomy,Steve Redlinger SiriusDecisions new waterfall operationalization,https://www.linkedin.com/pulse/siriusdecisions-new-waterfall-how-operationalize-drive-redlinger,article,OSINT,4.2,3,3,Euclid,C2 lifecycle taxonomy,"LinkedIn practitioner source; lower external credibility than analyst source but practical."
SRC-WR4-C-01,C,investor_segmentation,NUVC 9 investor archetypes,https://nuvc.ai/blog/9-investor-archetypes-how-vcs-actually-weight-your-pitch,article,OSINT,4.1,3,3,Euclid,C2 J-IN subtype shape,"Good archetype source; cross-check with operator's lived Bâtard/GDF investor pattern."
SRC-WR4-C-02,C,investor_segmentation,Lucid investor segmentation AI startup guide,https://www.lucid.now/blog/investor-segmentation-ai-startup-guide/,article,OSINT,4.1,3,3,Euclid,C2 J-IN subtype shape,"Useful segmentation confirmation; vendor/practitioner grade."
SRC-WR4-C-03,C,investor_segmentation,Fundreef investor-specific pitch deck versions,https://www.fundreef.com/creating-investor-specific-pitch-deck-versions/,article,OSINT,4.1,3,3,Euclid,C4 brief variant strategy,"Supports variant deck/brief approach; not enough alone to create audience rows."
SRC-WR4-C-04,C,investor_segmentation,TechCrunch four VC personas,https://techcrunch.com/2023/06/09/four-venture-capital-personas-and-how-to-land-them/,article,OSINT,4.3,4,5,Euclid,C2 decline taxonomy and C4 voice,"High external perceived credibility; especially useful for founder-side caution about drawing wrong conclusions from feelers."
SRC-WR4-C-05,C,investor_segmentation,SeedLegals 5 investor personality types,https://seedlegals.com/resources/the-5-investor-personality-types/,article,OSINT,4.2,3,4,Euclid,C2 J-IN subtype shape,"Good practical investor taxonomy; legal/startup platform audience gives decent external credibility."
SRC-WR4-D-01,D,online_presence_investor_evaluation,Bamby Big narrative capital Series A,https://bambybig.agency/blog/narrative-capital-series-a,article,OSINT,4.1,3,3,Euclid,C4 online-presence program scope,"Useful narrative-capital framing; practitioner-grade."
SRC-WR4-D-02,D,online_presence_investor_evaluation,Bamby Big what is narrative capital,https://bambybig.agency/blog/what-is-narrative-capital,article,OSINT,4.1,3,3,Euclid,C4 online-presence program scope,"Pairs with D-01; avoid double-counting same source family."
SRC-WR4-D-03,D,online_presence_investor_evaluation,Maly Ly narrative capital in tech,https://www.malyly.com/blog/narrative-capital-the-most-undervalued-asset-in-tech,article,OSINT,4.1,3,3,Euclid,C4 online-presence program scope,"Supports founder-public-thesis framing; practitioner-grade."
SRC-WR4-D-04,D,online_presence_investor_evaluation,Monolit marketing pre-revenue startup,https://monolit.sh/blog/marketing-pre-revenue-startup-what-to-focus-on-2026,article,OSINT,4.1,3,3,Euclid,C4 pre-revenue communication scope,"Useful because Holistika is pre-signed-PO for SUEZ/Websitz and must avoid overclaiming traction."
SRC-WR4-D-05,D,online_presence_investor_evaluation,Neel Networks founder online personal brand guide,https://www.neelnetworks.com/blog/personal-brand-online-founders-guide-2026/,article,OSINT,4.1,3,3,Euclid,C4 LinkedIn/founder-presence scope,"Practical channel cadence source; needs Brand translation before operationalization."
SRC-WR4-EF-01,E;F,agentic_context_and_pedagogy,Nate B Jones video on agentic/context topics,https://www.youtube.com/watch?v=ogTLWGBc3cE,video_transcript,OSINT,2.1,4,4,Keter,C3/C4 MADEIRA thesis and pedagogy,"Operator-named source; high Holistika relevance because it maps to existing MADEIRA thesis; creator format needs corroboration."
SRC-WR4-EF-02,E;F,agentic_context_and_pedagogy,Theo t3.gg Cursor/Composer video,https://youtu.be/xJaMTo2YgO8,video_transcript,OSINT,2.1,4,4,Keter,C3/C4 MADEIRA thesis and pedagogy,"Operator-named source; useful for current coding-agent framework zeitgeist and explanation craft."
SRC-WR4-EF-03,E;F,agentic_context_and_pedagogy,Theo t3.gg related agentic/framework video,https://youtu.be/UvUzpSlXKtg,video_transcript,OSINT,2.1,4,4,Keter,C3/C4 MADEIRA thesis and pedagogy,"Operator-named source; reinforces context-management and harness-over-model points."
SRC-WR4-G-01,G,bounded_persona_intelligence,Derrick GDPR data enrichment,https://derrick-app.com/en/gdpr-data-enrichment/,article,OSINT,4.1,4,3,Keter,C2 GOI/POI bounded intelligence,"Good for legal-basis and disclosure checklist; vendor-grade so validate against legal counsel before canonizing."
SRC-WR4-G-02,G,bounded_persona_intelligence,Instantly B2B privacy consent legitimate interest,https://instantly.ai/blog/b2b-email-list-privacy-consent-legitimate-interest/,article,OSINT,4.1,3,3,Keter,C2 GOI/POI bounded intelligence,"Useful operational compliance pattern; sales-tool source so do not over-trust."
SRC-WR4-G-03,G,bounded_persona_intelligence,Unify GTM B2B data compliance GDPR CCPA,https://www.unifygtm.com/explore/b2b-data-compliance-gdpr-ccpa,article,OSINT,4.1,3,3,Keter,C2 GOI/POI bounded intelligence,"Supports cross-system suppression and data minimization but remains vendor-perspective."
SRC-WR4-G-04,G,bounded_persona_intelligence,GrowthSpree signal-based ABM buyer intent 2026,https://www.growthspreeofficial.com/blogs/signal-based-abm-b2b-real-time-buyer-intent-2026,article,OSINT,4.1,3,2,Keter,C2 GOI/POI bounded intelligence,"Lower external perceived credibility but relevant to signal-based prospecting; use as weak signal only."
