capability_id,capability_name,area,role_owner,originating_process_ids,substrate_id,skill_ids,lifecycle_status,i81_verdict,i81_gap_summary,external_register_summary,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,notes,capability_tier,l1_domain,definition,alpha_inventory_refs
CAP-LEGAL-INSTRUMENT-LIFECYCLE,Legal Instrument Lifecycle Management,Legal,Legal Consumer Specialist,thi_legal_dtp_21;thi_legal_dtp_22;thi_legal_dtp_23;thi_legal_dtp_26;thi_legal_dtp_27,SUBS-ANYSPHERE-CURSOR-SDK,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed from 5 shadows (D-IH-95-I); co-owner Legal Collaborator Specialist; NDA templates A/B are realizations not capabilities.,utility,"Legal, Compliance & Privacy","Drafting, maintaining and governing consumer + collaborator legal instruments (T&C, privacy, retention, NDA templates).",
CAP-LEGAL-IP-TRADEMARK,Intellectual Property & Trademark Management,Legal,Legal Counsel,hol_lgl_prc_trademark_naming_governance_001;hol_lgl_prc_trademark_monitoring_001;hol_lgl_prc_ip_register_mtnce_001,SUBS-ANYSPHERE-CURSOR-SDK,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed from 4 shadows incl. cross-entity dedup of deprecated thi_legal_dtp_303 (D-IH-95-I); cross-area flag: brand-naming composes with Marketing/Brand + Tech domains.,differentiating,"Legal, Compliance & Privacy","Trademark naming-clearance, monitoring and IP-register stewardship across the brand portfolio.",
CAP-LEGAL-CORP-ENTITY-READINESS,Corporate & Entity Legal Readiness,Legal,Legal Counsel,thi_legal_dtp_302;thi_legal_dtp_304,SUBS-ANYSPHERE-CURSOR-SDK,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed from 2 shadows (D-IH-95-I); Finance funding-path + registered-fact gate depend on this.,utility,"Legal, Compliance & Privacy",Founder/company entity-formation readiness and the filed-instruments register.,
CAP-FIN-PRICING-MONETIZATION,Pricing & Monetization Strategy,Finance,Business Controller,thi_finan_dtp_126;thi_finan_dtp_203,SUBS-HOLISTIKA-OPENCLAW,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed from 2 shadows (D-IH-95-I).,differentiating,Finance & Revenue Operations,Pricing definition and subscription/monetization strategy.,
CAP-FIN-REVENUE-OPS-BILLING,Revenue Operations & Billing,Finance,Business Controller,thi_finan_dtp_261;thi_finan_dtp_271;thi_finan_dtp_301;thi_finan_dtp_308,SUBS-HOLISTIKA-OPENCLAW,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed from 4 shadows (D-IH-95-I); thi_finan_dtp_308 (Stripe FDW) cross-area flag -> Data plane.,utility,Finance & Revenue Operations,"Quote-to-cash: billing activation, reconciliation, lead-to-contract revenue chain and partner revenue settlement.",CAP-M14
CAP-FIN-BUDGET-COST-CAPITAL,"Budget, Cost & Capital Planning",Finance,Business Controller,thi_finan_dtp_125;thi_finan_dtp_272;thi_finan_dtp_273;thi_finan_dtp_302,SUBS-HOLISTIKA-OPENCLAW,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,"Collapsed from 4 shadows (D-IH-95-I); co-owner PMO; cross-area flags: 273->PMO/People, 302->Legal entity-readiness.",utility,Finance & Revenue Operations,"Budget scope, capex allocation, process-cost/FTE mapping and capital/funding planning.",
CAP-FIN-COUNTERPARTY-MDM,Counterparty & Financial Master-Data Stewardship,Finance,Business Controller,thi_finan_dtp_303;thi_finan_dtp_304;thi_finan_dtp_305;thi_finan_dtp_306;thi_finan_dtp_307;thi_finan_dtp_309,SUBS-HOLISTIKA-OPENCLAW,,active,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed from 6 shadows (D-IH-95-I); distinct from Data generic MDM; 306 entity-gate cross-area flag -> Legal.,utility,Finance & Revenue Operations,"Counterparty register stewardship: onboarding, classification, renewal and segment/revenue metadata.",CAP-M14
CAP-DATA-ENTERPRISE-MGMT-MDM,Enterprise Data Management & Master Data,Data,Data Steward,thi_data_dtp_31;thi_data_dtp_32;thi_data_dtp_33,SUBS-HOLISTIKA-KIRBE,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,"Collapsed from 4 shadows (D-IH-95-I); RPA (34) folded as automation realization (tech-named, not a capability).",utility,Data Governance & Enterprise Knowledge,"BI/reporting catalog, enterprise master-data relationships, datamarts and automation of data ops.",
CAP-DATA-MODELING-ENGINEERING,Data Modeling & Database Engineering,Data,Data Governance Office,thi_data_dtp_77;thi_data_dtp_76;thi_data_dtp_78,SUBS-HOLISTIKA-LLAMAINDEX-WORKER,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed from 3 shadows (D-IH-95-I); co-owner Data Engineer.,utility,Data Governance & Enterprise Knowledge,Data modeling and database engineering; SQL functions and column typing are realizations.,
CAP-DATA-PIPELINE-QUALITY-LINEAGE,"Data Pipeline, Quality & Lineage",Data,Data Steward,SOP-ETL_MACROECON_INGESTION_001;thi_data_dtp_274;thi_data_dtp_275,SUBS-HOLISTIKA-LLAMAINDEX-WORKER,,planned,,,,2026-06-16,Data Governance Office,D-IH-76-R,v3.2,Collapsed from 3 shadows (D-IH-95-I); co-owner Data Engineer; 274 cross-area flag -> KiRBe product plane.,utility,Data Governance & Enterprise Knowledge,"ETL ingestion, ingestion data-quality monitoring and formal data lineage (ingestion -> Supabase -> graph).",
