source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-AOS-01,AOS-DEF,aos_category_definition,Markovate Agentic Operating System enterprise guide,https://markovate.com/agentic-operating-system/,article,OSINT,4.1,3,3,Euclid,AOS category definition,"PRO: clean enterprise definition + 4-layer model; says AOS is a different category not next-gen automation. CON: consultancy content-marketing; category claim is assertion. Cross-checks SRC-AOS-02."
SRC-AOS-02,AOS-DEF,aos_category_definition,Make 2026 Guide What Is an Agentic Operating System,https://www.make.com/en/blog/agentic-operating-system,article,OSINT,4.1,3,3,Euclid,AOS 6-layer architecture + confusions,"PRO: 6-layer architecture (connections/memory/agents/orchestration/governance/observability); honestly says 'category language ahead of product differentiation'; names RPA + automation + single-agent confusions. CON: Make is an automation vendor."
SRC-AOS-03,AOS-DEF,aos_vs_platform,Knowlee Agentic OS vs Agent Platform 2026,https://www.knowlee.ai/blog/agentic-os-vs-agent-platform-2026,article,OSINT,2.1,3,2,Euclid,Layer-3 platform vs Layer-4 OS distinction,"PRO: framework/platform/OS layering; '10-agent cliff'; admits 'labels still in motion, Knowlee and a handful'. CON: Knowlee sells an AOS — strong vendor interest; self-serving category."
SRC-AOS-04,AOS-DEF,aos_fleet_coherence,Knowlee Agentic Operating System fleet article,https://www.knowlee.ai/blog/agentic-operating-system-business,article,OSINT,2.1,3,2,Euclid,Vertical-platforms-as-tenants framing,"PRO: 'vertical platforms become tenants of the OS'; process-vs-OS category-error analogy; shared graph as the substrate. CON: same vendor as SRC-AOS-03."
SRC-AOS-05,AOS-DEF,aos_systems_architecture,Agent Operating Systems integrating agentic control planes (authorea preprint),https://www.authorea.com/doi/full/10.22541/au.177083718.83864768,report,OSINT,3.2,4,4,Keter,Rigorous AOS responsibility decomposition,"PRO: scheduler + memory + tool/capability registry + policy/trust + observability decomposition; 'not replace OS wholesale'; operator-comprehensibility criterion. CON: preprint not peer-reviewed-final; novel framing = Keter."
SRC-AOS-06,AOS-DEF,aos_unix_mapping,yarnnn The Agent OS Is Real,https://www.yarnnn.com/blog/the-agent-os-is-real,article,OSINT,2.1,3,2,Euclid,Unix-layer mapping + provenance on every mutation,"PRO: kernel/shell/filesystem/applications/compositor mapping; every mutation attributed to operator/AI/system (matches AKOS provenance). CON: yarnnn building one — vendor."
SRC-AOS-07,AOS-DEF,aos_consolidation_thesis,yarnnn LangChain vs Agent Operating Systems architectural fork,https://medium.com/@kvkthecreator/langchain-vs-agent-operating-systems-the-architectural-fork-yarnnn-972e1459e3da,article,OSINT,2.1,3,2,Euclid,Framework-vs-OS fork + consolidation prediction,"PRO: library-vs-substrate fork; predicts OS layer consolidates to 3-4 systems (macOS/Windows/Linux-like). CON: vendor + opinion; prediction unfalsified."
SRC-AOS-08,AOS-KERNEL,kernel_level_aos,jordanhubbard agentOS GitHub,https://github.com/jordanhubbard/agentos,webpage,OSINT,2.1,3,3,Keter,Kernel-level AOS reference point,"PRO: purest kernel AOS (seL4, capability-secured, bootable, agent-native); names the 'Python framework on Linux with OS bolted on' critique of everyone else. CON: early OSS; 'world's first' marketing; unproven at scale."
SRC-AOS-09,AOS-KERNEL,kernel_pluggable_services,agentOS DESIGN.md,https://github.com/jordanhubbard/agentos/blob/main/DESIGN.md,webpage,OSINT,2.1,3,3,Keter,Pluggable service-category taxonomy,"PRO: pluggable categories storage/comms/scheduling/tools/models/memory; capability graph as the 'desktop'. CON: design doc, aspirational, single author."
SRC-AIOS-01,AOS-KERNEL,aios_academic_kernel,AIOS LLM Agent Operating System (Mei et al Rutgers arXiv 2403.16971),https://arxiv.org/abs/2403.16971,report,OSINT,3.2,5,5,Keter,Canonical academic AOS kernel grammar,"PRO: the reference architecture — 6 kernel modules (scheduler/context/memory/storage/tool/access) + LLM-as-CPU-core; most-cited AOS work. CON: research architecture not production; a grammar, not run literally."
SRC-AIOS-02,AOS-KERNEL,aios_production_reframe,Knowlee AIOS LLM Agent Operating System Explained 2026,https://www.knowlee.ai/blog/aios-llm-agent-operating-system,article,OSINT,2.1,3,3,Euclid,Production reframing of AIOS,"PRO: production-AOS 'borrows AIOS vocabulary, drops kernel ambitions, adds governance metadata on every job + cross-agent shared graph' — the two AIOS omits. CON: vendor."
SRC-AOS-10,AOS-KERNEL,context_as_substrate,Everything is Context agentic file system abstraction (arXiv 2512.05470),https://arxiv.org/html/2512.05470v1,report,OSINT,3.2,4,4,Keter,LLM-as-OS context-governance gap,"PRO: LLM-as-OS file-system abstraction; explicitly names 'context governance, control, multi-agent sharing remain largely ad hoc' = the field gap AKOS fills. CON: very recent preprint; unsettled."
SRC-LIN-01,LINEAGE,llm_as_os_origin,MemGPT Towards LLMs as Operating Systems (Packer et al arXiv 2310.08560),https://arxiv.org/abs/2310.08560,report,OSINT,3.2,5,5,Safe,Origin of the LLM-as-OS metaphor,"PRO: foundational — virtual-memory paging analogy (context=RAM, external store=disk); the lineage root. CON: narrow (memory only); 2023; 'Towards' = qualified step."
SRC-LIN-02,LINEAGE,llm_as_os_scope_correction,MemGPT lead author clarification (Hacker News),https://news.ycombinator.com/item?id=37894403,webpage,OSINT,2.1,4,3,Safe,Anti-overreach correction on the OS metaphor,"PRO: lead author states they address ONE OS function (memory), 'not saying LLMs should be used as operating systems' — honest scope check against hype. CON: forum comment."
