component_id,component_name,component_kind,lifecycle_status,entity,area,primary_owner_role,steward_ops_domain,secondary_owner_role,escalation_owner_role,repo_slug,github_url,api_exposure,api_spec_pointer,integration_pattern,depends_on_component_ids,parent_component_id,primary_process_item_id,related_process_item_ids,topic_ids,access_level_data,data_classification,environment_scope,slo_tier,runbook_link,doc_link,legal_hold,retention_policy_ref,last_verified_date,source_row,notes
comp_matriz_00002,Postman — Postman,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Euclid
comp_matriz_00003,ButterCup — ButterCup,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Safe
comp_matriz_00004,FastAPI — AKOS serve-api,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,openclaw-akos,https://github.com/FraysaXII/openclaw-akos,internal,,event,,,,,,3,internal,multi,critical,scripts/release-gate.py,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_BI_GOVERNANCE.md,n,POL-DATA-GIT-CSV-DEFAULT,2026-06-04,matriz_componentes_xlsx,bi_tier=T9; AKOS control plane + metrics; BI-HOL-AKOS-CONTROL
comp_matriz_00005,Make — Make,saas,active,HLK Tech Lab,Operations,RevOps Manager,GTMOPS,,System Owner,,,partner,,low_code_rpa,,,,,,3,confidential,multi,standard,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_ENGAGEMENT_INTEGRATION_SCAFFOLD_001.md,,n,POL-DATA-ENGAGEMENT-FACT,2026-06-04,matriz_componentes_xlsx,bi_tier=T8; engagement_stream=C; RPA_ADAPTER make
comp_matriz_00006,Obsidian — Obsidian,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Keter
comp_matriz_00007,Obsidian — Obsidian (sheet row 7),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Codebase; object_class=Keter
comp_matriz_00008,Supabase — Supabase,saas,active,HLK Tech Lab,Data,System Owner,DATAOPS,,System Owner,,,internal,,stream,,,,,,3,internal,multi,critical,,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/DATA_ARCHITECTURE.md,n,POL-DATA-MIRROR-OPERATIONAL,2026-06-04,matriz_componentes_xlsx,category=Storage; subcategory=Database; warehouse_layer=T2; role=oltp_mirror_auth_storage; I93 P5b canonical Supabase row
comp_matriz_00009,Supabase — Supabase (sheet row 9),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Keter
comp_matriz_00010,Pipedrive — Pipedrive,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,n,POL-DATA-GIT-CSV-DEFAULT,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Safe
comp_matriz_00011,N8n — N8n,saas,active,HLK Tech Lab,Operations,RevOps Manager,GTMOPS,,System Owner,,,internal,,low_code_rpa,,,,,,3,confidential,multi,standard,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/SOP-DATA_ENGAGEMENT_INTEGRATION_SCAFFOLD_001.md,,n,POL-DATA-ENGAGEMENT-FACT,2026-06-04,matriz_componentes_xlsx,bi_tier=T8; engagement_stream=C; RPA_ADAPTER n8n
