initiative_id,anchors
INIT-OPENCLAW_AKOS-03,PRJ-HOL-PGF-2026;PRJ-HOL-DAT-2026
INIT-OPENCLAW_AKOS-11,PRJ-HOL-MAD-2026;PRJ-HOL-INF-2026
INIT-OPENCLAW_AKOS-17,PRJ-HOL-MAD-2026;PRJ-HOL-INF-2026
INIT-OPENCLAW_AKOS-24,PRJ-HOL-MKT-2026
INIT-OPENCLAW_AKOS-56,PRJ-HOL-OPS-2026;PRJ-HOL-LEG-2026
INIT-OPENCLAW_AKOS-62,PRJ-HOL-INF-2026;PRJ-HOL-PGF-2026
INIT-OPENCLAW_AKOS-63,PRJ-HOL-INF-2026;PRJ-HOL-PGF-2026
INIT-OPENCLAW_AKOS-64,PRJ-HOL-PGF-2026;PRJ-HOL-INF-2026
INIT-OPENCLAW_AKOS-65,PRJ-HOL-PGF-2026;PRJ-HOL-INF-2026
INIT-OPENCLAW_AKOS-67,PRJ-HOL-MKT-2026;PRJ-HOL-OPS-2026
INIT-OPENCLAW_AKOS-68,PRJ-HOL-INF-2026
INIT-OPENCLAW_AKOS-78,PRJ-HOL-MKT-2026;PRJ-HOL-DAT-2026
INIT-OPENCLAW_AKOS-81,PRJ-HOL-PGF-2026;PRJ-HOL-PEO-2026
INIT-OPENCLAW_AKOS-82,PRJ-HOL-PEO-2026;PRJ-HOL-RES-2026
INIT-OPENCLAW_AKOS-85,PRJ-HOL-MKT-2026;PRJ-HOL-PGF-2026
INIT-OPENCLAW_AKOS-86,PRJ-HOL-PGF-2026;PRJ-HOL-OPS-2026
INIT-OPENCLAW_AKOS-87,PRJ-HOL-INF-2026;PRJ-HOL-MAD-2026
