substrate_id,name,vendor,runtime_shape,persistence_model,tool_protocol,multi_tenant_ready,license_class,status,cost_class,pricing_unit,founder_principle_alignment,akos_integration_state,madeira_productization_role,aic_pattern_role,last_audit_date,audit_source_url,notes
SUBS-LANGCHAIN-AI-LANGCHAIN,LangChain,LangChain AI,framework-library-python,ephemeral,langchain-native,true,open-source-mit,active,bring-your-own-key,BYOK LLM costs,,in-production,library-import,dispatcher,2026-05-17,https://github.com/langchain-ai/langchain,"Holistika usage: under OpenClaw wrapper for adapter patterns; v0.3 stable as of 2026-Q2. Per AGENTIC_FRAMEWORK_LANDSCAPE.md §1 risk column: high API churn historically; pin versions."
SUBS-LANGCHAIN-AI-LANGGRAPH,LangGraph,LangChain AI,orchestration-engine,session-scoped,langchain-native,true,open-source-mit,active,bring-your-own-key,BYOK LLM + optional LangGraph Cloud seat tier,,pilot,library-import,dispatcher,2026-05-17,https://github.com/langchain-ai/langgraph,"F3 (ad-hoc dispatchers) native fit per i76-madeira-elevation.md §2 F3 row. KiRBe-narrowing-to-2-finalists candidate per D-IH-84-E (LlamaIndex-continue + LangGraph-workflow)."
SUBS-RUN-LLAMA-LLAMAINDEX,LlamaIndex,run-llama / LlamaIndex,framework-library-python,persistent,langchain-native,true,open-source-mit,active,bring-your-own-key,BYOK LLM + storage costs for index,,in-production,library-import,not-applicable,2026-05-17,https://github.com/run-llama/llama_index,"KiRBe runs on this substrate per founder framing 2026-05-16: 'KiRBe is still on the LlamaIndex-era stack'. Dominant RAG framework in Holistika usage. LlamaIndex Workflows GA 2026."
SUBS-HOLISTIKA-OPENCLAW,OpenClaw,Holistika,framework-library-python,ephemeral,mcp,false,commercial-license,active,bring-your-own-key,BYOK LLM via configured providers,,in-production,agent-runtime,not-applicable,2026-05-17,internal: scripts/legacy/verify_openclaw_inventory.py,"Holistika's current default agent runtime; thin adapter over upstream frameworks with policy + observability hooks. Quarterly re-bless cadence per AGENTIC_FRAMEWORK_LANDSCAPE.md §5. B1 anchor for D-IH-84-B (stay-on-OpenClaw)."
SUBS-CREWAI-INC-CREWAI,CrewAI,CrewAI Inc.,framework-library-python,session-scoped,langchain-native,true,open-source-mit,active,bring-your-own-key,BYOK core + Enterprise tier seat-billed,,pilot,library-import,peer,2026-05-17,https://github.com/crewAIInc/crewAI,"F2 (peer companions) native fit per i76-madeira-elevation.md §2 F2 row. 'Team of AICs' rhetoric maps directly to crew abstraction. CrewAI Enterprise GA."
SUBS-OLLAMA-OLLAMA,Ollama,Ollama Inc.,inference-provider,persistent,openai-functions,false,open-source-mit,active,free-tier-only,Operator hardware cost only,,in-production,backend-only,not-applicable,2026-05-17,https://github.com/ollama/ollama,"Holistika local-iteration sandbox; production-stable for sandbox use. Local hardware constraints per AGENTIC_FRAMEWORK_LANDSCAPE.md §1 risk column."
SUBS-VERCEL-VERCEL-AI-SDK,VercelAI SDK,Vercel Inc.,agent-sdk-typescript,session-scoped,openai-functions,true,open-source-mit,active,bring-your-own-key,BYOK LLM + Vercel Pro seat $20/user/mo,,pilot,agent-runtime,single-agent-rich-tools,2026-05-17,https://sdk.vercel.ai/docs,"F4 fit (single-agent + rich-tools). Vercel AI SDK v4 GA. Vendor lock-in to Vercel platform; abstract behind helper layer."
SUBS-GROQ-GROQ-CLOUD,Groq Cloud,Groq Inc.,inference-provider,ephemeral,openai-functions,true,proprietary-saas,active,token-billed,Very low per-token; flagship pricing advantage,,in-production,backend-only,not-applicable,2026-05-17,https://groq.com,"One of several providers behind shared interface per model_catalog.py. Provider availability + rate limits per AGENTIC_FRAMEWORK_LANDSCAPE.md §1 risk column."
SUBS-ANYSPHERE-CURSOR-SDK,Cursor SDK,Anysphere Inc.,agent-sdk-typescript,cloud-managed,mcp,true,proprietary-saas,experimental,seat-billed,$20/user Pro or $40/user Business plus LLM included,,pilot,agent-runtime,supervisor,2026-05-17,https://cursor.com/docs,"SDK in BETA as of 2026-Q2 (founder framing 2026-05-16 named this as competitive window). Cursor 3 'Glass' GA 2026-04-02. Anysphere reportedly at $2B ARR; Composer 2 built on Moonshot Kimi 2.5. B2/B3 anchor for D-IH-84-B; F1 native fit (subagent_types pattern)."
SUBS-ANTHROPIC-CLAUDE-CODE-SDK,Claude Code SDK,Anthropic,agent-sdk-typescript,session-scoped,anthropic-tools,true,proprietary-saas,active,token-billed,Claude pricing - premium per-token but high capability,,forecasted,agent-runtime,single-agent-rich-tools,2026-05-17,https://docs.anthropic.com/en/api/claude-code,"F4 (single-agent rich-tools) native fit per i76-madeira-elevation.md §2 F4 row. Claude Code GA 2025; SDK matured 2026-Q1. Anthropic Projects companion is competitive analogue to Madeira workspace pattern."
SUBS-OPENAI-AGENTS-SDK,OpenAI Agents SDK,OpenAI,agent-sdk-python,cloud-managed,openai-functions,true,proprietary-saas,active,token-billed,Standard OpenAI pricing comparable to Claude at volume,,forecasted,agent-runtime,supervisor,2026-05-17,https://platform.openai.com/docs/guides/agents,"Agents SDK 1.0 GA 2025-Q4; Assistants API predecessor deprecated. Swarm pattern + nested-agent calls first-party support F1. Most-adopted developer-agent SDK by volume."
SUBS-AG2-AG2,AG2,AG2 Open Source / Microsoft Research lineage,framework-library-python,session-scoped,openai-functions,true,open-source-apache,candidate,bring-your-own-key,BYOK,,candidate,library-import,peer,2026-05-17,https://github.com/ag2ai/ag2,"F2 fit (group-chat pattern). Post-AutoGen community fork ratified 2025; Microsoft maintains separate AutoGen successor (naming churn creates ecosystem confusion; pin specific fork at adoption time)."
SUBS-LETTA-LETTA,Letta,Letta Inc.,framework-library-python,persistent,openai-functions,true,open-source-apache,active,bring-your-own-key,BYOK self-hosted or Letta Cloud seat-billed,,candidate,library-import,not-applicable,2026-05-17,https://github.com/letta-ai/letta,"Memory framework (formerly MemGPT); persistent agent state survives context-window boundaries. Letta Cloud GA 2025-Q3. Relevant to MADEIRA C-76-3 persistence question per i76-madeira-elevation.md §5; pairs with any F-framing."
SUBS-COGNITION-DEVIN,Devin,Cognition Labs,hosted-agent-platform,cloud-managed,native-only,true,proprietary-saas,active,seat-billed,$500/mo Team plan,,rejected,not-applicable,not-applicable,2026-05-17,https://www.cognition.ai/devin,"NOT a substrate AKOS can run on - this is a competitor product (autonomous software-engineering agent). Row preserved per audit-trail per P1 §4.6 reclassification finding; akos_integration_state=rejected documents the consideration + the reject reason."
SUBS-REPLIT-AGENT,Replit Agent,Replit Inc.,hosted-agent-platform,cloud-managed,native-only,true,proprietary-saas,active,seat-billed,$25/mo Core,,rejected,not-applicable,not-applicable,2026-05-17,https://replit.com/agent,"NOT a substrate AKOS can run on - this is a competitor product (Replit IDE-integrated agent; app-generation focused). Row preserved per audit-trail per P1 §4.7 reclassification finding; akos_integration_state=rejected documents the consideration + the reject reason."
SUBS-PATTERN-OPENCLAW-THIN-ADAPTER,OpenClaw thin-adapter pattern,Holistika,orchestration-engine,ephemeral,mcp,false,commercial-license,active,bring-your-own-key,Same as OpenClaw base substrate,,in-production,agent-runtime,not-applicable,2026-05-17,internal: scripts/legacy/verify_openclaw_inventory.py,"B1 anchor for D-IH-84-B. The architectural-posture pattern that AKOS currently runs on; Holistika owns policy + observability; quarterly re-bless cadence. Strength: maximally aligned with governance; AKOS-as-SSOT preserved by design. Weakness: bootstrap drift risk."
SUBS-PATTERN-HYBRID-CURSOR-OPENCLAW,Hybrid Cursor-SDK frontend + OpenClaw policy backend,Holistika composition (Anysphere upstream of frontend),orchestration-engine,cloud-managed,mcp,true,commercial-license,forecasted,seat-billed,Cursor seat + LLM via OpenClaw configured providers,,forecasted,agent-runtime,supervisor,2026-05-17,(forecasted; no canonical implementation yet),"B3 anchor for D-IH-84-B (recommended-pending-evidence default per decision-log). Best-of-both: operator-facing UX maturity (Cursor SDK) + governance discipline retention (OpenClaw policy backend). Integration surface complexity; OpenClaw must be repackaged as middleware compatible with Cursor SDK agent lifecycle."
