org_uuid,role_name,role_description,role_full_description,access_level,reports_to,area,entity,org_id,sop_url,responsible_processes,components_used
a6257c4e-a795-4684-90a7-ecc0c5b1e0ec,Admin,"Administrator","Root administrative authority for the Holistika ecosystem. Holds Secret-level clearance and is the only role authorized to launch, deploy, or govern all other roles including the AI chain. Owns the master organisational baseline and compliance contracts.",6,Admin,Admin,Holistika,org_010,https://drive.google.com/drive/folders/1czb5ICBZaKVIkase5fJnJSE85AyDooET,,
dbf480f3-5ef9-4789-81b8-ad5ed3980075,O5,"Executive Governance Board","Holistika's executive governance layer. Provides strategic oversight and approval authority across all entities and areas. Reports directly to Admin.",5,Admin,Admin,Holistika,,,
b354042d-8ef1-4eae-90d2-1705088bf413,O5-1,"Chief Business Officer (O5-1)","Official designation O5-1 (letter O, not zero). The single operational executive under Admin. Oversees all C-level officers (CFO, CPO, COO, CMO, CDO, CTO) and the Holistik Researcher (Research area head). Responsible for translating strategic governance into operational execution across all entities.",6,Admin,Admin,Holistika,org_017,https://drive.google.com/drive/folders/1QTfFpVjJfIPAmwX7PLJmwCBr8mUpG5UO,,
636bf619-01dd-4d84-afa5-9b5544b69cbf,Susana Madeira,"AI Persona with Admin Privileges","Has privileges over AIC. This role is directly linked to the Administrator and only the Administrator can launch, run or deploy a code in which Susana is involved. The AIC agents go first, are linked to Susana's user, then are run by the Administrator. Serves as the bridge persona between human governance and AI execution.",6,Admin,AI,Holistika,,,
7089d7aa-c489-4274-b697-01317bbbe78e,AIC,"AI Agent Execution Role","AI Agent. This role is shared for permissions for any code execution that comprises an AI, except if one cannot configure the AI as a user in the current process. All AI-driven code execution must be authorized through the Susana Madeira chain before the Administrator runs it.",5,Susana Madeira,AI,Holistika,,,
9a1fc930-8ff0-4dec-8a4f-35deba6a1ad1,CPO,"Chief People Officer","Oversees all people-related functions: Compliance, Organisation, Talent, Ethics & Learning, Corporate Marketing, and Legal Counsel. Responsible for ensuring that Holistika's core values, HR harmonization, legal compliance, and knowledge management are maintained across all personnel and collaborators.",5,O5-1,People,Think Big,org_007,https://drive.google.com/drive/folders/1harTBX80vrfhmhxfTLW6_je9q_TjCdRg,,
7277f6e9-e450-4179-915d-0c5ef524ad76,Compliance,"Policy and Methodology Enforcement","Responsible for ensuring that the CORE values of Research & Logic, Foresight, Business Engineering and Process Engineering, along with Admin's H processes are followed in Holistika's BAU operations. Their SOP consists of the compendium of the above methodologies. The more detailed, the better, as the rest of the organisation must read Compliance's policies upon being contacted or contracted. Product management is framed as living under Compliance because the methodology is the product.",4,CPO,People,Think Big,org_033,https://drive.google.com/drive/folders/1Wi1Cf8yBfjzV6bAAVSRXpRnply7UNFX8,,
8c57bcae-3c8d-4706-ba3f-0fb845098bf3,Organisation,"Personnel and Resource Governance","Responsible for keeping record of the personnel, resources and liabilities that Holistika holds with any collaborator. Covers contractors, employees, and suppliers. Ensures harmonization across B2E, B2B and B2C processes. Maintains the baseline organisation records and role lifecycle.",4,CPO,People,Think Big,org_002,https://drive.google.com/drive/folders/1QPTR-bdMmTFACI49ouH0Uz65MKMpKnYc,,
7da20a85-19bf-4d67-bcda-a67159283147,Talent,"People Development and Wellbeing","Responsible for overall wellbeing of any person affiliated with Holistika. Must nurture them and create a growth plan for each person with the help of their team. Oversees Ethics & Learning and Corporate Marketing under the CPO umbrella.",4,CPO,People,Think Big,org_014,https://drive.google.com/drive/folders/1rd6QBIKXrixs_ULgwvry_vOG_eVn9vJV,,
3130d981-ef01-4fee-b3f5-9e472eb81de4,Ethics & Learning,"Knowledge Center and Education","Professionals dedicated to translating Holistika's Knowledge Center into a full-fledged education system. Covers professional and personal development curricula, training programs, and best-practice dissemination.",3,Talent,People,Think Big,org_012,https://drive.google.com/drive/folders/1bD6KnIcPDMl30fiaBHPSnEDkvztEnSWG,,
