phase,commit_sha,commit_date,change_kind,lines_delta,repo,file_path,file_kind,role_owner,area,entity,decision_ids,process_ids,linked_canonicals,validators_run,requires_operator_gate,change_summary,notes
P0,,2026-05-15,created,+150,openclaw-akos,docs/wip/planning/73-people-operations-and-learning-curriculum/master-roadmap.md,planning,PMO,Admin,Holistika,D-IH-73-A;D-IH-73-B;D-IH-73-C;D-IH-73-D;D-IH-73-E;D-IH-73-F;D-IH-73-G,,master-roadmap.md;PLANNING_COMPENDIUM.md;INITIATIVE_DEPENDENCIES.md,validate_hlk_language_frontmatter.py;validate_hlk_vault_links.py;validate_hlk.py,no,Workspace mirror of Cursor plan; phase dependency + phase-at-a-glance + sync rule,initiative-meta
P0,,2026-05-15,created,+200,openclaw-akos,docs/wip/planning/73-people-operations-and-learning-curriculum/reports/p0-charter-report.md,planning,PMO,Admin,Holistika,D-IH-73-A;D-IH-73-B;D-IH-73-C;D-IH-73-D;D-IH-73-E;D-IH-73-F;D-IH-73-G,,master-roadmap.md;PLANNING_COMPENDIUM.md,validate_hlk_language_frontmatter.py;validate_hlk.py,no,P0 charter ratification record with 12-row self-critique gate PASS report,initiative-meta
P0,,2026-05-15,created,+260,openclaw-akos,docs/wip/planning/73-people-operations-and-learning-curriculum/decision-log.md,planning,PMO,Admin,Holistika,D-IH-73-A;D-IH-73-B;D-IH-73-C;D-IH-73-D;D-IH-73-E;D-IH-73-F;D-IH-73-G,,DECISION_REGISTER.csv,validate_hlk_language_frontmatter.py;validate_hlk.py,no,Per-decision rationale + alternatives + decision_source + close-out tracking for D-IH-73-A..G,initiative-meta
P0,,2026-05-15,created,+200,openclaw-akos,docs/wip/planning/73-people-operations-and-learning-curriculum/risk-register.md,planning,PMO,Admin,Holistika,D-IH-73-A;D-IH-73-B,,master-roadmap.md;decision-log.md,validate_hlk_language_frontmatter.py;validate_hlk.py,no,R-IH-73-1..10 with mitigation + owner + close-out phase,initiative-meta
P0,,2026-05-15,created,+11,openclaw-akos,docs/wip/planning/73-people-operations-and-learning-curriculum/files-modified.csv,planning,PMO,Admin,Holistika,D-IH-73-A,,master-roadmap.md,,no,18-column per-initiative file-changes CSV; P0 rows seeded,initiative-meta
P0,,2026-05-15,created,+800,openclaw-akos,~/.cursor/plans/i73-people-ops-engagement-models-methodology-ip-c9d4e7f3.plan.md,planning,PMO,Admin,Holistika,D-IH-73-A;D-IH-73-B;D-IH-73-C;D-IH-73-D;D-IH-73-E;D-IH-73-F;D-IH-73-G,,master-roadmap.md;PLANNING_COMPENDIUM.md,validate_hlk_language_frontmatter.py,no,Cursor authoritative plan body; 3 mermaid + 11 per-phase deep sections + 12 sources + 12-row self-critique gate; out-of-repo,out-of-repo (Cursor plans live at ~/.cursor/plans/)
P0,,2026-05-15,data-row-append,+1,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/INITIATIVE_REGISTRY.csv,canonical,People Operations Lead,Admin,Holistika,D-IH-73-A;D-IH-73-B,,INITIATIVE_REGISTRY.csv,validate_hlk.py;validate_initiative_registry.py;validate_decision_register.py,yes,Append INIT-OPENCLAW_AKOS-73 row; status active; gated_on charter_satisfies_gate per D-IH-73-B,canonical-CSV gate
P0,,2026-05-15,data-row-append,+7,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/DECISION_REGISTER.csv,canonical,PMO,Admin,Holistika,D-IH-73-A;D-IH-73-B;D-IH-73-C;D-IH-73-D;D-IH-73-E;D-IH-73-F;D-IH-73-G,,DECISION_REGISTER.csv,validate_hlk.py;validate_decision_register.py,yes,Append D-IH-73-A..G; 7 charter-time decisions; decision_source captured per row,canonical-CSV gate
P0,,2026-05-15,data-row-append,+10,openclaw-akos,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/OPS_REGISTER.csv,canonical,PMO,Admin,Holistika,D-IH-73-A,,OPS_REGISTER.csv,validate_hlk.py;validate_ops_register.py,yes,Append OPS-73-1..10; one per strand + integration + UAT,canonical-CSV gate
P0,,2026-05-15,modified,+25/-15,openclaw-akos,docs/wip/planning/_templates/INITIATIVE_DEPENDENCIES.md,planning,PMO,Admin,Holistika,D-IH-73-A;D-IH-73-B,,INITIATIVE_DEPENDENCIES.md,validate_hlk_language_frontmatter.py;validate_hlk_vault_links.py,no,Promote I73 from candidate to active in mermaid + blocker table + hold-gate section + history table,initiative-meta
P0,,2026-05-15,modified,+1/-1,openclaw-akos,docs/wip/planning/_templates/README.md,planning,PMO,Admin,Holistika,D-IH-73-A,,README.md,validate_hlk_language_frontmatter.py,no,Per-initiative state table I73 row state → active,initiative-meta
