item_id,area,role_owner,item_granularity,item_name,knowledge_pairing_status,paired_sop_status,mirror_coverage_status,audience_tags_status,cadence_status,verdict,gap_summary
env_tech_dtp_madeira_verdict,Tech,System Owner,process,MADEIRA verdict review (weekly),unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_madeira_dossier,Tech,DevOPS,process,MADEIRA dossier emit (cadence-bound),unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_madeira_incident,Tech,System Owner,process,MADEIRA incident response (event-driven),unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_madeira_lifecycle,Tech,AI Engineer,process,MADEIRA scenario lifecycle (promote quarantine deprecate),unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_madeira_telemetry,Tech,AI Engineer,process,MADEIRA telemetry registry feedback loop,unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_madeira_uxreview,Tech,System Owner,process,MADEIRA quarterly UX review (Impeccable),unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_306,Tech,DevOPS,process,HLK API lifecycle and portfolio governance,unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_307,Tech,DevOPS,task,Tracked repository API surface registration,unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_308,Tech,DevOPS,process,Machine-readable API specification SSOT,unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_309,Tech,Back-End Developer,process,Internal API catalog and consumer registry,unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_311,Tech,Tech Lead,process,API versioning deprecation and breaking-change control,unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_312,Tech,Tech Lead,process,Third-party API evidence and attribution,unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
env_tech_dtp_313,Tech,System Owner,process,Component and service matrix maintenance,unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_2,MKT,Brand & Narrative Manager,process,Storytelling web,unmatched,matched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_3,MKT,Brand & Narrative Manager,task,"Media Edition (Final Cut, Premiere, etc)",unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
thi_mkt_dtp_4,MKT,Brand & Narrative Manager,task,Layout,unmatched,unmatched,covered_by_emit,deferred,undeclared,partial,knowledge_pairing;paired_sop;audience_tags_deferred;cadence_undeclared
