source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-RR-01,RR,research_discipline_gap,RESEARCH_ACTION_DISCIPLINE.md,docs/references/hlk/v3.0/Research/Methodology/canonicals/RESEARCH_ACTION_DISCIPLINE.md,internal_canonical,CORPINT,6.1,5,1,Safe,Research Radar charter Stage B,"Intake-shaped loop; 13-field ledger has no freshness/decay/as-of field; 'radar' is a stub word in loop step 8."
SRC-RR-02,RR,hardcoded_cadence_offender,SOP-RESEARCH_SUBSTRATE_AUDIT_CADENCE_001.md,docs/references/hlk/v3.0/Admin/O5-1/Research/Methodology/canonicals/SOP-RESEARCH_SUBSTRATE_AUDIT_CADENCE_001.md,internal_canonical,CORPINT,6.1,5,1,Safe,Research Radar charter Stage B,"The hardcoded anti-pattern: quarterly in SOP + last_audit_date in register + 90 in runbook; also status:review (not active)."
SRC-RR-03,RR,cadence_as_data_precedent,MADEIRA_PERSISTENCE_VEHICLE_REGISTRY.csv,docs/references/hlk/v3.0/Admin/O5-1/Envoy Tech Lab/canonicals/dimensions/MADEIRA_PERSISTENCE_VEHICLE_REGISTRY.csv,internal_canonical,CORPINT,6.1,5,1,Safe,Research Radar charter Stage B,"Strongest not-hardcoded precedent: per-row read_cadence + staleness_days + staleness_posture read by scripts/madeira_persistence_check.py."
SRC-RR-04,RR,target_tracking_spine,INTELLIGENCEOPS_REGISTER.csv,docs/references/hlk/v3.0/Admin/O5-1/Research/Intelligence/canonicals/dimensions/INTELLIGENCEOPS_REGISTER.csv,internal_canonical,CORPINT,6.1,5,1,Safe,Research Radar charter Stage B,"Per-target cadence column + owner + linked SOP/runbook; 4 seed rows; the tracking spine the radar extends."
SRC-RR-05,RR,radar_not_switched_on,process_list.csv substrate-cadence row absence,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/process_list.csv,internal_canonical,CORPINT,6.1,5,1,Safe,Research Radar charter Stage B,"grep for env_tech_dtp_substrate_landscape_mtnce_001 returned no matches 2026-05-29 -> substrate radar chartered but not firing."
SRC-RR-06,RR,cursor_platform_fact,Cursor Plan Mode docs,https://cursor.com/docs/agent/plan-mode,webpage,OSINT,1.2,4,5,Safe,corrected the stale 'cannot switch model' claim,"Plan Mode has its own planning-model selector + Build Locally vs Build in parallel; corrects the doctrine claim. Verified 2026-05-29."
SRC-RR-07,RR,cursor_platform_fact,Cursor 3.2 multitask changelog,https://cursor.com/changelog/04-24-26,webpage,OSINT,1.2,4,5,Safe,corrected the stale 'subagents only' claim,"/multitask shipped 2026-04-24 (~5 weeks before the 2026-05-28 research) -> the missed volatile fact. Verified 2026-05-29."
SRC-RR-08,RR,volatile_model_names,DeepSeek V4 + Kimi K2.6 verification,https://openlm.ai/deepseek-v4/,webpage,OSINT,1.3,3,3,Safe,volatile-claim re-verification,"OSS model names held (DeepSeek V4 / Kimi K2.6 / Qwen 3.6 / GLM 5.1); DeepSeek V4-Pro permanent price cut 2026-05-22. Verified 2026-05-29."
SRC-RR-09,RR,volatile_model_versions,Wan 2.7 vs Wan 2.2 comparison,https://www.technology.org/2026/05/25/wan-2-7-vs-wan-2-2-what-changed-in-alibaba-s-flagship-video-model/,webpage,OSINT,1.3,3,3,Safe,volatile-claim re-verification,"CORRECTION: routing map 'Wan 2.2' is stale; Wan 2.7 shipped 2026-05-25. Hunyuan3D 2.1 -> 3.1 also. Verified 2026-05-29."
SRC-RR-10,RR,volatile_model_versions,HunyuanImage 3.0 (Tencent),https://huggingface.co/tencent/HunyuanImage-3.0,webpage,OSINT,3.2,4,4,Safe,volatile-claim re-verification,"HunyuanImage 3.0 verified current (Instruct Jan 2026); FLUX.2 klein unverified -> flagged as first radar intake target. Verified 2026-05-29."
SRC-RR-11,RR,research_area_wiring,Research-area structure + WIP-folder reorg sweep,docs/wip/intelligence/research-radar-2026-05-29/charter-2026-05-29.md,internal_transcript,CORPINT,6.1,5,1,Safe,Research Radar charter Stage B wiring,"intelligence/ is ratified Research Tier-1 (D-IH-70-O + blueprint sec17); tree-move breaks ~150 refs; hlk-km deprecated D-IH-86-CY-D with 5 Trello-linkage stubs; new discipline composes as Methodology sibling not 5th folder."
SRC-RR-12,RR,initiative_integration,Initiative-integration + upstream-downstream logic-flow sweep,docs/wip/intelligence/research-radar-2026-05-29/charter-2026-05-29.md,internal_transcript,CORPINT,6.1,5,1,Safe,Research Radar charter Stage B wiring,"Radar composes into I88 P2 + I75 P4 + I83 P2+ not a sibling initiative; avoid-parallelism vs substrate audit + MADEIRA GTM radar + investor program radar homonyms; substrate process row absent."
