output_type_code,name,medium_class,render_targets,authoring_tool,accessibility_concerns,brand_visual_anchor,status,added_at,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,notes
OT-PROSE-MARKDOWN,Plain markdown prose,text,web;pdf;mail;erp,markdown editor,reading-level + heading hierarchy + alt-text on images,brand-voice register (BRAND_DO_DONT.md),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,The default output type for canonical SOPs / decision-log narratives / planning markdown / scratchpads. SSOT for content; renders to web (GitHub UI) or PDF (via render_dossier.py) or mail (via render_cover_email.py).
OT-PROSE-EMAIL-RICH,Rich HTML email body,text,mail,markdown source plus mail render pipeline,reader-platform compatibility (Outlook / Gmail / iOS Mail) + dark-mode + screen-reader,brand visual identity (logo + colors per BRAND_BASELINE_REALITY_MATRIX.md),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Mail body shape distinct from OT-PROSE-MARKDOWN because it carries inline visual primitives (logo / signature image / inline CSS). Renders via render_cover_email.py.
OT-PROSE-DM,Direct message prose,text,broadcast,native client (LinkedIn / WhatsApp / Slack / Discord),length budget + reading order + emoji policy,brand-voice register simplified for conversational channel,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Conversational channel-bound prose. Different rules from email (no formal greeting + brief body + CTA-first or qualifying-question-first per channel doctrine).
OT-SLIDE-DECK,Presentation slide deck,visual,pdf;slide;broadcast,Figma;Keynote;PowerPoint;Markdown source compiled to slides,reading order + AAA contrast on text + alt-text on graphics,brand visual identity (16:9 aspect; brand grid; type scale; color palette),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,16:9 default aspect; ranges from 4-slide advisor pack to 14-slide founding deck. Authored as deck_*.md narrative + Figma frame source per FIGMA_FILES_REGISTRY.csv.
OT-IMAGE-RASTER,Raster image (PNG / JPEG / GIF),visual,web;pdf;mail;slide;erp,Figma export;Photoshop;screenshot,alt-text + visible-only content + AAA contrast for embedded text,brand visual identity (color palette + crop ratios + treatment style),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Photographic / photographic-style assets. Brand assets live under _assets/<plane>/; engagement-specific raster lives under engagement folders.
OT-IMAGE-VECTOR-SVG,Vector image (SVG),visual,web;pdf;mail;slide;erp,Figma export;Excalidraw export;Illustrator,alt-text + role attribute + AAA contrast,brand visual identity (line-weight + color palette + corner-radius),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Logos / icons / illustrations as scalable vector. Preferred over raster for any asset that scales beyond 1x.
OT-DIAGRAM-MERMAID,Mermaid diagram,visual,web;pdf;slide,mermaid-cli;mermaid-live;markdown fenced block,reading order via accessible attributes + AAA contrast + alt-text equivalent in surrounding prose,brand visual identity (theme colors via mermaid theme variables),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Source-of-truth as .mmd file under docs/references/hlk/v3.0/_assets/<plane>/<program>/<topic>/. Per akos-planning-traceability.mdc .mmd-first P0 rule. Renders via scripts/render_km_diagrams.py.
OT-DIAGRAM-EXCALIDRAW,Excalidraw drawing,visual,web;pdf;slide,Excalidraw editor;excalidraw-cli,reading order via descriptive prose + AAA contrast + alt-text equivalent,brand visual identity (sketch-style; subdued palette per Excalidraw default),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Hand-drawn-feel diagrams for whiteboarding / architecture sketches. Source-of-truth as .excalidraw JSON file. Differs from OT-DIAGRAM-MERMAID by intent: Excalidraw for ideation / Mermaid for canonical structure.
OT-CHART-GANTT,Gantt chart (timeline),visual,web;pdf;slide,Mermaid gantt syntax;ganttproject;Notion timeline,reading order via accessible label table + AAA contrast,brand visual identity (color palette + bar treatment),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Phase-dependency timeline. Mermaid gantt is the v1 default per akos-planning-traceability.mdc plan-quality bar.
OT-CHART-DATA,Data chart (bar / line / scatter / pie),visual,web;pdf;slide,D3;Chart.js;matplotlib;Vercel Analytics export,reading order via data table fallback + AAA contrast + alt-text equivalent,brand visual identity (color palette + data-ink ratio per Tufte),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Quantitative visualisations for funnel / cohort / engagement metrics. Per akos-quality-fabric.mdc Canvas-skill rule: charts that are the deliverable (not narrative-illustration) live as JSON-driven canvas components.
OT-TABLE-CSV-RAW,CSV table raw,text,erp;web,csv editor;Pydantic-validated mint script,row count budget + column header clarity + machine-parseability,n/a (raw data; brand applies at render layer),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Canonical CSVs (process_list / baseline_organisation / dimensions/*.csv) live here. Render to OT-TABLE-RENDERED for human consumption.
OT-TABLE-RENDERED,Rendered HTML or PDF table,visual,web;pdf;mail;erp,markdown to HTML;React table component,sortable headers + row striping for scan + AAA contrast + screen-reader semantics,brand visual identity (border treatment + header styling + alternating-row tint),active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Human-facing presentation of OT-TABLE-CSV-RAW data. ERP planning panel renders this for governance.planning_decisions_view + governance.planning_ops_view.
OT-VIDEO,Video,multimedia,web;broadcast,Loom;OBS;CapCut;Vercel video;founder talking-head record,captions (FCC standard) + audio descriptions + transcript + keyboard nav controls,brand visual identity (intro/outro card + lower-third + color grade),planned,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Future channel: founder explainer videos / engagement walkthrough recordings / KiRBe demo loops. Activates when first video deliverable is authored.
OT-AUDIO-VOICE,Voice audio (TTS or human narration),multimedia,broadcast;mail,ElevenLabs TTS;OpenAI TTS;founder voice memo,transcript + audio description for non-speech sounds + speech-rate control,brand voice register (per BRAND_DO_DONT.md voice traits) + cadence + tone,planned,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,For agent rendering (Madeira voice intros) + accessibility alternative to text. TTS-first at v1 per I-NN-OUTPUT-ARCHITECTURE C-NN-3 default. Founder voice memo as alternate authoring path.
