phase,commit_sha,commit_date,change_kind,lines_delta,repo,file_path,file_kind,role_owner,area,entity,decision_ids,process_ids,linked_canonicals,validators_run,requires_operator_gate,change_summary,notes
P0,akos-pending,2026-05-18,created,n/a,openclaw-akos,docs/wip/planning/76-madeira-elevation/master-roadmap.md,planning,System Owner,Tech,Holistika,D-IH-76-A;D-IH-86-O,,master-roadmap.md;INITIATIVE_REGISTRY.csv;DECISION_REGISTER.csv;OPS_REGISTER.csv,validate_hlk.py,no,P0 charter v3.1-doctrine compliant master-roadmap with 3 mermaid + per-phase deep sections + decisions+risks previews + asset-classification + acceptance criteria.,initiative-meta charter-satisfies-gate per inheritance from D-IH-79-A and D-IH-80-A
P0,akos-pending,2026-05-18,created,n/a,openclaw-akos,docs/wip/planning/76-madeira-elevation/decision-log.md,planning,System Owner,Tech,Holistika,D-IH-76-A;D-IH-86-O,,DECISION_REGISTER.csv,validate_hlk.py,no,P0 Round 1 D-IH-76-A charter inception plus D-IH-86-O default posture shift to Option 5 / blocker-trackers when conflict surfaces.,initiative-meta
P0,akos-pending,2026-05-18,created,n/a,openclaw-akos,docs/wip/planning/76-madeira-elevation/risk-register.md,planning,System Owner,Tech,Holistika,D-IH-76-A,,risk-register.md,validate_hlk.py,no,P0 risk register with 9 forward-looking risks R-IH-76-1 through R-IH-76-9.,initiative-meta
P0,akos-pending,2026-05-18,created,n/a,openclaw-akos,docs/wip/planning/76-madeira-elevation/asset-classification.md,planning,System Owner,Tech,Holistika,D-IH-76-A,,asset-classification.md;PRECEDENCE.md,validate_hlk.py,no,P0 asset classification per PRECEDENCE.md taxonomy covering canonicals plus mirrors plus reference plus planning artifacts.,initiative-meta
P0,akos-pending,2026-05-18,created,n/a,openclaw-akos,docs/wip/planning/76-madeira-elevation/evidence-matrix.md,planning,System Owner,Tech,Holistika,D-IH-76-A,,evidence-matrix.md;DECISION_REGISTER.csv,validate_hlk.py,no,P0 evidence matrix with charter-time evidence cited (i76 candidate plus I84 plus I74 plus STATUS plus RULE 5 plus reverted D-IH-86-F precedent).,initiative-meta
P0,akos-pending,2026-05-18,created,n/a,openclaw-akos,docs/wip/planning/76-madeira-elevation/files-modified.csv,planning,System Owner,Tech,Holistika,D-IH-76-A,,files-modified.csv,validate_hlk.py,no,P0 files-modified.csv schema row coverage for charter mint commit.,initiative-meta self-reference
P0,akos-pending,2026-05-18,created,n/a,openclaw-akos,docs/wip/planning/_trackers/i11-i13-i17-scope-overlap-tracker.md,planning,System Owner,Tech,Holistika,D-IH-76-A;D-IH-86-O,,master-roadmap.md;INITIATIVE_REGISTRY.csv,validate_hlk.py,no,P0 governance-shape artifact tracking I11/I13/I17 scope-overlap; per-sibling consolidation ratify gates fire at I76 P4 per scope-overlap-tracker section 3.,governance-shape novel-framing-pattern
P0,akos-pending,2026-05-18,created,n/a,openclaw-akos,docs/wip/planning/_blockers/i74-promotion-blocker-tracker.md,planning,System Owner,Tech,Holistika,D-IH-76-A;D-IH-86-O,,i74-brand-tooling-productization.md,validate_hlk.py,no,P0 promotion blocker tracker TRIGGER-2 reactive count 0 resolves when 2 plus external requests AND I71 plus I72 plus I73 closed AND HLK Tech Lab capacity available.,governance-shape blocker-tracker-pattern
P0,akos-pending,2026-05-18,created,n/a,openclaw-akos,docs/wip/planning/_blockers/i75-promotion-blocker-tracker.md,planning,System Owner,Tech,Holistika,D-IH-76-A;D-IH-86-O,,i75-research-area-governance.md,validate_hlk.py,no,P0 promotion blocker tracker I72 P0 plus I73 P0 PENDING plus Research Director hire OR founder-takes-role PENDING.,governance-shape blocker-tracker-pattern
P0,akos-pending,2026-05-18,created,n/a,openclaw-akos,docs/wip/planning/_blockers/i83-promotion-blocker-tracker.md,planning,System Owner,Tech,Holistika,D-IH-76-A;D-IH-86-O,,i83-ai-archivist-and-kirbe-ingestor.md,validate_hlk.py,no,P0 promotion blocker tracker I82 P4 USE_CASE_ARCHIVE NOT MINTED I82 at 20 percent completion resolves when I82 P4 closes.,governance-shape blocker-tracker-pattern
