confidence_id,capability_id,substrate_score,repeatability_score,quality_score,translatability_score,auditability_score,aggregate_confidence,rating_method,rated_at,rated_by,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
CONF-CAP-LEGAL-INSTRUMENT-LIFECYCLE-20260608,CAP-LEGAL-INSTRUMENT-LIFECYCLE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-LEGAL-IP-TRADEMARK-20260608,CAP-LEGAL-IP-TRADEMARK,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-LEGAL-CORP-ENTITY-READINESS-20260608,CAP-LEGAL-CORP-ENTITY-READINESS,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-FIN-PRICING-MONETIZATION-20260608,CAP-FIN-PRICING-MONETIZATION,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-FIN-REVENUE-OPS-BILLING-20260608,CAP-FIN-REVENUE-OPS-BILLING,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-FIN-BUDGET-COST-CAPITAL-20260608,CAP-FIN-BUDGET-COST-CAPITAL,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-FIN-COUNTERPARTY-MDM-20260608,CAP-FIN-COUNTERPARTY-MDM,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-DATA-ENTERPRISE-MGMT-MDM-20260608,CAP-DATA-ENTERPRISE-MGMT-MDM,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-DATA-MODELING-ENGINEERING-20260608,CAP-DATA-MODELING-ENGINEERING,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-DATA-PIPELINE-QUALITY-LINEAGE-20260608,CAP-DATA-PIPELINE-QUALITY-LINEAGE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-DATA-PLATFORM-PRODUCTS-20260608,CAP-DATA-PLATFORM-PRODUCTS,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-MKT-BRAND-NARRATIVE-20260608,CAP-MKT-BRAND-NARRATIVE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-MKT-BRAND-GOVERNANCE-20260608,CAP-MKT-BRAND-GOVERNANCE,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
CONF-CAP-MKT-EDITORIAL-20260608,CAP-MKT-EDITORIAL,1,1,1,1,1,1.0,seed_v1_unrated,2026-06-08,Capability Curator,Unrated seed for the de-densified capability (D-IH-95-I); first real rating via the weekly cohort cron.,2026-06-08,Capability Curator,D-IH-95-I,v3.1
