program_id,process_item_id,program_name,program_code,lifecycle_status,parent_program_id,consumes_program_ids,produces_for_program_ids,subsumes_program_ids,primary_owner_role,default_plane,start_date,target_close_date,risk_class,notes
PRJ-HOL-DAT-2026,thi_data_prj_1,HLK Data Governance,DAT,active,,,,,CDO,ops,2026-01-01,open,medium,"Data governance umbrella (DAMA discipline, data quality, lineage, masterdata). Co-owns KiRBe ingestion DQ (thi_data_dtp_274) and lineage (thi_data_dtp_275). Agent-defaulted Tier-3 cells per D-IH-23-A."
PRJ-HOL-FIN-2026,thi_finan_prj_1,Think Big Finance Architecture,FIN,active,,,,,CFO,finops,2026-01-01,open,medium,"Think Big finance architecture umbrella (FINOPS plane, counterparty register, ledger facts). Agent-defaulted Tier-3 cells per D-IH-23-A; operator review pending."
PRJ-HOL-FOUNDING-2026,,Founder incorporation (Holistika),FND,active,,,,,Legal Counsel,advops,2026-04-01,open,high,Founder incorporation program; ADVOPS plane (Legal/Fiscal/IP/Banking/Cert/Notary). I21+I22 closure rolls up here.
PRJ-HOL-INF-2026,env_tech_prj_4,HLK Infrastructure and DevOPS,INF,active,,,,,CTO,devops,2026-01-01,open,medium,"HLK infrastructure umbrella (DevOPS, runtime gateway, Supabase, OpenStack ShadowGPU, RunPod). Agent-defaulted Tier-3 cells per D-IH-23-A."
PRJ-HOL-KIR-2026,env_tech_prj_2,KiRBe Platform,KIR,active,,PRJ-HOL-FOUNDING-2026,,,CTO,techops,2026-01-01,open,medium,"DUAL nature - SaaS product (kirbe.* schema, Stripe billing per metadata.hlk_billing_plane) + KM ingestion source per v3.0/index.md. Section 4 KiRBe duality confirms paying-customers status and on-demand role roots."
PRJ-HOL-LEG-2026,thi_legal_prj_1,Think Big Legal Compliance,LEG,active,,,,,Legal Counsel,advops,2026-01-01,open,medium,"Think Big legal compliance umbrella program (entity formation, IP governance, contracts). Agent-defaulted Tier-3 cells per D-IH-23-A; operator review pending."
PRJ-HOL-MAD-2026,env_tech_prj_3,MADEIRA Platform,MAD,active,,PRJ-HOL-RES-2026,,,CTO,techops,2026-01-01,open,medium,Madeira agentic platform; consumes Holistika Research and Methodology outputs. Agent-defaulted Tier-3 cells per D-IH-23-A.
PRJ-HOL-MKT-2026,thi_mkt_prj_1,Think Big Channel and Marketing Operations,MKT,active,,,,,CMO,mktops,2026-01-01,open,medium,"Channel and marketing operations (GTM, brand, growth). Will host the I24 Communication Methodology SOP and brand foundation. Agent-defaulted Tier-3 cells per D-IH-23-A."
PRJ-HOL-OPS-2026,thi_opera_prj_1,Think Big Operational Excellence,OPS,active,,,,,COO,ops,2026-01-01,open,medium,"Operational excellence umbrella (PMO, ADVOPS plane, vendor relations). Hosts I21 ADVOPS workstream and I22a wave-2 governance. Agent-defaulted Tier-3 cells per D-IH-23-A."
PRJ-HOL-PEO-2026,hol_peopl_prj_1,Holistika People and Organisational Development,PEO,active,,,,,CPO,ops,2026-01-01,open,low,"People and organisational development umbrella (talent, culture, compliance methodology). Agent-defaulted Tier-3 cells per D-IH-23-A."
PRJ-HOL-PGF-2026,hol_ops_pgf_1,Holistika Process Governance Framework,PGF,active,,,,,PMO,ops,2026-01-01,open,medium,"Process governance framework (process_list maintenance, SOP-META, asset classification). Cross-program; provides governance contracts for all other programs. Agent-defaulted Tier-3 cells per D-IH-23-A."
PRJ-HOL-RES-2026,hol_resea_prj_1,Holistika Research and Methodology,RES,active,,,,,Holistik Researcher,ops,2026-01-01,open,low,"Holistika research and methodology pillars (process eng, business eng, foresight). Foundational program; outputs feed product programs (KiRBe, MADEIRA). Agent-defaulted Tier-3 cells per D-IH-23-A."
