pipeline_id,name,trigger_type,trigger_command,owning_area,owning_role,status,brand_tokens_consumed,input_paths,output_paths,sop_path,runbook_path,linked_processes,linked_decision_id,governance_class,added_at,last_review_at,last_review_decision_id,methodology_version_at_review,notes
impeccable_bridge_consumption,Impeccable skill consumption of PRODUCT/DESIGN/BASELINE_REALITY bridges,event_triggered,/critique or /polish or /audit (Cursor agent invocation),Tech,System Owner,active,yes,PRODUCT.md;DESIGN.md;BASELINE_REALITY.md,Impeccable analysis output (terminal markdown),docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/generate_impeccable_bridges.py,,D-IH-77-I,governed,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Drift gate via scripts/validate_impeccable_bridge_drift.py (I77 P2); Pydantic chassis at akos/impeccable_bridge.py; 19 tests in tests/test_impeccable_bridge.py
company_dossier_html_deck,Holistika company-dossier 14-slide HTML deck,on_demand,py scripts/build_company_deck.py,Marketing/Brand,Brand & Narrative Manager,active,yes,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_company_dossier/deck_slides.yaml;docs/presentations/holistika-company-dossier/styles.css,docs/presentations/holistika-company-dossier/index.html,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/build_company_deck.py,,D-IH-77-I,partial,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Self-contained HTML deck per I28 P3; print-ready via Chrome Save-as-PDF; deck_slides.yaml is SSOT; HTML derived
company_dossier_pdf_export,Holistika company-dossier PDF export,on_demand,py scripts/export_company_deck_pdf.py,Marketing/Brand,Brand & Narrative Manager,active,yes,docs/presentations/holistika-company-dossier/index.html,docs/presentations/holistika-company-dossier/*.pdf,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/export_company_deck_pdf.py,,D-IH-77-I,partial,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Wraps Playwright/Chromium print to PDF; depends on company_dossier_html_deck output
branded_dossier_pdf_render,Branded dossier PDF render module,on_demand,akos.hlk_pdf_render.render_pdf_branded(...),Marketing/Brand,Brand & Narrative Manager,active,yes,dossier markdown + brand tokens (HSL palette + Inter font),branded PDF (configurable path),docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,akos/hlk_pdf_render.py,,D-IH-77-I,partial,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Reusable helper; consumed by render_uat_dossier.py + render_dossier.py + render_suez_engagement_pdfs.py
pmo_hub_render,PMO Output-1 hub auto-render,on_demand,py scripts/render_pmo_hub.py,Operations/PMO,PMO,active,no,PMO program manifests at docs/references/hlk/v3.0/_assets/<plane>/<program_id>/<topic_id>/*.manifest.md,PMO hub view (markdown/HTML),docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/render_pmo_hub.py,,D-IH-77-I,partial,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Initiative 25 P7 origin; render_pmo_hub_smoke verification profile; no canonical registry row before this initiative
km_diagrams_batch_render,KM Mermaid diagrams batch render,on_demand,py scripts/render_km_diagrams.py --all,Operations/PMO,System Owner,active,no,docs/references/hlk/v3.0/_assets/<plane>/<program_id>/<topic_id>/*.mmd,docs/references/hlk/v3.0/_assets/<plane>/<program_id>/<topic_id>/*.png and *.svg,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/render_km_diagrams.py,,D-IH-77-I,partial,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Initiative 25 P8 origin; render_km_diagrams_batch_smoke verification profile; governed by I25 P1 .mmd-first rule
topic_graph_render,Topic-fact-source graph render,on_demand,py scripts/render_topic_graph.py,Tech,System Owner,active,no,TOPIC_REGISTRY.csv,topic-graph visualization (markdown/HTML),docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/render_topic_graph.py,,D-IH-77-I,partial,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Topic-graph projection; partial governance (script exists; no validator; no tests beyond smoke)
operator_inbox_render,Operator inbox dashboard render,on_demand,py scripts/render_operator_inbox.py,Tech,System Owner,active,yes,OPS_REGISTER.csv + open issues + queued operator actions,operator_inbox HTML/markdown,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/render_operator_inbox.py,,D-IH-77-I,partial,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Dashboard for operator daily-touch surfaces
wip_dashboard_render,Work-in-progress dashboard render,on_demand,py scripts/render_wip_dashboard.py,Operations/PMO,PMO,active,no,INITIATIVE_REGISTRY.csv + OPS_REGISTER.csv + DECISION_REGISTER.csv,WIP dashboard view,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/render_wip_dashboard.py,,D-IH-77-I,partial,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Cross-initiative WIP visibility
uat_dossier_render,Operator-facing UAT dossier (multi-format pack),on_demand,py scripts/render_uat_dossier.py --mode snapshot --format all,Tech,System Owner,active,yes,existing CLI artifacts + persona/scenario/initiative metadata,artifacts/uat-dossier/uat-dossier-<UTC>/dossier.md;artifacts/uat-dossier/uat-dossier-<UTC>/dossier.pdf;artifacts/uat-dossier/uat-dossier-<UTC>/dossier.html;artifacts/uat-dossier/uat-dossier-<UTC>/manifest.json,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/render_uat_dossier.py,env_tech_dtp_madeira_dossier,D-IH-77-I,governed,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Initiative 48 P2 origin; 3 modes (snapshot/live/tier-b) per D-IH-48-C; cost discipline via MAX_DOSSIER_USD env cap
suez_engagement_pdfs_render,Suez procurement-to-pay engagement PDFs,on_demand,py scripts/render_suez_engagement_pdfs.py,Operations/RevOps,Account Manager,active,yes,suez engagement markdown sources,suez engagement PDFs (per-counterparty),docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/render_suez_engagement_pdfs.py,,D-IH-77-I,partial,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Engagement-specific; reuses akos/hlk_pdf_render.py
generic_dossier_render,Generic dossier markdown render,on_demand,py scripts/render_dossier.py <path>,Tech,System Owner,active,yes,dossier markdown source + brand tokens,dossier HTML or PDF,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/render_dossier.py,,D-IH-77-I,partial,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Generic dossier renderer; complements branded_dossier_pdf_render
figma_render,Figma file render via use_figma MCP,on_demand,Cursor agent invocation of use_figma MCP tool,Tech,System Owner,active,yes,brand tokens + layout primitives + figma-link.md per deliverable,Figma file (deck/design-system/library/prototype),docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,TODO[I-NN-figma-runbook],,D-IH-77-I,partial,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Initiative 29 P2 origin (FIGMA_FILES_REGISTRY.md exists); paired runbook deferred to future initiative (MCP tool invocation pattern not yet scripted)
impeccable_uat_visual_render,Impeccable UAT markdown rendered as brand-aligned HTML,on_demand,py scripts/render_impeccable_uat.py <uat-md-path>,Marketing/Brand,Brand & Narrative Manager,active,yes,UAT markdown conforming to docs/wip/planning/_templates/uat-impeccable-template.md v1.0 shape,docs/presentations/<uat-slug>/index.html,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/render_impeccable_uat.py,,D-IH-77-I,governed,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Initiative 77 P4.B origin; uses shared stylesheet at docs/presentations/_shared/uat-impeccable.css; self-contained portable HTML output
touchpoint_kit_message_render,Touchpoint kit intro_message render,on_demand,manual operator copy/paste; future runbook TODO,Marketing/Reach,Brand & Narrative Manager,planned,no,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-*/CHAN-*/intro_message_<locale>.md,outbound email/DM/form (sent via channel adapter),docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,TODO[I-NN-peopl-outbound-send],hol_peopl_dtp_303,D-IH-77-I,orphan,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Currently manual; paired runbook deferred; persona x channel matrix
enisa_cover_email_render,ENISA cover email render,on_demand,manual operator send; future runbook TODO,Marketing/Reach,Brand & Narrative Manager,planned,no,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_*/cover_email_*.md,outbound email (adviser send),docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,TODO[I-NN-enisa-send-runbook],,D-IH-77-I,orphan,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Currently manual operator send via mail client; runbook scripted send deferred to future advops initiative
outbound_brief_template_render,Outbound sourcing brief template render,on_demand,manual operator fill,Operations/PMO,PMO,planned,no,docs/references/hlk/v3.0/Admin/O5-1/Operations/PMO/sourcing-briefs/TEMPLATE_OUTBOUND_BRIEF_<locale>.md,filled brief per program/counterparty,docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,TODO[I-NN-outbound-brief-fill],,D-IH-77-I,orphan,2026-05-16,2026-05-16,D-IH-77-I,v3.0,Template-shaped; manual fill workflow; future runbook may script template variable substitution
erp_sibling_render,HLK ERP sibling-repo dashboard render,event_triggered,sibling-repo bless cycle via bless_external_repo.py,Tech,System Owner,active,yes,brand tokens (mirrored via bless) + ERP component library,rendered ERP dashboard chrome (sibling repo),docs/references/hlk/v3.0/Admin/O5-1/Tech/System Owner/canonicals/SOP-RENDERING_PIPELINE_GOVERNANCE_001.md,scripts/bless_external_repo.py,,D-IH-77-I,partial,2026-05-16,2026-05-16,D-IH-77-I,v3.0,External sibling repo (hlk-erp); bless cycle propagates brand tokens + bridge files; render itself happens in sibling repo
