source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-INF-EXT-001,BL-DATA,dama-dmbok,DAMA-DMBOK framework guide (Atlan),https://atlan.com/dama-dmbok-framework/,article,OSINT,4.1,4,4,Euclid,def-valuation,P3 OSINT harvest from area-completeness-doctrine-2026-06-05; prong=BL-DATA; 11 knowledge areas with governance at hub
SRC-INF-EXT-002,BL-DATA,dama-dmbok,DAMA-DMBOK2 functional framework (DAMA Intl),https://www.itmatters.com.au/resources/DAMA-DMBOK2-Framework-V2-20140317-FINAL.pdf,report,OSINT,3.3,3,4,Safe,def-valuation,P3 OSINT harvest from area-completeness-doctrine-2026-06-05; prong=BL-DATA; Primary 11-area decomposition; area = knowledge area precedent
SRC-INF-EXT-003,BL-DATA,dama-dmbok,DMBoK overview (Dataversity),https://www.dataversity.net/data-concepts/what-is-the-data-management-body-of-knowledge-dmbok/,article,OSINT,4.1,4,3,Euclid,def-valuation,P3 OSINT harvest from area-completeness-doctrine-2026-06-05; prong=BL-DATA; Includes maturity-assessment + ethics sections
SRC-INF-EXT-004,BL-DATA,dama-dmbok,EDM Council DCAM framework page,https://edmcouncil.org/frameworks/dcam/,webpage,OSINT,3.3,3,5,Safe,def-valuation,P3 OSINT harvest from area-completeness-doctrine-2026-06-05; prong=BL-DATA; 8 components 34 capabilities 6-level scoring
SRC-INF-EXT-005,BL-DATA,dama-dmbok,DCAM v3 8 core components (EDM Council),https://edmcouncil.org/trainings/the-dcam-v3-framework-virtual-training-with-certification-amer-2/,webpage,OSINT,3.3,3,5,Safe,def-valuation,P3 OSINT harvest from area-completeness-doctrine-2026-06-05; prong=BL-DATA; Strategy/program/architecture/knowledge/quality/govern/ops/analytics
SRC-INF-EXT-006,BL-DATA,dama-dmbok,DCAM v3.1 streamlined (Projective Group),https://www.projectivegroup.com/dcam-v3-1-the-future-ready-framework-for-strategic-data-management/,article,OSINT,4.1,4,4,Euclid,def-valuation,P3 OSINT harvest from area-completeness-doctrine-2026-06-05; prong=BL-DATA; New Business Data Knowledge component; consolidation pattern
SRC-INF-EXT-007,BL-DATA,dama-dmbok,CMMI levels of capability and performance (ISACA),https://cmmiinstitute.com/learning/appraisals/levels,webpage,OSINT,3.3,3,5,Safe,def-valuation,P3 OSINT harvest from area-completeness-doctrine-2026-06-05; prong=BL-DATA; Maturity 0-5 + capability levels; incomplete-to-optimizing ladder
SRC-INF-EXT-008,BL-DATA,dama-dmbok,CMMI explained (SixSigma.us),https://www.6sigma.us/process-improvement/capability-maturity-model-integration-cmmi/,article,OSINT,4.1,4,3,Euclid,def-valuation,P3 OSINT harvest from area-completeness-doctrine-2026-06-05; prong=BL-DATA; 5 staged maturity levels narrative
SRC-INF-EXT-009,BL-DATA,dama-dmbok,CMMI (Wikipedia),https://en.wikipedia.org/wiki/Capability_Maturity_Model_Integration,webpage,OSINT,1.3,2,3,Euclid,def-valuation,P3 OSINT harvest from area-completeness-doctrine-2026-06-05; prong=BL-DATA; Staged vs continuous representation; appraised not certified
SRC-INF-EXT-010,BL-DATA,dama-dmbok,Data governance maturity assessment (EWSolutions),https://www.ewsolutions.com/data-governance-maturity-overview/,article,OSINT,4.1,4,3,Euclid,def-valuation,P3 OSINT harvest from area-completeness-doctrine-2026-06-05; prong=BL-DATA; Compares IBM Gartner Stanford maturity ladders
