source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-N4J-F01,A,neo4j_funding_escalation,EIC Work Programme 2026,https://eic.ec.europa.eu/eic-funding-opportunities_en,webpage,OSINT,4.2,4,5,Safe,EU_public_funding,EIC Accelerator Open + Challenges + Pre-Accelerator + Transition tracks for deep-tech and digital innovation
SRC-N4J-F02,A,neo4j_funding_escalation,EIC Accelerator programme page,https://eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator_en,webpage,OSINT,4.2,4,5,Safe,EU_public_funding,Up to EUR 2.5M grant + EUR 10M equity; cut-off calendar 2026; FQ-2 primary track ratified
SRC-N4J-F03,A,neo4j_funding_escalation,Neo4j Startup Program + Aura terms,https://neo4j.com/startup-program/,webpage,OSINT,4.1,5,5,Safe,vendor_credits,Up to USD 16K Aura credits on Professional or Business Critical; FQ-1 open gate
SRC-N4J-F04,B,neo4j_funding_escalation,Holistika NEO4J_STRATEGY cost envelope,docs/references/hlk/v3.0/Envoy%20Tech%20Lab/Neo4j/NEO4J_STRATEGY.md,internal_canonical,CORPINT,4.1,5,3,Safe,scale_trigger,Self-hosted VM ~30 USD/mo when >200k nodes or Aura >50 USD/mo; rebuildable projection doctrine
SRC-N4J-F05,B,neo4j_funding_escalation,finops_neo4j counterparty row,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/finops/FINOPS_COUNTERPARTY_REGISTER.csv,internal_canonical,CORPINT,4.1,5,3,Safe,finops_link,Canonical notes likely AuraDB free tier; CSV edit requires operator gate; radar carries non-canonical forecast
SRC-N4J-F06,B,neo4j_funding_escalation,D-IH-95-L F6 primary + Professional deferred,docs/wip/planning/95-canonical-articulation-model/decision-log.md,internal_canonical,CORPINT,4.1,5,3,Safe,R2_09_supersession,Keepalive unchanged; Professional arm superseded for 2026 by D-IH-95-L; F6 primary incident path
SRC-N4J-01,A,aura_free_credential_recovery,Neo4j Support — recover lost Aura password,https://support.neo4j.com/s/article/360037061874-How-to-recover-a-lost-Aura-Instance-s-password-in-Neo4j-Aura,webpage,OSINT,4.2,5,5,Safe,free_recovery_paths,Support cannot reset password; export/clone paths exist but not Free-only lost-password reset
SRC-N4J-02,A,aura_free_credential_recovery,Neo4j Support — Aura Database Authentication,https://support.neo4j.com/s/article/6787460237843-Neo4j-Aura-Database-Authentication-Neo4j-Database-Username-Password,webpage,OSINT,4.2,5,5,Safe,free_recovery_paths,Password shown once at creation; Download before Continue; username always neo4j
SRC-N4J-03,A,aura_free_credential_recovery,Neo4j Aura — Instance actions,https://neo4j.com/docs/aura/managing-instances/instance-actions/,webpage,OSINT,4.3,5,5,Safe,anti_pattern_paid_paths,Reset to blank wipes data not password; clone/upgrade are paid-tier actions
SRC-N4J-04,A,aura_free_credential_recovery,Neo4j Aura — migration-free tutorial,https://neo4j.com/docs/aura/tutorials/migration-free/,webpage,OSINT,4.3,5,5,Safe,anti_pattern_paid_paths,Clone works for AuraDB Professional; basis for ~$65/mo warning before clone recommendation
