adapter_id,registry_class,vendor,adapter_kind,status,owner_role,linked_sop_path,linked_runbook_path,linked_decision_id,feature_flag,notes,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review
holistika_ops,CRM,Holistika ops (AKOS-internal),first_party_internal,active,RevOps Lead,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/SOP-CRM_INTEGRATION_001.md,scripts/revops_dispatch.py,D-IH-72-O,always_on,AKOS-internal SSOT seed adapter; never gates; baseline for Normalized Adapter Pattern,2026-05-14,CMO,D-IH-72-O,v3.0
hubspot,CRM,HubSpot,normalized_shim,planned,RevOps Lead,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/SOP-CRM_INTEGRATION_001.md,TODO[I72-followup-hubspot-shim],D-IH-72-O,gated_release_gate,Per D-IH-72-O HubSpot adapter shim planned; activates when first external CRM customer migrates,2026-05-14,CMO,D-IH-72-O,v3.0
salesforce,CRM,Salesforce,normalized_shim,planned,RevOps Lead,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/SOP-CRM_INTEGRATION_001.md,TODO[I72-followup-salesforce-shim],D-IH-72-O,gated_release_gate,Per D-IH-72-O Salesforce adapter shim planned; activates when first SFDC customer migrates,2026-05-14,CMO,D-IH-72-O,v3.0
attio,CRM,Attio,normalized_shim,experimental,RevOps Lead,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/SOP-CRM_INTEGRATION_001.md,TODO[I72-followup-attio-shim],D-IH-72-O,gated_operator,Per D-IH-72-O Attio experimental,2026-05-14,CMO,D-IH-72-O,v3.0
pipedrive,CRM,Pipedrive,normalized_shim,inactive,RevOps Lead,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/SOP-CRM_INTEGRATION_001.md,,D-IH-72-O,gated_release_gate,Per D-IH-72-O inactive,2026-05-14,CMO,D-IH-72-O,v3.0
close,CRM,Close,normalized_shim,inactive,RevOps Lead,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/SOP-CRM_INTEGRATION_001.md,,D-IH-72-O,gated_release_gate,Per D-IH-72-O inactive,2026-05-14,CMO,D-IH-72-O,v3.0
copper,CRM,Copper,normalized_shim,inactive,RevOps Lead,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/SOP-CRM_INTEGRATION_001.md,,D-IH-72-O,gated_release_gate,Per D-IH-72-O inactive,2026-05-14,CMO,D-IH-72-O,v3.0
folk,CRM,Folk,normalized_shim,inactive,RevOps Lead,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/SOP-CRM_INTEGRATION_001.md,,D-IH-72-O,gated_release_gate,Per D-IH-72-O inactive,2026-05-14,CMO,D-IH-72-O,v3.0
odoo,CRM,Odoo,normalized_shim,inactive,RevOps Lead,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/SOP-CRM_INTEGRATION_001.md,,D-IH-72-O,gated_release_gate,Per D-IH-72-O inactive,2026-05-14,CMO,D-IH-72-O,v3.0
apollo,CRM,Apollo,normalized_shim,inactive,RevOps Lead,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/SOP-CRM_INTEGRATION_001.md,,D-IH-72-O,gated_release_gate,Per D-IH-72-O inactive,2026-05-14,CMO,D-IH-72-O,v3.0
salesloft,CRM,SalesLoft,normalized_shim,inactive,RevOps Lead,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/SOP-CRM_INTEGRATION_001.md,,D-IH-72-O,gated_release_gate,Per D-IH-72-O inactive,2026-05-14,CMO,D-IH-72-O,v3.0
