artifact_class_code,name,output_type_codes,typical_audience_codes,typical_channel_codes,render_script_path,exemplar_path,doctrine_owner_role,quality_fabric_invocation,status,added_at,last_review_at,last_review_by,last_review_decision_id,methodology_version_at_review,notes
AC-DOSSIER,Sealed dossier (engagement / regulatory / investor),OT-PROSE-MARKDOWN;OT-PDF-DOCUMENT,J-IN;J-ENISA;J-AD;J-PT,CHAN-EMAIL-OUTBOUND;CHAN-WEB-FORM-CONTACT;CHAN-EVENT-MEETING,scripts/render_dossier.py;scripts/render_uat_dossier.py;scripts/render_suez_engagement_pdfs.py,artifacts/exports/dossier-enisa-PRJ-HOL-FOUNDING-2026-2026-04-29.pdf;artifacts/exports/holistika-company-dossier-enisa-2026-04-30.pdf,Brand & Narrative Manager,fabric.compose(audience/channel/scenario/brand/governance) per HOLISTIKA_QUALITY_FABRIC.md,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Comprehensive sealed deliverable. Multi-page; tagged PDF; sha256 manifest sidecar. Composed of components: cover-page / executive-summary / methodology / findings / appendix / signature-block.
AC-COVER-EMAIL,Cover email (introducing a deliverable),OT-PROSE-EMAIL-RICH,J-IN;J-CU;J-PT;J-AD;J-ENISA;J-RC,CHAN-EMAIL-OUTBOUND,scripts/render_cover_email.py,docs/references/hlk/v3.0/_assets/advops/PRJ-HOL-FOUNDING-2026/cover_email_es.md,Brand & Narrative Manager,fabric.compose() emphasising channel:CHAN-EMAIL-OUTBOUND,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Brief; warm; evidence-first. Composed of components: greeting / context-anchor / hook / body / CTA / signature.
AC-INTRO-MESSAGE,Intro message (cold or warm outreach),OT-PROSE-DM,J-IN;J-CU;J-PT;J-AD;J-RC,CHAN-LINKEDIN-DM;CHAN-WHATSAPP-INBOUND;CHAN-EMAIL-OUTBOUND,n/a (channel-native; no render script needed),docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/MESSAGE_DOCTRINES.md (forward-charter),Brand & Narrative Manager,fabric.compose() emphasising channel + length budget,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Channel-bound conversational opener. Composed of components: hook / personalisation-anchor / 1-line-pitch / qualifying-question or CTA.
AC-DECK-FOUNDING,Founding deck (full company narrative),OT-SLIDE-DECK;OT-PDF-DOCUMENT,J-IN;J-AD;J-PT,CHAN-EMAIL-OUTBOUND;CHAN-EVENT-MEETING;CHAN-CAL-SCHEDULE,scripts/export_company_deck_pdf.py,docs/presentations/holistika-company-dossier/index.html;Figma file yiPav7BLxUulNFrrsoKJqW,Brand & Narrative Manager,fabric.compose() emphasising scenario:fundraise + brand visual depth,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,14-slide founding deck. Composed of components: cover-slide / problem-slide / solution-slide / market-slide / traction-slide / team-slide / ask-slide / appendix-slide.
AC-DECK-ADVISOR-PACK,Advisor handoff pack,OT-SLIDE-DECK;OT-PDF-DOCUMENT,J-AD,CHAN-EMAIL-OUTBOUND;CHAN-EVENT-MEETING,scripts/export_adviser_handoff.py,docs/references/hlk/v3.0/Think Big/Advisers/<discipline>/handoff_pack.md,Brand & Narrative Manager,fabric.compose() emphasising audience:J-AD post-NDA + governance:adviser-engagement,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,4-12 slide adviser-engagement-specific pack. Composed of components: brief-cover / open-questions / context-anchor / requested-decisions / signature-block.
AC-DECK-ENGAGEMENT,Engagement deck (proposal / pitch),OT-SLIDE-DECK;OT-PDF-DOCUMENT,J-CU;J-PT,CHAN-EMAIL-OUTBOUND;CHAN-EVENT-MEETING,scripts/export_company_deck_pdf.py (configurable),docs/presentations/<engagement-slug>/index.html,Brand & Narrative Manager,fabric.compose() emphasising audience:J-CU/J-PT + channel:CHAN-EVENT-MEETING,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,8-15 slide proposal/pitch deck. Composed of components: cover-slide / counterparty-anchor (translated externally per BRAND_BASELINE_REALITY_MATRIX.md) / problem-slide / proposed-engagement-slide / scope-slide / pricing-slide.
AC-UAT-REPORT,UAT report (sign-off evidence),OT-PROSE-MARKDOWN;OT-TABLE-RENDERED;OT-PDF-DOCUMENT,J-OP;J-AIC;J-AD;J-ENISA,CHAN-WEB-FORM-CONTACT;CHAN-EMAIL-OUTBOUND,scripts/render_uat_dossier.py;scripts/render_impeccable_uat.py,docs/wip/planning/<NN-initiative>/reports/uat-<topic>-<date>.md,UX Reviewer (per UAT_DISCIPLINE.md),fabric.compose_UAT(class) per UAT_DISCIPLINE.md compose_UAT rule,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Class-aware UAT report. Composed of components: scope-summary / step-table / verdict-row-per-step / evidence-links-block / sign-off-block.
AC-SOP,Standard Operating Procedure,OT-PROSE-MARKDOWN,J-OP;J-AIC,CHAN-WEB-FORM-CONTACT,n/a (read at canonical path),docs/references/hlk/v3.0/Admin/O5-1/<area>/<role>/canonicals/SOP-<purpose>_<NNN>.md,role_owner per area,fabric.compose() emphasising audience:J-OP/J-AIC + governance:human-or-AIC-runnable,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per akos-executable-process-catalog.mdc RULE 1: every executable process gets a paired human-readable SOP + agent-facing runbook. Composed of components: purpose / scope / inputs / steps / outputs / failure-modes / cross-references.
AC-RUNBOOK-SCRIPT,Runbook script (executable counterpart of an SOP),OT-PROSE-MARKDOWN,J-AIC,CHAN-WEB-FORM-CONTACT,n/a (the artifact is itself the script),scripts/<purpose>.py,role_owner per area;System Owner for cross-area,fabric.compose() emphasising audience:J-AIC + governance:Pydantic-validated,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Per akos-executable-process-catalog.mdc RULE 1 paired runbook. Output is OT-PROSE-MARKDOWN (docstring) plus Python source. Composed of components: docstring-header / Pydantic-models / typed-functions / structured-logging / tests-pair (tests/test_<module>.py).
AC-CANONICAL-CSV,Canonical CSV register (SSOT for a dimension),OT-TABLE-CSV-RAW,J-OP;J-AIC,CHAN-WEB-FORM-CONTACT,n/a (read at canonical path);scripts/validate_<dim>.py for FK,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/<DIM>_REGISTRY.csv,role_owner per area;System Owner for cross-area,fabric.compose() emphasising governance:PRECEDENCE-classified + Pydantic-validated,active,2026-05-20,2026-05-20,Founder,D-IH-86-BB,v3.1,Governance backbone. Per akos-holistika-operations.mdc new-canonical-register pattern. Composed of components: header-row / row-per-entity / FK-columns / status-column / metadata-columns (added_at + last_review_at + last_review_by + last_review_decision_id + methodology_version_at_review + notes per RULE updated 2026-05-20).
