realtime_row_id,row_kind,surface_key,schema_table,channel_name,consumer_initiative,consumer_binding,posture,owner_role,last_review_decision_id,notes
SUPA-RT-01,publication,supabase_realtime_default,supabase_realtime (Postgres publication),—,—,—,active,System Owner,D-IH-99-K,Reconciled 2026-06-13 — git migration 20260613150000 applied MasterData via supabase db push
SUPA-RT-02,table_subscription,intelligenceops_register_mirror,compliance.intelligenceops_register_mirror,hol.i96.freshness.radar,INIT-OPENCLAW_AKOS-96,Freshness strip radar badge,active,System Owner,D-IH-99-K,Publication + REPLICA IDENTITY FULL applied 2026-06-13; hlk-erp subscribe scheduled I96 B2.4
SUPA-RT-03,table_subscription,notifications,holistika_ops.notifications,hol.i62.drawer.notifications,INIT-OPENCLAW_AKOS-62,Mission Control in-app drawer,active,System Owner,D-IH-99-K,Publication + REPLICA IDENTITY FULL applied 2026-06-13; hlk-erp drawer subscribe still scheduled
SUPA-RT-04,table_subscription,mirror_freshness_heartbeat,holistika_ops.mirror_freshness_heartbeat (proposed view),hol.i96.freshness.mirrors,INIT-OPENCLAW_AKOS-96,Freshness strip mirrors badge,scheduled,Data Architect,D-IH-99-G,Future — aggregate last_emit_at per mirror family; not in git
SUPA-RT-05,channel,postgres_changes_radar,compliance.intelligenceops_register_mirror,hol.i96.freshness.radar,INIT-OPENCLAW_AKOS-96,supabase.channel().on('postgres_changes'),scheduled,AI Engineer,D-IH-99-G,Event filter: schema=public table via view OR direct compliance schema exposure TBD
SUPA-RT-06,channel,postgres_changes_notifications,holistika_ops.notifications,hol.i62.drawer.notifications,INIT-OPENCLAW_AKOS-62,supabase.channel().on('postgres_changes'),scheduled,AI Engineer,D-IH-99-G,Filter: user_id=eq.{uid} OR broadcast user_id IS NULL
SUPA-RT-07,consumer_surface,freshness_strip_v2,hlk-erp components/research-center/freshness-strip.tsx,—,INIT-OPENCLAW_AKOS-96,Badges ledger|radar|kirbe|mirrors,polling_active,AI Engineer,D-IH-99-E,Today: BFF poll on load; Realtime overlay scheduled B2.4
SUPA-RT-08,consumer_surface,journey_verify_step,hlk-erp JourneyStepIndicator Verify,—,INIT-OPENCLAW_AKOS-96,Refetch insights + strip on Verify,polling_active,AI Engineer,D-IH-99-G,Verify step triggers SWR/mutation refetch even before Realtime
SUPA-RT-09,fallback_policy,polling_interval,hlk-erp /api/research-center/insights,—,INIT-OPENCLAW_AKOS-96,staleTime 60s refetchOnFocus,active,AI Engineer,D-IH-99-G,Honest fallback when Realtime disconnected; document in UI only at T3
SUPA-RT-10,fallback_policy,realtime_degraded_banner,hlk-erp freshness-strip.tsx,—,INIT-OPENCLAW_AKOS-96,Optional T3 accordion note,scheduled,AI Engineer,D-IH-99-G,Show only when subscription errors; not T0 noise
SUPA-RT-11,badge_binding,ledger_badge,git source-ledger aggregate,—,INIT-OPENCLAW_AKOS-96,FreshnessBadge id=ledger,polling_only,Data Steward,D-IH-99-G,Govern plane — no Realtime; GitHub/mirror BFF poll
SUPA-RT-12,badge_binding,radar_badge,intelligenceops_register_mirror,hol.i96.freshness.radar,INIT-OPENCLAW_AKOS-96,FreshnessBadge id=radar,scheduled,System Owner,D-IH-99-G,Overdue count from next_verify_by; RT invalidates on mirror upsert
SUPA-RT-13,badge_binding,kirbe_badge,KiRBe health endpoint,—,INIT-OPENCLAW_AKOS-96,FreshnessBadge id=kirbe,polling_only,AI Engineer,D-IH-99-G,External HTTP health — not Postgres Changes
SUPA-RT-14,badge_binding,mirrors_badge,compliance mirror emit,hol.i96.freshness.mirrors,INIT-OPENCLAW_AKOS-96,FreshnessBadge id=mirrors,scheduled,Data Steward,D-IH-99-G,Drift git vs mirror; heartbeat view or multi-subscribe deferred
SUPA-RT-15,rls_requirement,authenticated_read_mirrors,compliance.intelligenceops_register_mirror,—,—,authenticated SELECT via policy,active,Data Governance Office,D-IH-99-G,policy intelligenceops_register_mirror_read exists
SUPA-RT-16,rls_requirement,authenticated_read_notifications,holistika_ops.notifications,—,—,self_or_broadcast SELECT,active,System Owner,D-IH-99-G,I62 RLS policies in 20260506130000
SUPA-RT-17,migration_ddl,add_tables_to_publication,supabase/migrations/20260613150000_i99_realtime_publication_i96_i62.sql,—,—,ALTER PUBLICATION supabase_realtime ADD TABLE,active,Data Architect,D-IH-99-K,Applied MasterData 2026-06-13 via supabase db push; public.intelligenceops_register_mirror view created
SUPA-RT-18,presence_broadcast,not_in_v1,—,—,—,—,out_of_scope,System Owner,D-IH-99-G,Presence/broadcast channels not I96 v2 scope
