cell_id,persona_id,channel_id,language,topic_ids,template_path,distance_variants_in_file,lifecycle_status,last_review,notes
CELL-INVESTOR-COLD-LINKEDIN-DM-EN,PERSONA-INVESTOR-COLD,CHAN-LINKEDIN-DM,en,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-INVESTOR-COLD/CHAN-LINKEDIN-DM/intro_message_en.md,N3;N4,active,2026-04-30,"Cold investor inbound on LinkedIn DM. Variant N3/N4 in-file (D-IH-31-H)."
CELL-INVESTOR-COLD-LINKEDIN-DM-ES,PERSONA-INVESTOR-COLD,CHAN-LINKEDIN-DM,es,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-INVESTOR-COLD/CHAN-LINKEDIN-DM/intro_message_es.md,N3;N4,active,2026-04-30,"Inversor frio entrante en LinkedIn DM. Variante N3/N4 en mismo archivo."
CELL-INVESTOR-WARM-EMAIL-INBOUND-EN,PERSONA-INVESTOR-WARM,CHAN-EMAIL-INBOUND,en,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-INVESTOR-WARM/CHAN-EMAIL-INBOUND/intro_message_en.md,N1;N2,active,2026-04-30,"Warm investor inbound via email. Variant N1/N2 in-file."
CELL-INVESTOR-WARM-EMAIL-INBOUND-ES,PERSONA-INVESTOR-WARM,CHAN-EMAIL-INBOUND,es,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-INVESTOR-WARM/CHAN-EMAIL-INBOUND/intro_message_es.md,N1;N2,active,2026-04-30,"Inversor calido por email. Variante N1/N2 en mismo archivo."
CELL-ADVISOR-REFERRAL-EMAIL-INBOUND-ES,PERSONA-ADVISOR-REFERRAL,CHAN-EMAIL-INBOUND,es,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-ADVISOR-REFERRAL/CHAN-EMAIL-INBOUND/intro_message_es.md,N1;N2,active,2026-04-30,"Asesor referido por email. ES only por discovery taxonomy (audience-canonical exception)."
CELL-PARTNER-JOINT-EQUITY-EMAIL-INBOUND-EN,PERSONA-PARTNER-JOINT-EQUITY,CHAN-EMAIL-INBOUND,en,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-PARTNER-JOINT-EQUITY/CHAN-EMAIL-INBOUND/intro_message_en.md,N2;N3,active,2026-04-30,"Joint-equity partner inbound via email. Variant N2/N3 in-file."
CELL-PARTNER-JOINT-EQUITY-EMAIL-INBOUND-ES,PERSONA-PARTNER-JOINT-EQUITY,CHAN-EMAIL-INBOUND,es,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-PARTNER-JOINT-EQUITY/CHAN-EMAIL-INBOUND/intro_message_es.md,N2;N3,active,2026-04-30,"Socio joint-equity por email. Variante N2/N3 en mismo archivo."
CELL-TALENT-INBOUND-WEB-FORM-EN,PERSONA-TALENT-INBOUND,CHAN-WEB-FORM,en,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-TALENT-INBOUND/CHAN-WEB-FORM/intro_message_en.md,N4,active,2026-04-30,"Talent inbound via public web form. N4 cold by definition."
CELL-TALENT-INBOUND-WEB-FORM-ES,PERSONA-TALENT-INBOUND,CHAN-WEB-FORM,es,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-TALENT-INBOUND/CHAN-WEB-FORM/intro_message_es.md,N4,active,2026-04-30,"Talento entrante por formulario web. N4 frio por defecto."
CELL-VENDOR-OUTBOUND-DIRECT-DM-EN,PERSONA-VENDOR-OUTBOUND,CHAN-DIRECT-DM,en,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-VENDOR-OUTBOUND/CHAN-DIRECT-DM/intro_message_en.md,N1;N3;N4,active,2026-04-30,"Vendor outbound via direct DM. Variant N1/N3/N4 in-file (vendor distance migration use case)."
CELL-VENDOR-OUTBOUND-DIRECT-DM-ES,PERSONA-VENDOR-OUTBOUND,CHAN-DIRECT-DM,es,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-VENDOR-OUTBOUND/CHAN-DIRECT-DM/intro_message_es.md,N1;N3;N4,active,2026-04-30,"Proveedor saliente por DM directo. Variante N1/N3/N4 en mismo archivo."
CELL-CUSTOMER-KIRBE-PROSPECT-WEB-FORM-EN,PERSONA-CUSTOMER-KIRBE-PROSPECT,CHAN-WEB-FORM,en,topic_holistik_ops_discovery;topic_kirbe_billing_plane_routing,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-CUSTOMER-KIRBE-PROSPECT/CHAN-WEB-FORM/intro_message_en.md,N4,active,2026-04-30,"KiRBe SaaS prospect via public web form. N4 cold by definition."
CELL-CUSTOMER-KIRBE-PROSPECT-WEB-FORM-ES,PERSONA-CUSTOMER-KIRBE-PROSPECT,CHAN-WEB-FORM,es,topic_holistik_ops_discovery;topic_kirbe_billing_plane_routing,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-CUSTOMER-KIRBE-PROSPECT/CHAN-WEB-FORM/intro_message_es.md,N4,active,2026-04-30,"Prospecto KiRBe SaaS por formulario web. N4 frio por defecto."
CELL-IDEA-PROPOSER-DIRECT-DM-EN,PERSONA-IDEA-PROPOSER,CHAN-DIRECT-DM,en,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-IDEA-PROPOSER/CHAN-DIRECT-DM/intro_message_en.md,N1;N2,active,2026-04-30,"Idea proposer via direct DM. Variant N1/N2 in-file."
CELL-IDEA-PROPOSER-DIRECT-DM-ES,PERSONA-IDEA-PROPOSER,CHAN-DIRECT-DM,es,topic_holistik_ops_discovery,docs/references/hlk/v3.0/_assets/touchpoint-kit/PERSONA-IDEA-PROPOSER/CHAN-DIRECT-DM/intro_message_es.md,N1;N2,active,2026-04-30,"Proponente de idea por DM directo. Variante N1/N2 en mismo archivo."
