source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-MBH-INT-001,BL-ENVOY,substrate-agnostic,AGENTIC FRAMEWORK LANDSCAPE,docs/references/hlk/v3.0/Admin/O5-1/Envoy Tech Lab/canonicals/AGENTIC_FRAMEWORK_LANDSCAPE.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-substrate,Canonical 8-framework list + MCP postures; OpenClaw = thin adapter not product; charter-alias=P-A
SRC-MBH-INT-002,BL-ENVOY,substrate-agnostic,PAST POC TRANSLATION MATRIX,docs/wip/intelligence/substrate-audit-2026-Q2/past-poc-translation-matrix.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-substrate,I10/I11 lineage; Langfuse load-bearing; sandbox friction documented; charter-alias=P-A
SRC-MBH-INT-003,BL-COMPLY,substrate-agnostic,SUBSTRATE REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/SUBSTRATE_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-substrate,SSOT for substrate rows; promotion target for adapter doctrine; charter-alias=P-A
SRC-MBH-INT-004,BL-ENVOY,substrate-agnostic,MADEIRA PROGRAM INDEX,docs/wip/planning/49-madeira-management-rollup/madeira-program-index.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-harmonization,Nine initiative cross-map for MADEIRA surfaces; charter-alias=P-A
SRC-MBH-INT-005,BL-ENVOY,context-planes,PRONG E AGENTIC FRAMEWORKS CONTEXT,docs/wip/intelligence/research-grounded-wave-r-plus-4-2026-05-27/prong-e-agentic-frameworks-and-context-management.md,internal_canonical,CORPINT,5.2,5,4,Safe,def-context,2023/24 early-adopter thesis validated; harness > model; charter-alias=P-B
SRC-MBH-INT-006,BL-ENVOY,context-planes,MADEIRA AIC PER TASK REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/MADEIRA_AIC_PER_TASK_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-context,Per-task AIC routing; extend for cache boundaries; charter-alias=P-B
SRC-MBH-INT-007,BL-UX,journey-expectations,MADEIRA TOOL CATALOG,docs/references/hlk/v3.0/Admin/O5-1/Envoy Tech Lab/canonicals/MADEIRA_TOOL_CATALOG.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-journey,16 tool categories x 5 modes RBAC; charter-alias=P-C
SRC-MBH-INT-008,BL-UX,journey-expectations,MADEIRA MODE PARITY,docs/references/hlk/v3.0/Admin/O5-1/Envoy Tech Lab/canonicals/MADEIRA_MODE_PARITY.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-journey,Ask/Plan/Agent/Control/Methodology posture SSOT; charter-alias=P-C
SRC-MBH-INT-009,BL-UX,journey-expectations,I17 COVERAGE MATRIX,docs/wip/planning/17-madeira-cursor-mode-parity/coverage-matrix.md,internal_canonical,CORPINT,5.2,5,5,Euclid,def-journey,UC matrix gaps for Cursor interaction modes; charter-alias=P-C
SRC-MBH-INT-010,BL-UX,journey-expectations,AIC MADEIRA EXPERIENTIAL UAT CHARTER,docs/wip/intelligence/aic-madeira-experiential-uat-2026-06-11/charter.md,internal_canonical,CORPINT,5.2,5,5,Safe,def-journey,Experiential vs validator-only PASS failure mode; charter-alias=P-C
SRC-MBH-INT-011,BL-TECH,model-finops,MODEL SELECTION RECOMMENDATION,docs/wip/intelligence/model-selection-2026-05-28/recommendation-note.md,internal_canonical,CORPINT,5.2,5,4,Safe,def-finops,Two-seat Opus/Composer routing doctrine; charter-alias=P-D
SRC-MBH-INT-012,BL-FIN,model-finops,FINOPS COUNTERPARTY REGISTER,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/finops/FINOPS_COUNTERPARTY_REGISTER.csv,dataset,CORPINT,5.2,5,5,Safe,def-finops,Provider billing entities for token attribution; charter-alias=P-D
SRC-MBH-INT-013,BL-FIN,model-finops,PRICING TIER REGISTRY,docs/references/hlk/v3.0/Admin/O5-1/Finance/Governance/canonicals/dimensions/PRICING_TIER_REGISTRY.csv,dataset,CORPINT,5.2,5,5,Safe,def-finops,Commercial tiers; link to alpha cohort packaging; charter-alias=P-D
SRC-MBH-INT-014,BL-TECH,observability-scale,LANGFUSE REPORTER AKOS TELEMETRY,docs/ARCHITECTURE.md,internal_canonical,CORPINT,5.2,5,5,Euclid,def-ops,Eval + trace spine; extend for cache token metrics; charter-alias=P-E
