governance_id,csv_path,owning_area,owning_role,asset_class,plane1_validator,plane1_in_validate_hlk,plane2_mirror_table,plane2_sync_policy,plane2_emit_profile,plane2_workflow_paths,precedence_registered,canonical_registry_id,mirror_ddl_migration,enum_parity_required,delete_reconcile_pk,last_review,last_review_decision_id,status,notes
gov_data_architecture_canonical_relationship_registry,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/CANONICAL_RELATIONSHIP_REGISTRY.csv,Data_Architecture,Data Architect,graph_projection,validate_canonical_articulation.py,true,,graph_projection,none,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/CANONICAL_RELATIONSHIP_REGISTRY.csv,true,canonical_relationship_registry,,false,canonical_relationship_id,2026-06-09,D-IH-95-B,active,Plus validate_fk_verb_coverage.py; P95-GOV-2 index backfill complete
gov_data_architecture_entity_catalog,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/ENTITY_CATALOG.csv,Data_Architecture,Data Architect,graph_projection,validate_canonical_articulation.py,true,,graph_projection,none,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/ENTITY_CATALOG.csv,true,entity_catalog,,false,,2026-06-09,D-IH-95-B,active,T1 git + T3 Neo4j; no T2 mirror per D-IH-95-B; P95-GOV-2 complete
gov_data_architecture_metrics_registry,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/METRICS_REGISTRY.csv,Data_Architecture,Data Architect,git_only,validate_metrics_registry.py,true,,git_only,none,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/METRICS_REGISTRY.csv,true,metrics_registry,,false,metrics_id,2026-06-09,D-IH-95-B,active,
gov_data_architecture_supabase_module_registry,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_MODULE_REGISTRY.csv,Data_Architecture,Data Architect,git_only,validate_supabase_module_registry.py,true,,git_only,none,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_MODULE_REGISTRY.csv,true,supabase_module_registry,,false,supabase_module_id,2026-06-09,D-IH-95-B,active,P95-GOV-2 PRECEDENCE + CANONICAL_REGISTRY backfill complete
gov_data_architecture_supabase_edge_function_registry,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_EDGE_FUNCTION_REGISTRY.csv,Data_Architecture,AI Engineer,git_only,validate_supabase_edge_function_registry.py,true,,git_only,none,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_EDGE_FUNCTION_REGISTRY.csv,true,supabase_edge_function_registry,,false,function_id,2026-06-10,D-IH-95-G,active,I95 L1 EG-3 edge-function inventory
gov_data_architecture_supabase_cron_registry,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_CRON_REGISTRY.csv,Data_Architecture,System Owner,git_only,validate_supabase_cron_registry.py,true,,git_only,none,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_CRON_REGISTRY.csv,true,supabase_cron_registry,,false,job_id,2026-06-10,D-IH-95-G,active,I95 L1 EG-3 pg_cron job inventory
gov_data_architecture_supabase_auth_registry,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_AUTH_REGISTRY.csv,Data_Architecture,System Owner,git_only,validate_supabase_auth_registry.py,true,,git_only,none,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_AUTH_REGISTRY.csv,true,supabase_auth_registry,,false,auth_row_id,2026-06-13,D-IH-99-J,active,I99 EG-5 Auth registry
gov_data_architecture_supabase_realtime_registry,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_REALTIME_REGISTRY.csv,Data_Architecture,System Owner,git_only,validate_supabase_realtime_registry.py,true,,git_only,none,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_REALTIME_REGISTRY.csv,true,supabase_realtime_registry,,false,realtime_row_id,2026-06-13,D-IH-99-J,active,I99 EG-5 Realtime registry
gov_data_architecture_supabase_storage_registry,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_STORAGE_REGISTRY.csv,Data_Architecture,System Owner,git_only,validate_supabase_storage_registry.py,true,,git_only,none,docs/references/hlk/v3.0/Admin/O5-1/Data/Architecture/canonicals/dimensions/SUPABASE_STORAGE_REGISTRY.csv,true,supabase_storage_registry,,false,storage_row_id,2026-06-13,D-IH-99-J,active,I99 EG-5 Storage + Analytics + Vector
gov_data_governance_area_bi_profile,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/AREA_BI_PROFILE.csv,data_governance,Data Governance Office,compliance_mirror,validate_area_bi_profile.py,true,,git_only,none,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/AREA_BI_PROFILE.csv,true,area_bi_profile_csv,,false,,2026-06-09,D-IH-95-B,active,
gov_data_governance_bi_consumer_registry,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/BI_CONSUMER_REGISTRY.csv,data_governance,Data Governance Office,compliance_mirror,validate_bi_consumer_registry.py,true,,git_only,none,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/BI_CONSUMER_REGISTRY.csv,true,bi_consumer_registry,,false,bi_consumer_id,2026-06-09,D-IH-95-B,active,
gov_data_governance_data_contract_registry,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/DATA_CONTRACT_REGISTRY.csv,Data_Governance,Data Governance Lead,compliance_mirror,validate_data_contract_registry.py,true,compliance.data_contract_registry_mirror,active,main,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/DATA_CONTRACT_REGISTRY.csv,true,data_contract_registry,20260609120100_p95_gov7_data_contract_registry_mirror.sql,true,contract_id,2026-06-09,D-IH-95-B,active,P95-GOV-7 DDL+emit wired
