source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-I100-INT-0001,BL-TECH,i100_harmonization,topic_external_adviser_handoff.md,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/adviser_handoff/topic_external_adviser_handoff.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-lab-platform-harmonization,I100 harmonization internal census; path=docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/adviser_handoff/topic_external_adviser_handoff.md
SRC-I100-INT-0002,BL-TECH,i100_harmonization,cover_email_company_dossier_es.md,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_company_dossier/cover_email_company_dossier_es.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-lab-platform-harmonization,I100 harmonization internal census; path=docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_company_dossier/cover_email_company_dossier_es.md
SRC-I100-INT-0003,BL-TECH,i100_harmonization,deck_slides.yaml,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_company_dossier/deck_slides.yaml,internal_canonical,CORPINT,5.1,5,2,Safe,def-lab-platform-harmonization,I100 harmonization internal census; path=docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_company_dossier/deck_slides.yaml
SRC-I100-INT-0004,BL-TECH,i100_harmonization,deck_story_es.md,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_company_dossier/deck_story_es.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-lab-platform-harmonization,I100 harmonization internal census; path=docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_company_dossier/deck_story_es.md
SRC-I100-INT-0005,BL-TECH,i100_harmonization,cover_email_es.md,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_evidence/cover_email_es.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-lab-platform-harmonization,I100 harmonization internal census; path=docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_evidence/cover_email_es.md
SRC-I100-INT-0006,BL-TECH,i100_harmonization,dossier_es.md,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_evidence/dossier_es.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-lab-platform-harmonization,I100 harmonization internal census; path=docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_evidence/dossier_es.md
SRC-I100-INT-0007,BL-TECH,i100_harmonization,topic_enisa_evidence.manifest.md,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_evidence/topic_enisa_evidence.manifest.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-lab-platform-harmonization,I100 harmonization internal census; path=docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_evidence/topic_enisa_evidence.manifest.md
SRC-I100-INT-0008,BL-TECH,i100_harmonization,topic_enisa_evidence.md,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_evidence/topic_enisa_evidence.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-lab-platform-harmonization,I100 harmonization internal census; path=docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/enisa_evidence/topic_enisa_evidence.md
SRC-I100-INT-0009,BL-TECH,i100_harmonization,README.md,docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/README.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-lab-platform-harmonization,I100 harmonization internal census; path=docs/references/hlk/v3.0/_assets/advops/2026-holistika-incorporation/README.md
SRC-I100-INT-0010,BL-TECH,i100_harmonization,README.md,docs/references/hlk/v3.0/_assets/advops/shared/2026-suez-webuy/README.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-lab-platform-harmonization,I100 harmonization internal census; path=docs/references/hlk/v3.0/_assets/advops/shared/2026-suez-webuy/README.md
