source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-AREA-INT-01,A,internal_area_doctrine,AREA_GOVERNANCE_DISCIPLINE.md 14-component bar,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/AREA_GOVERNANCE_DISCIPLINE.md,internal_canonical,CORPINT,5.2,5,3,Safe,def-components,The subject under study; AREA-01..14 + compose_AREA
SRC-AREA-INT-02,A,internal_area_doctrine,akos/hlk_area_completeness.py Pydantic SSOT,https://github.com/FraysaXII/openclaw-akos/blob/main/akos/hlk_area_completeness.py,internal_canonical,CORPINT,5.2,5,2,Safe,def-components,Code SSOT of the 14-component enum + verdict enum
SRC-AREA-INT-03,A,internal_area_doctrine,scripts/validate_area_completeness.py matrix runbook,https://github.com/FraysaXII/openclaw-akos/blob/main/scripts/validate_area_completeness.py,internal_canonical,CORPINT,5.1,5,2,Safe,def-complete,Heuristic probe logic deriving each verdict
SRC-AREA-INT-04,A,internal_area_doctrine,akos-area-governance.mdc cursor rule,https://github.com/FraysaXII/openclaw-akos/blob/main/.cursor/rules/akos-area-governance.mdc,internal_canonical,CORPINT,5.2,5,2,Safe,def-area,When-to-sweep + conservative-evidence posture
SRC-AREA-INT-05,A,internal_area_doctrine,area-governance-craft SKILL.md,https://github.com/FraysaXII/openclaw-akos/blob/main/.cursor/skills/area-governance-craft/SKILL.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-complete,How to read matrix + fix gaps without scope creep
SRC-AREA-INT-06,A,internal_area_doctrine,SOP-PEOPLE_AREA_GOVERNANCE_001.md,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/SOP-PEOPLE_AREA_GOVERNANCE_001.md,internal_canonical,CORPINT,5.2,5,3,Safe,def-area,Paired SOP for the area-buildout process
SRC-AREA-INT-07,A,internal_area_doctrine,HOLISTIKA_QUALITY_FABRIC.md compose() architecture,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/HOLISTIKA_QUALITY_FABRIC.md,internal_canonical,CORPINT,5.2,5,3,Safe,def-components,Area governance is 17th specialty; multiplicative-AND composition
SRC-AREA-INT-08,A,internal_area_doctrine,akos-quality-fabric.mdc,https://github.com/FraysaXII/openclaw-akos/blob/main/.cursor/rules/akos-quality-fabric.mdc,internal_canonical,CORPINT,5.2,5,2,Safe,def-components,5-axis composition + specialty-mint quartet contract
SRC-AREA-INT-09,A,internal_area_doctrine,quality-fabric-craft SKILL.md,https://github.com/FraysaXII/openclaw-akos/blob/main/.cursor/skills/quality-fabric-craft/SKILL.md,internal_canonical,CORPINT,5.1,5,2,Safe,def-complete,Resolving + composing the 5 axes
SRC-AREA-INT-10,A,internal_area_doctrine,HOLISTIKA_ORGANISING_DOCTRINE.md,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/HOLISTIKA_ORGANISING_DOCTRINE.md,internal_canonical,CORPINT,5.2,5,3,Safe,def-area,Org doctrine defining the O5-1 area split
