source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-HAC-PRONG-01,BL-DATA,prong_scope,P1 Data — DAMA metadata for agent session events,docs/wip/intelligence/holistic-agentic-capability-orchestration-2026-06-10/RESEARCH_CHARTER_AND_EXECUTION_PLAN.md#P1-DATA,internal_canonical,CORPINT,5.1,5,1,Safe,prong-scope,R1 prong header; charter §3 row P1-DATA
SRC-HAC-PRONG-02,BL-FIN,prong_scope,P2 Finance — token spend attribution by initiative/seat,docs/wip/intelligence/holistic-agentic-capability-orchestration-2026-06-10/RESEARCH_CHARTER_AND_EXECUTION_PLAN.md#P2-FINANCE,internal_canonical,CORPINT,5.1,5,1,Safe,prong-scope,R1 prong header; charter §3 row P2-FINANCE
SRC-HAC-PRONG-03,BL-LEGAL,prong_scope,P3 Legal — durable audit trail for inline-ratify decisions,docs/wip/intelligence/holistic-agentic-capability-orchestration-2026-06-10/RESEARCH_CHARTER_AND_EXECUTION_PLAN.md#P3-LEGAL,internal_canonical,CORPINT,5.1,5,1,Safe,prong-scope,R1 prong header; charter §3 row P3-LEGAL
SRC-HAC-PRONG-04,BL-MKT,prong_scope,P4 Marketing — operator surfaces for live agent state,docs/wip/intelligence/holistic-agentic-capability-orchestration-2026-06-10/RESEARCH_CHARTER_AND_EXECUTION_PLAN.md#P4-MARKETING,internal_canonical,CORPINT,5.1,5,1,Safe,prong-scope,R1 prong header; charter §3 row P4-MARKETING
SRC-HAC-PRONG-05,BL-OPS,prong_scope,P5 Ops+People — handoff markers and stream recovery,docs/wip/intelligence/holistic-agentic-capability-orchestration-2026-06-10/RESEARCH_CHARTER_AND_EXECUTION_PLAN.md#P5-OPS-PEOPLE,internal_canonical,CORPINT,5.1,5,1,Safe,prong-scope,R1 prong header; charter §3 row P5-OPS-PEOPLE
SRC-HAC-PRONG-06,BL-TECH,prong_scope,P6 Tech — substrate facts MCP/hooks/verification,docs/wip/intelligence/holistic-agentic-capability-orchestration-2026-06-10/RESEARCH_CHARTER_AND_EXECUTION_PLAN.md#P6-TECH-SUBSTRATE,internal_canonical,CORPINT,5.1,5,1,Safe,prong-scope,R1 prong header; charter §3 row P6-TECH-SUBSTRATE
SRC-HAC-PRONG-07,BL-RESEARCH,prong_scope,P7 Research — capability-agnostic orchestration doctrine,docs/wip/intelligence/holistic-agentic-capability-orchestration-2026-06-10/RESEARCH_CHARTER_AND_EXECUTION_PLAN.md#P7-RESEARCH,internal_canonical,CORPINT,5.1,5,1,Safe,prong-scope,R1 prong header; charter §3 row P7-RESEARCH
SRC-HAC-PRONG-08,BL-ENVOY,prong_scope,P8 MADEIRA — plug-and-play primitives across harnesses,docs/wip/intelligence/holistic-agentic-capability-orchestration-2026-06-10/RESEARCH_CHARTER_AND_EXECUTION_PLAN.md#P8-MADEIRA,internal_canonical,CORPINT,5.1,5,1,Safe,prong-scope,R1 prong header; charter §3 row P8-MADEIRA
SRC-HAC-AOS-001,BL-ENVOY,aos_seed_internal_aic_registry,AKOS AIC Registry (internal canonical),docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/AIC_REGISTRY.csv,internal_canonical,CORPINT,4.1,5,2,Safe,AIC instances keyed on substrate x role-class,R1 seed from agentic-os pack; orig=SRC-CORP-01
SRC-HAC-AOS-002,BL-RESEARCH,aos_seed_internal_substrate_landscape,SUBSTRATE_LANDSCAPE_DOCTRINE + SUBSTRATE_REGISTRY (internal),docs/references/hlk/v3.0/Admin/O5-1/Research/Methodology/canonicals/SUBSTRATE_LANDSCAPE_DOCTRINE.md,internal_canonical,CORPINT,4.1,5,2,Safe,Substrate axis (what an AIC is made of),R1 seed from agentic-os pack; orig=SRC-CORP-02
