pattern_id,pattern_name,pattern_class,discipline_origin,consumer_areas,ratifying_decision_id,originating_initiative_id,pattern_md_anchor,canonical_artifact_path,acceptance_criteria_human,acceptance_criteria_automation,status,last_review,last_review_by,notes
pattern_register_csv_pydantic_validator_mirror,Register dimension as CSV + Pydantic SSOT + validator + Supabase mirror,register_dimension,compliance,marketing;research;techlab;operations;legal;people;finance,D-IH-59-D,INIT-OPENCLAW_AKOS-59,#pattern-register-csv-pydantic-validator-mirror,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/dimensions/,An author can mint a new register by reading the pattern narrative and copying the established 4-file shape (CSV + Pydantic + validator + migration),validate_hlk.py umbrella runs the new validator and Supabase mirror migration applies cleanly,active,2026-05-15,Compliance Officer,Foundational pattern; instantiated by every dimension under canonicals/dimensions/. Sibling of pattern_classification_lattice (which the registers index against)
pattern_paired_sop_runbook,Paired SOP + executable runbook per process_list row,paired_sop_runbook,people_operations,marketing;research;techlab;operations;legal;people;ethics,D-IH-72-N,INIT-OPENCLAW_AKOS-72,#pattern-paired-sop-runbook,.cursor/rules/akos-executable-process-catalog.mdc,An author can author a Markdown SOP and a paired Python runbook side-by-side; validate_process_list_pairing.py confirms the pair,validate_process_list_pairing.py PASS for the row in process_list.csv,active,2026-05-15,People Operations Lead,Codified at akos-executable-process-catalog.mdc Rule 1; AC-binary axis (human/automation) per D-IH-72-S
pattern_engagement_model_taxonomy,Engagement-class taxonomy (retribution x SOC x IP x knowledge-access),lifecycle_taxonomy,people_operations,marketing;research;techlab;operations;legal;people;finance,D-IH-73-C,INIT-OPENCLAW_AKOS-73,#pattern-engagement-model-taxonomy,docs/references/hlk/v3.0/Admin/O5-1/People/People Operations/canonicals/dimensions/ENGAGEMENT_MODEL_REGISTRY.csv,A new collaborator scenario can be classified into one of the 7 engagement classes by reading the registry,validate_engagement_model_registry.py PASS confirming all 7 classes present,active,2026-05-15,People Operations Lead,The 7-class taxonomy hourly_consultant / milestone_consultant / percentage_collaborator / apprentice_learner / investor_advisor / outsourced_helper / operator_self per D-IH-73-D
pattern_persona_registry,Persona registry as queryable cross-area dimension,register_dimension,people_operations,marketing;research;techlab;operations;legal,D-IH-72-A,INIT-OPENCLAW_AKOS-72,#pattern-persona-registry,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Resonance/canonicals/dimensions/PERSONA_REGISTRY.csv,A new persona surfaces during a scenario and can be added by reading the registry's row pattern,validate_persona_registry.py PASS,active,2026-05-15,Brand Manager,Originally Marketing-owned but generalises to any area needing a queryable cast of stakeholders. Sibling of pattern_intelligenceops_register
pattern_intelligenceops_register,Intelligence-collection contracts against named identity-side targets,register_dimension,people_operations,research;marketing;legal,D-IH-72-H,INIT-OPENCLAW_AKOS-72,#pattern-intelligenceops-register,docs/references/hlk/v3.0/Admin/O5-1/Research/Intelligence/canonicals/dimensions/INTELLIGENCEOPS_REGISTER.csv,A new target type (regulator / media / recruiter / competitor) can be added by extending the target_class enum and adding rows,validate_intelligenceops_register.py PASS,active,2026-05-15,Research Director,Sibling-not-extension of GOI_POI_REGISTER (D-IH-72-H); intelligence-collection lifecycles are distinct from identity capture
pattern_normalized_adapter,Adapter registry with status + cadence + Data Owner per Normalized Adapter Pattern,adapter,people_operations,marketing;techlab;operations;finance;legal,D-IH-72-O,INIT-OPENCLAW_AKOS-72,#pattern-normalized-adapter,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Reach/canonicals/dimensions/CRM_ADAPTER_REGISTRY.csv,A new external integration (CRM / billing / email / contract / scheduling) is added by minting an adapter row with status enum + Data Owner FK,validate_adapter_registries.py PASS for all 8 sibling adapter registries,active,2026-05-15,System Owner,Per Truto + Unified.to + Apideck industry consensus 2026; cadence taxonomy per D-IH-72-Q (on_demand / scheduled / event_triggered / gated_operator)
pattern_classification_lattice,Three-axis classification (access_level + confidence_level + source_taxonomy),classification_lattice,compliance,marketing;research;techlab;operations;legal;people;ethics;finance,D-IH-59-A,INIT-OPENCLAW_AKOS-59,#pattern-classification-lattice,docs/references/hlk/v3.0/Admin/O5-1/People/Compliance/canonicals/access_levels.md,Any new artefact carries access_level + confidence_level + source_taxonomy frontmatter that resolves into the three lattices,LANGUAGE_FRONTMATTER + access_level coverage spot-check during validate_hlk.py,active,2026-05-15,Compliance Officer,Foundational pattern; every register and SOP inherits it. Lattice values authored as Markdown canonicals not CSV
pattern_dual_register_internal_external,Internal canonical + external canonical translation pair,dual_register,cross_people,marketing;people;ethics,D-IH-66-M,INIT-OPENCLAW_AKOS-66,#pattern-dual-register-internal-external,docs/references/hlk/v3.0/Admin/O5-1/Marketing/Brand/canonicals/BRAND_BASELINE_REALITY_MATRIX.md,An internal canonical's vocabulary translates into the external canonical's vocabulary without loss of meaning,validate_brand_baseline_reality_drift.py PASS,active,2026-05-15,Brand Manager,Originated brand-baseline-reality but applies to any internal/external twin (e.g., HOLISTIKA_ORGANISING_DOCTRINE internal vs BRAND_VOICE_FOUNDATION external)
pattern_drift_gate_validator,Automated CI drift gate enforcing a canonical surface,drift_gate,compliance,marketing;people;techlab;operations,D-IH-66-M,INIT-OPENCLAW_AKOS-66,#pattern-drift-gate-validator,scripts/validate_brand_baseline_reality_drift.py,A new canonical surface can be guarded by writing a Python validator that scans for forbidden tokens or shape violations,The validator runs in pre_commit profile via verification-profiles.json,active,2026-05-15,System Owner,Anti-jargon drift gate (I79 P2; D-IH-79-N) is the second instantiation; brand-baseline-reality (I66 P2) was the first. Mirrors the same shape: scan + token-list + INFO-then-FAIL graduation
pattern_inline_ratify_via_askquestion,Inline-ratify gate via AskQuestion replacing real-stop operator pause,inline_ratify,people_operations,marketing;research;techlab;operations;legal;people;ethics;finance,D-IH-72-A,INIT-OPENCLAW_AKOS-72,#pattern-inline-ratify-via-askquestion,.cursor/rules/akos-inline-ratification.mdc,An execution-time decision that needs operator input is surfaced via AskQuestion in the same chat (not a real-stop pause record),AskQuestion call carries options + rationale + recommended-default; inline ratification recorded in initiative decision-log.md,active,2026-05-15,People Operations Lead,Saves operator chat-switch cost for evidence-dependent / spot-check decisions; only canonical-CSV-gate / trademark / public-prose-publish use real-stop pauses
pattern_cross_area_breakthrough_propagation,When a People pattern row mints propagate to consuming areas,cross_area_propagation,people_operations,marketing;research;techlab;operations;legal;ethics;finance,D-IH-79-I,INIT-OPENCLAW_AKOS-79,#pattern-cross-area-breakthrough-propagation,docs/references/hlk/v3.0/Admin/O5-1/People/canonicals/SOP-PEOPLE_CROSS_AREA_BREAKTHROUGH_001.md,People mints a pattern row; consuming areas receive announcement and migrate their relevant process_list rows to set inherited_pattern_id FK,peopl_cross_area_breakthrough_announce.py runbook fires when a pattern row is added/revised; Tech Lab pingback fires when AGENTIC_FRAMEWORK_LANDSCAPE.md is touched,active,2026-05-15,People Operations Lead,The meta-pattern of People-as-DoD. Sibling of pattern_paired_sop_runbook (which gives the pattern its mechanical surface)
