storage_row_id,row_kind,bucket_id,path_prefix,visibility,consumer_initiative,consumer_binding,posture,owner_role,last_review_decision_id,notes
SUPA-ST-01,module,storage_module,supabase/config.toml [storage] enabled=true,—,—,—,active,System Owner,D-IH-99-H,Local dev enabled; hosted buckets unknown until reconcile
SUPA-ST-02,bucket_drift,hosted_buckets,Supabase Dashboard → Storage,—,—,—,drift,System Owner,D-IH-99-H,No bucket DDL in AKOS git; P5 migration mints registry rows
SUPA-ST-03,ssot_active,git_uat_artifacts,artifacts/uat-screenshots/,git_repo,INIT-OPENCLAW_AKOS-96,Experiential UAT MANIFEST.json + PNG,active,PMO,D-IH-99-H,Binding SSOT today; Supabase mirror optional scheduled not replacement
SUPA-ST-04,ssot_active,git_render_exports,artifacts/exports/,git_repo,INIT-OPENCLAW_AKOS-24,PDF/HTML render trail + sha256 manifest,active,PMO,D-IH-99-H,External-render discipline; PDF/slide delivery from git paths
SUPA-ST-05,ssot_active,vault_asset_buckets,docs/references/hlk/v3.0/_assets/,git_repo,PRJ-HOL-FOUNDING-2026,Adviser/ENISA rendered collateral,active,PMO,D-IH-89-H,Vault-derived buckets; not Supabase Storage v1
SUPA-ST-06,bucket,hol.internal.uat-evidence,uat/{initiative_slug}/{session_date}/,private_authenticated,INIT-OPENCLAW_AKOS-96,Optional UAT PNG/MANIFEST mirror,scheduled,System Owner,D-IH-99-H,Level 4+ read; service_role write via Edge or ops script only
SUPA-ST-07,bucket,hol.internal.closure-reports,closure-uat/{initiative_slug}/,private_authenticated,—,Rendered closure UAT PDF + manifest,scheduled,PMO,D-IH-99-H,Paired with validate_uat_report.py evidence packs
SUPA-ST-08,bucket,hol.compliance.evidence-packs,evidence/{program_id}/{topic_id}/,private_authenticated,PRJ-HOL-FOUNDING-2026,J-ENISA / J-AD sealed PDFs,scheduled,Data Governance Office,D-IH-99-H,Signed URL max 15m; no public list; sha256 sidecar required
SUPA-ST-09,bucket,hol.gtm.showcase-assets,showcase/{asset_class}/,public_read,INIT-OPENCLAW_AKOS-14,showcase.holistikaresearch.com static delivery,scheduled,Marketing Analytics Manager,D-IH-99-H,Public read only; no PII; separate from operator ERP bucket
SUPA-ST-10,bucket,hol.gtm.lead-intake,lead-intake/{yyyy}/{mm}/,private_service_role,INIT-OPENCLAW_AKOS-14,holistika_ops.lead_intake attachments,scheduled,System Owner,D-IH-99-H,Edge Function upload path; authenticated operators read via ERP
SUPA-ST-11,bucket,hol.internal.erp-attachments,erp/{surface}/{record_id}/,private_authenticated,INIT-OPENCLAW_AKOS-62,Mission Control / Research Center drawer artifacts,scheduled,AI Engineer,D-IH-99-H,Future: governed read-only links in ERP not GitHub blobs
SUPA-ST-12,path_rule,hol.internal.uat-evidence,*.png;*.webp;MANIFEST.json,private_authenticated,INIT-OPENCLAW_AKOS-96,UAT ladder naming convention,scheduled,PMO,D-IH-99-H,Max 50MiB per config.toml file_size_limit
SUPA-ST-13,path_rule,hol.compliance.evidence-packs,*.pdf;*.manifest.json,private_authenticated,,External-render PDF channel,scheduled,PMO,D-IH-99-H,MIME gate at upload; reject raw .md at trust boundary
SUPA-ST-14,rls_policy,authenticated_operator_read,hol.internal.*,,,,scheduled,System Owner,D-IH-99-H,access_level >= 4 via JWT + holistika_ops RPC; paired with I99 P2 Auth session contract
SUPA-ST-15,rls_policy,service_role_write,hol.internal.*;hol.gtm.lead-intake,,,,scheduled,AI Engineer,D-IH-99-H,Edge Functions + ops scripts only; no anon upload; SOC: never log object contents
SUPA-ST-16,rls_policy,public_read_showcase,hol.gtm.showcase-assets,,,,scheduled,Marketing Analytics Manager,D-IH-99-H,anon read objects under showcase/ prefix only; separate bucket from compliance evidence
SUPA-ST-17,delivery_posture,git_first_uat,artifacts/uat-screenshots/,git_repo,INIT-OPENCLAW_AKOS-96,I96 experiential ladder,active,PMO,D-IH-99-H,Do not require Supabase bucket for Preview UAT PASS
SUPA-ST-18,delivery_posture,drive_external_collab,Google Drive,—,—,External collaborators outside git,scheduled,Data Steward,D-IH-99-H,I96 B2 mirror-first preferred over Drive links for ERP operators
