source_id,prong,topic_cluster,source_title_or_owner,url,format,source_category,source_level,holistika_reliability_score,external_perceived_credibility_score,control_confidence_level,decision_use,notes
SRC-I93-P6-001,A,internal_evidence,cross-area-data-map-2026-06-04.md,docs/wip/planning/93-data-area-foundation-and-governance/reports/cross-area-data-map-2026-06-04.md,internal_canonical,internal_precedent,canonical,5,3,Safe,P6 scope — 115 classified / 35 unmapped processes,Heuristic DATA-FAM assignment per area.
SRC-I93-P6-002,A,internal_evidence,master-roadmap.md P6 section,docs/wip/planning/93-data-area-foundation-and-governance/master-roadmap.md,internal_canonical,internal_precedent,canonical,5,3,Safe,P6 deliverables + operator CSV gate,Seven CAP+CONF+process rows; DATA_FAM_PROBE_PROFILES.
SRC-I93-P6-003,A,internal_evidence,data-area-capability-coverage I90,docs/wip/planning/90-routing-and-wiring/reports/data-area-capability-coverage-2026-06-04.md,internal_canonical,internal_precedent,canonical,5,3,Safe,7 DATA-FAM family definitions origin,I93 inherits I90 family names; coordinate I91 graph scope.
SRC-I93-P6-004,A,internal_evidence,DATA_CATALOG_INTEGRATION_POSTURE.md §7-9,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/DATA_CATALOG_INTEGRATION_POSTURE.md,internal_canonical,internal_precedence,canonical,5,3,Safe,Data products = DATA-FAM umbrellas,DAMA three-layer stack already minted P2b.
SRC-I93-P6-005,A,internal_evidence,OPS-86-15 mirror gap table,cross-area-data-map-2026-06-04.md §OPS-86-15,internal_canonical,internal_precedent,primary,5,2,Safe,First live probe = mirror parity,Five CSVs without mirror DDL; CHANNEL mirrored.
SRC-I93-P6-006,B,external_dama,DAMA-DMBOK2 Ch.2 Data Architecture,https://www.dama.org/,web_article,standards_body,secondary,4,5,Euclid,DATA-FAM as federated data products,Federated governance not central warehouse only.
SRC-I93-P6-007,B,external_dama,Microsoft Purview data products,https://learn.microsoft.com/en-us/purview/unified-catalog-data-products,web_article,vendor_docs,secondary,4,4,Safe,L3 projection pattern for families,Maps to ODCS export already at P3.
SRC-I93-P6-008,B,external_dama,Data Mesh principles (Zhamak Dehghani),https://martinfowler.com/articles/data-mesh-principle.html,web_article,industry_analyst,secondary,3,4,Euclid,Domain-oriented data products,Holistika = area batches not full mesh decentralization.
SRC-I93-P6-009,C,execution_risks,I91 enterprise graph store initiative,docs/wip/planning/README.md,internal_canonical,internal_precedent,secondary,4,2,Safe,Double-mint CAP vs I91 scope,I93 owns family CAP rows; I91 owns Neo4j projection.
SRC-I93-P6-010,C,execution_risks,validate_capability_registry.py,scripts/validate_capability_registry.py,internal_canonical,internal_precedent,canonical,5,4,Safe,Mechanical gate for P6 CSV tranche,Pairs CAPABILITY_CONFIDENCE_REGISTRY.
SRC-I93-P6-011,A,internal_evidence,P5c AREA_BI_PROFILE + BI consumers,docs/references/hlk/v3.0/Admin/O5-1/Data/Governance/canonicals/dimensions/AREA_BI_PROFILE.csv,internal_canonical,internal_precedent,canonical,5,3,Safe,P6 probes should include BI plane health,ENGAGEMENT-FACT + TELEMETRY-OBS families tie to P5c.
